journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00009,J002,UNI01,C002,CR001,,SD0001,source_document,university_homepage,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0001.html,artifacts/journeys/J002_C002_semiotica/source/SD0001.html,copied,Università di Bologna
JA00010,J002,UNI01,C002,CR001,,SD0001,source_header,university_homepage,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0001.headers.txt,artifacts/journeys/J002_C002_semiotica/source/SD0001.headers.txt,copied,Header sidecar for SD0001
JA00011,J002,UNI01,C002,CR001,,SD0002,source_document,programmes_hub,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0002.html,artifacts/journeys/J002_C002_semiotica/source/SD0002.html,copied,Studiare — Università di Bologna
JA00012,J002,UNI01,C002,CR001,,SD0002,source_header,programmes_hub,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0002.headers.txt,artifacts/journeys/J002_C002_semiotica/source/SD0002.headers.txt,copied,Header sidecar for SD0002
JA00013,J002,UNI01,C002,CR001,,SD0004,source_document,course_page,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0004.html,artifacts/journeys/J002_C002_semiotica/source/SD0004.html,copied,Semiotica — Università di Bologna
JA00014,J002,UNI01,C002,CR001,,SD0004,source_header,course_page,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0004.headers.txt,artifacts/journeys/J002_C002_semiotica/source/SD0004.headers.txt,copied,Header sidecar for SD0004
JA00015,J002,UNI01,C002,,JR0004,,journey_run,log_reference,artifacts/journeys/J002_C002_semiotica/metadata/journey_log.csv,artifacts/journeys/J002_C002_semiotica/metadata/journey_log.csv,generated,Primary observed journey log for JR0004
JA00017,J002,UNI01,C002,,,,pilot_reference,crosswalk,data/collection/pilot_course_journey_crosswalk.csv,artifacts/journeys/J002_C002_semiotica/pilot_reference/course_journey_crosswalk_row.csv,generated,Pilot metadata integrated as journey-level historical reference.
JA00018,J002,UNI01,C002,,,,pilot_reference,raw_html,artifacts/runs/CR023_2026-04-22_pilot-raw-html-backfill/SD0092.html,artifacts/journeys/J002_C002_semiotica/pilot_reference/SD0092.html,reconstructed,"Current HTML fallback captured on 2026-04-22 for local inspection; SHA-256 differs from the historical pilot record, so the original bytes remain unavailable."
JA00384,J002,UNI01,C002,,,,pilot_reference,audit_row,data/collection/pilot_audit_matrix.csv,artifacts/journeys/J002_C002_semiotica/pilot_reference/pilot_audit_row.csv,generated,Historical LM-92 audit row normalized to current IDs.
JA00385,J002,UNI01,C002,CR000,,SD0092,pilot_reference,source_document_row,data/collection/source_document.csv,artifacts/journeys/J002_C002_semiotica/pilot_reference/pilot_source_document_row.csv,generated,Historical LM-92 source-document row normalized to canonical collection IDs.
JA00386,J002,UNI01,C002,CR000,,SD0092,pilot_reference,source_fragment_rows,data/collection/source_fragment.csv,artifacts/journeys/J002_C002_semiotica/pilot_reference/pilot_source_fragment_rows.csv,generated,Historical LM-92 source fragments normalized to canonical collection IDs.
JA00395,J002,UNI01,C002,CR022,JR0004,,journey_support,homepage,artifacts/runs/CR022_2026-04-22_journey-support-backfill_j001_j006/batch_support/unibo_home.html,artifacts/journeys/J002_C002_semiotica/journey_support/CR022_unibo_home.html,copied,ISS-006 backfill from logged journey URL captured on 2026-04-22.
JA00396,J002,UNI01,C002,CR022,JR0004,,journey_support,programmes_hub,artifacts/runs/CR022_2026-04-22_journey-support-backfill_j001_j006/batch_support/unibo_studiare.html,artifacts/journeys/J002_C002_semiotica/journey_support/CR022_unibo_studiare.html,copied,ISS-006 backfill from logged journey URL captured on 2026-04-22.
JA00397,J002,UNI01,C002,CR022,JR0004,,journey_support,degree_type_listing,artifacts/runs/CR022_2026-04-22_journey-support-backfill_j001_j006/batch_support/unibo_magistrali_listing.html,artifacts/journeys/J002_C002_semiotica/journey_support/CR022_unibo_magistrali_listing.html,copied,ISS-006 backfill from logged journey URL captured on 2026-04-22.
