journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00019,J003,UNI02,C003,CR001,,SD0005,source_document,university_homepage,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0005.html,artifacts/journeys/J003_C003_comunicazione/source/SD0005.html,copied,Università di Padova
JA00020,J003,UNI02,C003,CR001,,SD0005,source_header,university_homepage,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0005.headers.txt,artifacts/journeys/J003_C003_comunicazione/source/SD0005.headers.txt,copied,Header sidecar for SD0005
JA00021,J003,UNI02,C003,CR001,,SD0006,source_document,programmes_hub,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0006.html,artifacts/journeys/J003_C003_comunicazione/source/SD0006.html,copied,Didattica | Università di Padova
JA00022,J003,UNI02,C003,CR001,,SD0006,source_header,programmes_hub,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0006.headers.txt,artifacts/journeys/J003_C003_comunicazione/source/SD0006.headers.txt,copied,Header sidecar for SD0006
JA00023,J003,UNI02,C003,CR001,,SD0007,source_document,course_page,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0007.html,artifacts/journeys/J003_C003_comunicazione/source/SD0007.html,copied,Comunicazione | Università di Padova
JA00024,J003,UNI02,C003,CR001,,SD0007,source_header,course_page,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0007.headers.txt,artifacts/journeys/J003_C003_comunicazione/source/SD0007.headers.txt,copied,Header sidecar for SD0007
JA00025,J003,UNI02,C003,CR015,,SD0088,source_document,programmes_hub,artifacts/runs/CR015_2026-04-20_unipd_platform_normalization/SD0088.html,artifacts/journeys/J003_C003_comunicazione/source/SD0088.html,copied,Corsi | Università di Padova
JA00026,J003,UNI02,C003,CR015,,SD0088,source_header,programmes_hub,artifacts/runs/CR015_2026-04-20_unipd_platform_normalization/SD0088.headers.txt,artifacts/journeys/J003_C003_comunicazione/source/SD0088.headers.txt,copied,Header sidecar for SD0088
JA00027,J003,UNI02,C003,CR015,,SD0089,source_document,course_page,artifacts/runs/CR015_2026-04-20_unipd_platform_normalization/SD0089.html,artifacts/journeys/J003_C003_comunicazione/source/SD0089.html,copied,COMUNICAZIONE | Università di Padova
JA00028,J003,UNI02,C003,CR015,,SD0089,source_header,course_page,artifacts/runs/CR015_2026-04-20_unipd_platform_normalization/SD0089.headers.txt,artifacts/journeys/J003_C003_comunicazione/source/SD0089.headers.txt,copied,Header sidecar for SD0089
JA00029,J003,UNI02,C003,,JR0005,,journey_run,log_reference,artifacts/journeys/J003_C003_comunicazione/metadata/journey_log.csv,artifacts/journeys/J003_C003_comunicazione/metadata/journey_log.csv,generated,Primary observed journey log for JR0005
JA00398,J003,UNI02,C003,CR022,JR0005,,journey_support,homepage,artifacts/runs/CR022_2026-04-22_journey-support-backfill_j001_j006/batch_support/unipd_home.html,artifacts/journeys/J003_C003_comunicazione/journey_support/CR022_unipd_home.html,copied,ISS-006 backfill from logged journey URL captured on 2026-04-22.
JA00399,J003,UNI02,C003,CR022,JR0005,,journey_support,programmes_hub,artifacts/runs/CR022_2026-04-22_journey-support-backfill_j001_j006/batch_support/unipd_corsi_di_laurea.html,artifacts/journeys/J003_C003_comunicazione/journey_support/CR022_unipd_corsi_di_laurea.html,copied,ISS-006 backfill from logged journey URL captured on 2026-04-22.
