journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00031,J004,UNI02,C004,CR001,,SD0005,source_document,university_homepage,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0005.html,artifacts/journeys/J004_C004_strategie-di-comunicazione/source/SD0005.html,copied,Università di Padova
JA00032,J004,UNI02,C004,CR001,,SD0005,source_header,university_homepage,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0005.headers.txt,artifacts/journeys/J004_C004_strategie-di-comunicazione/source/SD0005.headers.txt,copied,Header sidecar for SD0005
JA00033,J004,UNI02,C004,CR001,,SD0006,source_document,programmes_hub,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0006.html,artifacts/journeys/J004_C004_strategie-di-comunicazione/source/SD0006.html,copied,Didattica | Università di Padova
JA00034,J004,UNI02,C004,CR001,,SD0006,source_header,programmes_hub,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0006.headers.txt,artifacts/journeys/J004_C004_strategie-di-comunicazione/source/SD0006.headers.txt,copied,Header sidecar for SD0006
JA00035,J004,UNI02,C004,CR001,,SD0008,source_document,course_page,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0008.html,artifacts/journeys/J004_C004_strategie-di-comunicazione/source/SD0008.html,copied,| Università di Padova
JA00036,J004,UNI02,C004,CR001,,SD0008,source_header,course_page,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0008.headers.txt,artifacts/journeys/J004_C004_strategie-di-comunicazione/source/SD0008.headers.txt,copied,Header sidecar for SD0008
JA00037,J004,UNI02,C004,CR015,,SD0088,source_document,programmes_hub,artifacts/runs/CR015_2026-04-20_unipd_platform_normalization/SD0088.html,artifacts/journeys/J004_C004_strategie-di-comunicazione/source/SD0088.html,copied,Corsi | Università di Padova
JA00038,J004,UNI02,C004,CR015,,SD0088,source_header,programmes_hub,artifacts/runs/CR015_2026-04-20_unipd_platform_normalization/SD0088.headers.txt,artifacts/journeys/J004_C004_strategie-di-comunicazione/source/SD0088.headers.txt,copied,Header sidecar for SD0088
JA00039,J004,UNI02,C004,CR017,,SD0090,source_document,course_page,artifacts/runs/CR017_2026-04-21_unipd_c004_resolution/SD0090.html,artifacts/journeys/J004_C004_strategie-di-comunicazione/source/SD0090.html,copied,STRATEGIE DI COMUNICAZIONE | Università di Padova
JA00040,J004,UNI02,C004,CR017,,SD0090,source_header,course_page,artifacts/runs/CR017_2026-04-21_unipd_c004_resolution/SD0090.headers.txt,artifacts/journeys/J004_C004_strategie-di-comunicazione/source/SD0090.headers.txt,copied,Header sidecar for SD0090
JA00041,J004,UNI02,C004,,JR0006,,journey_run,log_reference,artifacts/journeys/J004_C004_strategie-di-comunicazione/metadata/journey_log.csv,artifacts/journeys/J004_C004_strategie-di-comunicazione/metadata/journey_log.csv,generated,Primary observed journey log for JR0006
JA00043,J004,UNI02,C004,,,,pilot_reference,crosswalk,data/collection/pilot_course_journey_crosswalk.csv,artifacts/journeys/J004_C004_strategie-di-comunicazione/pilot_reference/course_journey_crosswalk_row.csv,generated,Pilot metadata integrated as journey-level historical reference.
JA00044,J004,UNI02,C004,,,,pilot_reference,raw_html,artifacts/runs/CR000_2026-04-02_lm92_pilot_seed_capture/SD0093.html,artifacts/journeys/J004_C004_strategie-di-comunicazione/pilot_reference/SD0093.html,available,Historical pilot raw HTML restored locally and hash-verified against the canonical pilot SHA-256.
JA00387,J004,UNI02,C004,,,,pilot_reference,audit_row,data/collection/pilot_audit_matrix.csv,artifacts/journeys/J004_C004_strategie-di-comunicazione/pilot_reference/pilot_audit_row.csv,generated,Historical LM-92 audit row normalized to current IDs.
JA00388,J004,UNI02,C004,CR000,,SD0093,pilot_reference,source_document_row,data/collection/source_document.csv,artifacts/journeys/J004_C004_strategie-di-comunicazione/pilot_reference/pilot_source_document_row.csv,generated,Historical LM-92 source-document row normalized to canonical collection IDs.
JA00389,J004,UNI02,C004,CR000,,SD0093,pilot_reference,source_fragment_rows,data/collection/source_fragment.csv,artifacts/journeys/J004_C004_strategie-di-comunicazione/pilot_reference/pilot_source_fragment_rows.csv,generated,Historical LM-92 source fragments normalized to canonical collection IDs.
JA00400,J004,UNI02,C004,CR022,JR0006,,journey_support,homepage,artifacts/runs/CR022_2026-04-22_journey-support-backfill_j001_j006/batch_support/unipd_home.html,artifacts/journeys/J004_C004_strategie-di-comunicazione/journey_support/CR022_unipd_home.html,copied,ISS-006 backfill from logged journey URL captured on 2026-04-22.
JA00401,J004,UNI02,C004,CR022,JR0006,,journey_support,programmes_hub,artifacts/runs/CR022_2026-04-22_journey-support-backfill_j001_j006/batch_support/unipd_corsi_di_laurea.html,artifacts/journeys/J004_C004_strategie-di-comunicazione/journey_support/CR022_unipd_corsi_di_laurea.html,copied,ISS-006 backfill from logged journey URL captured on 2026-04-22.
