journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00045,J005,UNI03,C005,CR002,,SD0009,source_document,university_homepage,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0009.html,artifacts/journeys/J005_C005_discipline-dello-spettacolo-e-della-comunicazione/source/SD0009.html,copied,Home ~ UNIPI
JA00046,J005,UNI03,C005,CR002,,SD0009,source_header,university_homepage,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0009.headers.txt,artifacts/journeys/J005_C005_discipline-dello-spettacolo-e-della-comunicazione/source/SD0009.headers.txt,copied,Header sidecar for SD0009
JA00047,J005,UNI03,C005,CR002,,SD0010,source_document,programmes_hub,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0010.html,artifacts/journeys/J005_C005_discipline-dello-spettacolo-e-della-comunicazione/source/SD0010.html,copied,Didattica ~ UNIPI
JA00048,J005,UNI03,C005,CR002,,SD0010,source_header,programmes_hub,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0010.headers.txt,artifacts/journeys/J005_C005_discipline-dello-spettacolo-e-della-comunicazione/source/SD0010.headers.txt,copied,Header sidecar for SD0010
JA00049,J005,UNI03,C005,CR002,,SD0011,source_document,course_page,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0011.html,artifacts/journeys/J005_C005_discipline-dello-spettacolo-e-della-comunicazione/source/SD0011.html,copied,Discipline dello spettacolo e della comunicazione ~ UNIPI
JA00050,J005,UNI03,C005,CR002,,SD0011,source_header,course_page,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0011.headers.txt,artifacts/journeys/J005_C005_discipline-dello-spettacolo-e-della-comunicazione/source/SD0011.headers.txt,copied,Header sidecar for SD0011
JA00051,J005,UNI03,C005,,JR0002,,journey_run,log_reference,artifacts/journeys/J005_C005_discipline-dello-spettacolo-e-della-comunicazione/metadata/journey_log.csv,artifacts/journeys/J005_C005_discipline-dello-spettacolo-e-della-comunicazione/metadata/journey_log.csv,generated,Primary observed journey log for JR0002
JA00402,J005,UNI03,C005,CR022,JR0002,,journey_support,homepage,artifacts/runs/CR022_2026-04-22_journey-support-backfill_j001_j006/batch_support/unipi_home.html,artifacts/journeys/J005_C005_discipline-dello-spettacolo-e-della-comunicazione/journey_support/CR022_unipi_home.html,copied,ISS-006 backfill from logged journey URL captured on 2026-04-22.
JA00403,J005,UNI03,C005,CR022,JR0002,,journey_support,search_results,artifacts/runs/CR022_2026-04-22_journey-support-backfill_j001_j006/batch_support/unipi_search_j005.html,artifacts/journeys/J005_C005_discipline-dello-spettacolo-e-della-comunicazione/journey_support/CR022_unipi_search_j005.html,copied,ISS-006 backfill from logged journey URL captured on 2026-04-22.
JA00404,J005,UNI03,C005,CR022,JR0002,,journey_support,course_page,artifacts/runs/CR022_2026-04-22_journey-support-backfill_j001_j006/batch_support/unipi_course_j005.html,artifacts/journeys/J005_C005_discipline-dello-spettacolo-e-della-comunicazione/journey_support/CR022_unipi_course_j005.html,copied,ISS-006 backfill from logged journey URL captured on 2026-04-22.
