journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00053,J006,UNI03,C006,CR002,,SD0009,source_document,university_homepage,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0009.html,artifacts/journeys/J006_C006_comunicazione-media-tecnologie/source/SD0009.html,copied,Home ~ UNIPI
JA00054,J006,UNI03,C006,CR002,,SD0009,source_header,university_homepage,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0009.headers.txt,artifacts/journeys/J006_C006_comunicazione-media-tecnologie/source/SD0009.headers.txt,copied,Header sidecar for SD0009
JA00055,J006,UNI03,C006,CR002,,SD0010,source_document,programmes_hub,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0010.html,artifacts/journeys/J006_C006_comunicazione-media-tecnologie/source/SD0010.html,copied,Didattica ~ UNIPI
JA00056,J006,UNI03,C006,CR002,,SD0010,source_header,programmes_hub,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0010.headers.txt,artifacts/journeys/J006_C006_comunicazione-media-tecnologie/source/SD0010.headers.txt,copied,Header sidecar for SD0010
JA00057,J006,UNI03,C006,CR002,,SD0012,source_document,course_page,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0012.html,artifacts/journeys/J006_C006_comunicazione-media-tecnologie/source/SD0012.html,copied,"Comunicazione, media, tecnologie ~ UNIPI"
JA00058,J006,UNI03,C006,CR002,,SD0012,source_header,course_page,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0012.headers.txt,artifacts/journeys/J006_C006_comunicazione-media-tecnologie/source/SD0012.headers.txt,copied,Header sidecar for SD0012
JA00059,J006,UNI03,C006,,JR0003,,journey_run,log_reference,artifacts/journeys/J006_C006_comunicazione-media-tecnologie/metadata/journey_log.csv,artifacts/journeys/J006_C006_comunicazione-media-tecnologie/metadata/journey_log.csv,generated,Primary observed journey log for JR0003
JA00061,J006,UNI03,C006,,,,pilot_reference,crosswalk,data/collection/pilot_course_journey_crosswalk.csv,artifacts/journeys/J006_C006_comunicazione-media-tecnologie/pilot_reference/course_journey_crosswalk_row.csv,generated,Pilot metadata integrated as journey-level historical reference.
JA00062,J006,UNI03,C006,,,,pilot_reference,raw_html,artifacts/runs/CR023_2026-04-22_pilot-raw-html-backfill/SD0094.html,artifacts/journeys/J006_C006_comunicazione-media-tecnologie/pilot_reference/SD0094.html,reconstructed,"Current HTML fallback captured on 2026-04-22 for local inspection; SHA-256 differs from the historical pilot record, so the original bytes remain unavailable."
JA00378,J006,UNI03,C006,,,,pilot_reference,audit_row,data/collection/pilot_audit_matrix.csv,artifacts/journeys/J006_C006_comunicazione-media-tecnologie/pilot_reference/pilot_audit_row.csv,generated,Historical LM-92 audit row normalized to current IDs.
JA00379,J006,UNI03,C006,CR000,,SD0094,pilot_reference,source_document_row,data/collection/source_document.csv,artifacts/journeys/J006_C006_comunicazione-media-tecnologie/pilot_reference/pilot_source_document_row.csv,generated,Historical LM-92 source-document row normalized to canonical collection IDs.
JA00380,J006,UNI03,C006,CR000,,SD0094,pilot_reference,source_fragment_rows,data/collection/source_fragment.csv,artifacts/journeys/J006_C006_comunicazione-media-tecnologie/pilot_reference/pilot_source_fragment_rows.csv,generated,Historical LM-92 source fragments normalized to canonical collection IDs.
JA00405,J006,UNI03,C006,CR022,JR0003,,journey_support,homepage,artifacts/runs/CR022_2026-04-22_journey-support-backfill_j001_j006/batch_support/unipi_home.html,artifacts/journeys/J006_C006_comunicazione-media-tecnologie/journey_support/CR022_unipi_home.html,copied,ISS-006 backfill from logged journey URL captured on 2026-04-22.
JA00406,J006,UNI03,C006,CR022,JR0003,,journey_support,search_results,artifacts/runs/CR022_2026-04-22_journey-support-backfill_j001_j006/batch_support/unipi_search_j006.html,artifacts/journeys/J006_C006_comunicazione-media-tecnologie/journey_support/CR022_unipi_search_j006.html,copied,ISS-006 backfill from logged journey URL captured on 2026-04-22.
JA00407,J006,UNI03,C006,CR022,JR0003,,journey_support,course_page,artifacts/runs/CR022_2026-04-22_journey-support-backfill_j001_j006/batch_support/unipi_course_j006.html,artifacts/journeys/J006_C006_comunicazione-media-tecnologie/journey_support/CR022_unipi_course_j006.html,copied,ISS-006 backfill from logged journey URL captured on 2026-04-22.
