journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00063,J007,UNI04,C007,CR002,,SD0013,source_document,university_homepage,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0013.html,artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/source/SD0013.html,copied,Università di Firenze
JA00064,J007,UNI04,C007,CR002,,SD0013,source_header,university_homepage,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0013.headers.txt,artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/source/SD0013.headers.txt,copied,Header sidecar for SD0013
JA00065,J007,UNI04,C007,CR002,,SD0015,source_document,course_page,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0015.html,artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/source/SD0015.html,copied,Scienze Umanistiche per la Comunicazione | Università di Firenze
JA00066,J007,UNI04,C007,CR002,,SD0015,source_header,course_page,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0015.headers.txt,artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/source/SD0015.headers.txt,copied,Header sidecar for SD0015
JA00067,J007,UNI04,C007,CR003,,SD0021,source_document,programmes_hub,artifacts/runs/CR003_2026-04-03_unifi_hub_normalization/SD0021.html,artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/source/SD0021.html,copied,Corsi di laurea | Università di Firenze
JA00068,J007,UNI04,C007,CR003,,SD0021,source_header,programmes_hub,artifacts/runs/CR003_2026-04-03_unifi_hub_normalization/SD0021.headers.txt,artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/source/SD0021.headers.txt,copied,Header sidecar for SD0021
JA00069,J007,UNI04,C007,,JR0007,,journey_run,log_reference,artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/metadata/journey_log.csv,artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/metadata/journey_log.csv,generated,Primary observed journey log for JR0007
JA00070,J007,UNI04,C007,CR018,JR0007,,journey_support,homepage,artifacts/runs/CR018_2026-04-21_journey03_j007_j008_j009/batch_support/unifi_home.html,artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/journey_support/CR018_unifi_home.html,copied,Support capture migrated from completed batch CR018
JA00071,J007,UNI04,C007,CR018,JR0007,,journey_support,programmes_hub,artifacts/runs/CR018_2026-04-21_journey03_j007_j008_j009/batch_support/unifi_hub.html,artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/journey_support/CR018_unifi_hub.html,copied,Support capture migrated from completed batch CR018
JA00072,J007,UNI04,C007,CR018,JR0007,,journey_support,degree_type_listing,artifacts/runs/CR018_2026-04-21_journey03_j007_j008_j009/batch_support/unifi_triennali.html,artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/journey_support/CR018_unifi_triennali.html,copied,Support capture migrated from completed batch CR018
JA00073,J007,UNI04,C007,CR018,JR0007,,journey_support,listing_search_result,artifacts/runs/CR018_2026-04-21_journey03_j007_j008_j009/batch_support/unifi_triennali_search_j007.html,artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/journey_support/CR018_unifi_triennali_search_j007.html,copied,Support capture migrated from completed batch CR018
