journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00074,J008,UNI04,C008,CR002,,SD0013,source_document,university_homepage,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0013.html,artifacts/journeys/J008_C008_pratiche-linguaggi-e-culture-della-comunicazione/source/SD0013.html,copied,Università di Firenze
JA00075,J008,UNI04,C008,CR002,,SD0013,source_header,university_homepage,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0013.headers.txt,artifacts/journeys/J008_C008_pratiche-linguaggi-e-culture-della-comunicazione/source/SD0013.headers.txt,copied,Header sidecar for SD0013
JA00076,J008,UNI04,C008,CR002,,SD0016,source_document,course_page,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0016.html,artifacts/journeys/J008_C008_pratiche-linguaggi-e-culture-della-comunicazione/source/SD0016.html,copied,"[B385] PRATICHE, LINGUAGGI E CULTURE DELLA COMUNICAZIONE | Università di Firenze"
JA00077,J008,UNI04,C008,CR002,,SD0016,source_header,course_page,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0016.headers.txt,artifacts/journeys/J008_C008_pratiche-linguaggi-e-culture-della-comunicazione/source/SD0016.headers.txt,copied,Header sidecar for SD0016
JA00078,J008,UNI04,C008,CR003,,SD0021,source_document,programmes_hub,artifacts/runs/CR003_2026-04-03_unifi_hub_normalization/SD0021.html,artifacts/journeys/J008_C008_pratiche-linguaggi-e-culture-della-comunicazione/source/SD0021.html,copied,Corsi di laurea | Università di Firenze
JA00079,J008,UNI04,C008,CR003,,SD0021,source_header,programmes_hub,artifacts/runs/CR003_2026-04-03_unifi_hub_normalization/SD0021.headers.txt,artifacts/journeys/J008_C008_pratiche-linguaggi-e-culture-della-comunicazione/source/SD0021.headers.txt,copied,Header sidecar for SD0021
JA00080,J008,UNI04,C008,,JR0008,,journey_run,log_reference,artifacts/journeys/J008_C008_pratiche-linguaggi-e-culture-della-comunicazione/metadata/journey_log.csv,artifacts/journeys/J008_C008_pratiche-linguaggi-e-culture-della-comunicazione/metadata/journey_log.csv,generated,Primary observed journey log for JR0008
JA00081,J008,UNI04,C008,CR018,JR0008,,journey_support,homepage,artifacts/runs/CR018_2026-04-21_journey03_j007_j008_j009/batch_support/unifi_home.html,artifacts/journeys/J008_C008_pratiche-linguaggi-e-culture-della-comunicazione/journey_support/CR018_unifi_home.html,copied,Support capture migrated from completed batch CR018
JA00082,J008,UNI04,C008,CR018,JR0008,,journey_support,programmes_hub,artifacts/runs/CR018_2026-04-21_journey03_j007_j008_j009/batch_support/unifi_hub.html,artifacts/journeys/J008_C008_pratiche-linguaggi-e-culture-della-comunicazione/journey_support/CR018_unifi_hub.html,copied,Support capture migrated from completed batch CR018
JA00083,J008,UNI04,C008,CR018,JR0008,,journey_support,degree_type_listing,artifacts/runs/CR018_2026-04-21_journey03_j007_j008_j009/batch_support/unifi_magistrali.html,artifacts/journeys/J008_C008_pratiche-linguaggi-e-culture-della-comunicazione/journey_support/CR018_unifi_magistrali.html,copied,Support capture migrated from completed batch CR018
JA00084,J008,UNI04,C008,CR018,JR0008,,journey_support,listing_search_result,artifacts/runs/CR018_2026-04-21_journey03_j007_j008_j009/batch_support/unifi_magistrali_search_j008.html,artifacts/journeys/J008_C008_pratiche-linguaggi-e-culture-della-comunicazione/journey_support/CR018_unifi_magistrali_search_j008.html,copied,Support capture migrated from completed batch CR018
JA00085,J008,UNI04,C008,,,,pilot_reference,crosswalk,data/collection/pilot_course_journey_crosswalk.csv,artifacts/journeys/J008_C008_pratiche-linguaggi-e-culture-della-comunicazione/pilot_reference/course_journey_crosswalk_row.csv,generated,Pilot metadata integrated as journey-level historical reference.
JA00086,J008,UNI04,C008,,,,pilot_reference,raw_html,artifacts/runs/CR000_2026-04-02_lm92_pilot_seed_capture/SD0095.php,artifacts/journeys/J008_C008_pratiche-linguaggi-e-culture-della-comunicazione/pilot_reference/SD0095.php,available,Historical pilot raw HTML restored locally and hash-verified against the canonical pilot SHA-256.
JA00390,J008,UNI04,C008,,,,pilot_reference,audit_row,data/collection/pilot_audit_matrix.csv,artifacts/journeys/J008_C008_pratiche-linguaggi-e-culture-della-comunicazione/pilot_reference/pilot_audit_row.csv,generated,Historical LM-92 audit row normalized to current IDs.
JA00391,J008,UNI04,C008,CR000,,SD0095,pilot_reference,source_document_row,data/collection/source_document.csv,artifacts/journeys/J008_C008_pratiche-linguaggi-e-culture-della-comunicazione/pilot_reference/pilot_source_document_row.csv,generated,Historical LM-92 source-document row normalized to canonical collection IDs.
JA00392,J008,UNI04,C008,CR000,,SD0095,pilot_reference,source_fragment_rows,data/collection/source_fragment.csv,artifacts/journeys/J008_C008_pratiche-linguaggi-e-culture-della-comunicazione/pilot_reference/pilot_source_fragment_rows.csv,generated,Historical LM-92 source fragments normalized to canonical collection IDs.
