journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00098,J010,UNI05,C010,CR002,,SD0017,source_document,university_homepage,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0017.html,artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/source/SD0017.html,copied,Università degli Studi di Siena
JA00099,J010,UNI05,C010,CR002,,SD0017,source_header,university_homepage,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0017.headers.txt,artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/source/SD0017.headers.txt,copied,Header sidecar for SD0017
JA00100,J010,UNI05,C010,CR002,,SD0018,source_document,programmes_hub,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0018.html,artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/source/SD0018.html,copied,Didattica | Università degli Studi di Siena
JA00101,J010,UNI05,C010,CR002,,SD0018,source_header,programmes_hub,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0018.headers.txt,artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/source/SD0018.headers.txt,copied,Header sidecar for SD0018
JA00102,J010,UNI05,C010,CR002,,SD0020,source_document,course_page,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0020.html,artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/source/SD0020.html,copied,[D003] STRATEGIE E TECNICHE DELLA COMUNICAZIONE | Università degli Studi di Siena
JA00103,J010,UNI05,C010,CR002,,SD0020,source_header,course_page,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0020.headers.txt,artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/source/SD0020.headers.txt,copied,Header sidecar for SD0020
JA00104,J010,UNI05,C010,CR019,,SD0091,source_document,course_page,artifacts/runs/CR019_2026-04-21_unisi_c010_normalization/SD0091.html,artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/source/SD0091.html,copied,[D615] STRATEGIE E TECNICHE DELLA COMUNICAZIONE | Università degli Studi di Siena
JA00105,J010,UNI05,C010,CR019,,SD0091,source_header,course_page,artifacts/runs/CR019_2026-04-21_unisi_c010_normalization/SD0091.headers.txt,artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/source/SD0091.headers.txt,copied,Header sidecar for SD0091
JA00106,J010,UNI05,C010,,JR0010,,journey_run,log_reference,artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/metadata/journey_log.csv,artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/metadata/journey_log.csv,generated,Primary observed journey log for JR0010
JA00107,J010,UNI05,C010,CR020,JR0010,,journey_support,homepage,artifacts/runs/CR020_2026-04-21_journey04_j010_j011_j012/batch_support/unisi_home.html,artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/journey_support/CR020_unisi_home.html,copied,Support capture migrated from completed batch CR020
JA00108,J010,UNI05,C010,CR020,JR0010,,journey_support,programmes_hub,artifacts/runs/CR020_2026-04-21_journey04_j010_j011_j012/batch_support/unisi_didattica.html,artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/journey_support/CR020_unisi_didattica.html,copied,Support capture migrated from completed batch CR020
JA00109,J010,UNI05,C010,CR020,JR0010,,journey_support,historical_course_sheet,artifacts/runs/CR020_2026-04-21_journey04_j010_j011_j012/batch_support/unisi_degree_22463.html,artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/journey_support/CR020_unisi_degree_22463.html,copied,Support capture migrated from completed batch CR020
JA00110,J010,UNI05,C010,CR020,JR0010,,journey_support,course_sheet,artifacts/runs/CR020_2026-04-21_journey04_j010_j011_j012/batch_support/unisi_degree_82714.html,artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/journey_support/CR020_unisi_degree_82714.html,copied,Support capture migrated from completed batch CR020
JA00111,J010,UNI05,C010,CR020,JR0010,,journey_support,dedicated_course_site,artifacts/runs/CR020_2026-04-21_journey04_j010_j011_j012/batch_support/unisi_course_site_j010.html,artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/journey_support/CR020_unisi_course_site_j010.html,copied,Support capture migrated from completed batch CR020
