journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00128,J012,UNI06,C012,CR004,,SD0022,source_document,university_homepage,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0022.html,artifacts/journeys/J012_C012_comunicazione-e-culture-dei-media/source/SD0022.html,copied,L'Università di Torino
JA00129,J012,UNI06,C012,CR004,,SD0022,source_header,university_homepage,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0022.headers.txt,artifacts/journeys/J012_C012_comunicazione-e-culture-dei-media/source/SD0022.headers.txt,copied,Header sidecar for SD0022
JA00130,J012,UNI06,C012,CR004,,SD0023,source_document,programmes_hub,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0023.html,artifacts/journeys/J012_C012_comunicazione-e-culture-dei-media/source/SD0023.html,copied,Didattica | Università di Torino
JA00131,J012,UNI06,C012,CR004,,SD0023,source_header,programmes_hub,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0023.headers.txt,artifacts/journeys/J012_C012_comunicazione-e-culture-dei-media/source/SD0023.headers.txt,copied,Header sidecar for SD0023
JA00132,J012,UNI06,C012,CR004,,SD0025,source_document,course_page,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0025.html,artifacts/journeys/J012_C012_comunicazione-e-culture-dei-media/source/SD0025.html,copied,[0507M21] COMUNICAZIONE E CULTURE DEI MEDIA | Università di Torino
JA00133,J012,UNI06,C012,CR004,,SD0025,source_header,course_page,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0025.headers.txt,artifacts/journeys/J012_C012_comunicazione-e-culture-dei-media/source/SD0025.headers.txt,copied,Header sidecar for SD0025
JA00134,J012,UNI06,C012,,JR0012,,journey_run,log_reference,artifacts/journeys/J012_C012_comunicazione-e-culture-dei-media/metadata/journey_log.csv,artifacts/journeys/J012_C012_comunicazione-e-culture-dei-media/metadata/journey_log.csv,generated,Primary observed journey log for JR0012
JA00135,J012,UNI06,C012,CR020,JR0012,,journey_support,homepage,artifacts/runs/CR020_2026-04-21_journey04_j010_j011_j012/batch_support/unito_home.html,artifacts/journeys/J012_C012_comunicazione-e-culture-dei-media/journey_support/CR020_unito_home.html,copied,Support capture migrated from completed batch CR020
JA00136,J012,UNI06,C012,CR020,JR0012,,journey_support,programmes_hub,artifacts/runs/CR020_2026-04-21_journey04_j010_j011_j012/batch_support/unito_didattica.html,artifacts/journeys/J012_C012_comunicazione-e-culture-dei-media/journey_support/CR020_unito_didattica.html,copied,Support capture migrated from completed batch CR020
JA00137,J012,UNI06,C012,CR020,JR0012,,journey_support,intermediate_navigation,artifacts/runs/CR020_2026-04-21_journey04_j010_j011_j012/batch_support/unito_offerta_formativa.html,artifacts/journeys/J012_C012_comunicazione-e-culture-dei-media/journey_support/CR020_unito_offerta_formativa.html,copied,Support capture migrated from completed batch CR020
