journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00144,J013,UNI07,C013,CR004,,SD0026,source_document,university_homepage,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0026.html,artifacts/journeys/J013_C013_media-comunicazione-e-societa/source/SD0026.html,copied,Università degli Studi di Genova | UniGe
JA00145,J013,UNI07,C013,CR004,,SD0026,source_header,university_homepage,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0026.headers.txt,artifacts/journeys/J013_C013_media-comunicazione-e-societa/source/SD0026.headers.txt,copied,Header sidecar for SD0026
JA00146,J013,UNI07,C013,CR004,,SD0027,source_document,programmes_hub,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0027.html,artifacts/journeys/J013_C013_media-comunicazione-e-societa/source/SD0027.html,copied,Offerta formativa | Corsi di Studio UniGe
JA00147,J013,UNI07,C013,CR004,,SD0027,source_header,programmes_hub,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0027.headers.txt,artifacts/journeys/J013_C013_media-comunicazione-e-societa/source/SD0027.headers.txt,copied,Header sidecar for SD0027
JA00148,J013,UNI07,C013,CR004,,SD0028,source_document,course_page,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0028.html,artifacts/journeys/J013_C013_media-comunicazione-e-societa/source/SD0028.html,copied,"CORSO DI LAUREA TRIENNALE (D.M. 1648/2023) in MEDIA, COMUNICAZIONE E SOCIETÀ | UniGe | Università di Genova | Corsi di Studio UniGe"
JA00149,J013,UNI07,C013,CR004,,SD0028,source_header,course_page,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0028.headers.txt,artifacts/journeys/J013_C013_media-comunicazione-e-societa/source/SD0028.headers.txt,copied,Header sidecar for SD0028
JA00150,J013,UNI07,C013,,JR0013,,journey_run,log_reference,artifacts/journeys/J013_C013_media-comunicazione-e-societa/metadata/journey_log.csv,artifacts/journeys/J013_C013_media-comunicazione-e-societa/metadata/journey_log.csv,generated,Primary observed journey log for JR0013
JA00151,J013,UNI07,C013,CR021,JR0013,,journey_support,homepage,artifacts/runs/CR021_2026-04-22_journey05_j013_j014_j015/batch_support/unige_home.html,artifacts/journeys/J013_C013_media-comunicazione-e-societa/journey_support/CR021_unige_home.html,copied,Support capture migrated from completed batch CR021
JA00152,J013,UNI07,C013,CR021,JR0013,,journey_support,course_portal_home,artifacts/runs/CR021_2026-04-22_journey05_j013_j014_j015/batch_support/unige_corsi_hub.html,artifacts/journeys/J013_C013_media-comunicazione-e-societa/journey_support/CR021_unige_corsi_hub.html,copied,Support capture migrated from completed batch CR021
JA00153,J013,UNI07,C013,CR021,JR0013,,journey_support,course_portal_listing,artifacts/runs/CR021_2026-04-22_journey05_j013_j014_j015/batch_support/unige_corsidilaurea.html,artifacts/journeys/J013_C013_media-comunicazione-e-societa/journey_support/CR021_unige_corsidilaurea.html,copied,Support capture migrated from completed batch CR021
JA00154,J013,UNI07,C013,CR021,JR0013,,journey_support,degree_type_listing,artifacts/runs/CR021_2026-04-22_journey05_j013_j014_j015/batch_support/unige_corsi_triennale.html,artifacts/journeys/J013_C013_media-comunicazione-e-societa/journey_support/CR021_unige_corsi_triennale.html,copied,Support capture migrated from completed batch CR021
JA00155,J013,UNI07,C013,CR021,JR0013,,journey_support,course_page,artifacts/runs/CR021_2026-04-22_journey05_j013_j014_j015/batch_support/unige_course_j013_11938.html,artifacts/journeys/J013_C013_media-comunicazione-e-societa/journey_support/CR021_unige_course_j013_11938.html,copied,Support capture migrated from completed batch CR021
