journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00156,J014,UNI07,C014,CR004,,SD0026,source_document,university_homepage,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0026.html,artifacts/journeys/J014_C014_digital-humanities-interactive-systems-and-digital-media/source/SD0026.html,copied,Università degli Studi di Genova | UniGe
JA00157,J014,UNI07,C014,CR004,,SD0026,source_header,university_homepage,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0026.headers.txt,artifacts/journeys/J014_C014_digital-humanities-interactive-systems-and-digital-media/source/SD0026.headers.txt,copied,Header sidecar for SD0026
JA00158,J014,UNI07,C014,CR004,,SD0027,source_document,programmes_hub,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0027.html,artifacts/journeys/J014_C014_digital-humanities-interactive-systems-and-digital-media/source/SD0027.html,copied,Offerta formativa | Corsi di Studio UniGe
JA00159,J014,UNI07,C014,CR004,,SD0027,source_header,programmes_hub,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0027.headers.txt,artifacts/journeys/J014_C014_digital-humanities-interactive-systems-and-digital-media/source/SD0027.headers.txt,copied,Header sidecar for SD0027
JA00160,J014,UNI07,C014,CR004,,SD0029,source_document,course_page,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0029.html,artifacts/journeys/J014_C014_digital-humanities-interactive-systems-and-digital-media/source/SD0029.html,copied,CORSO DI LAUREA MAGISTRALE (D.M. 1649/2023) in DIGITAL HUMANITIES - INTERACTIVE SYSTEMS AND DIGITAL MEDIA | UniGe | Università di Genova | Corsi di Studio UniGe
JA00161,J014,UNI07,C014,CR004,,SD0029,source_header,course_page,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0029.headers.txt,artifacts/journeys/J014_C014_digital-humanities-interactive-systems-and-digital-media/source/SD0029.headers.txt,copied,Header sidecar for SD0029
JA00162,J014,UNI07,C014,,JR0014,,journey_run,log_reference,artifacts/journeys/J014_C014_digital-humanities-interactive-systems-and-digital-media/metadata/journey_log.csv,artifacts/journeys/J014_C014_digital-humanities-interactive-systems-and-digital-media/metadata/journey_log.csv,generated,Primary observed journey log for JR0014
JA00163,J014,UNI07,C014,CR021,JR0014,,journey_support,homepage,artifacts/runs/CR021_2026-04-22_journey05_j013_j014_j015/batch_support/unige_home.html,artifacts/journeys/J014_C014_digital-humanities-interactive-systems-and-digital-media/journey_support/CR021_unige_home.html,copied,Support capture migrated from completed batch CR021
JA00164,J014,UNI07,C014,CR021,JR0014,,journey_support,course_portal_home,artifacts/runs/CR021_2026-04-22_journey05_j013_j014_j015/batch_support/unige_corsi_hub.html,artifacts/journeys/J014_C014_digital-humanities-interactive-systems-and-digital-media/journey_support/CR021_unige_corsi_hub.html,copied,Support capture migrated from completed batch CR021
JA00165,J014,UNI07,C014,CR021,JR0014,,journey_support,course_portal_listing,artifacts/runs/CR021_2026-04-22_journey05_j013_j014_j015/batch_support/unige_corsidilaurea.html,artifacts/journeys/J014_C014_digital-humanities-interactive-systems-and-digital-media/journey_support/CR021_unige_corsidilaurea.html,copied,Support capture migrated from completed batch CR021
JA00166,J014,UNI07,C014,CR021,JR0014,,journey_support,degree_type_listing,artifacts/runs/CR021_2026-04-22_journey05_j013_j014_j015/batch_support/unige_corsi_magistrale.html,artifacts/journeys/J014_C014_digital-humanities-interactive-systems-and-digital-media/journey_support/CR021_unige_corsi_magistrale.html,copied,Support capture migrated from completed batch CR021
JA00167,J014,UNI07,C014,CR021,JR0014,,journey_support,course_page,artifacts/runs/CR021_2026-04-22_journey05_j013_j014_j015/batch_support/unige_course_j014_11945.html,artifacts/journeys/J014_C014_digital-humanities-interactive-systems-and-digital-media/journey_support/CR021_unige_course_j014_11945.html,copied,Support capture migrated from completed batch CR021
JA00168,J014,UNI07,C014,,,,pilot_reference,crosswalk,data/collection/pilot_course_journey_crosswalk.csv,artifacts/journeys/J014_C014_digital-humanities-interactive-systems-and-digital-media/pilot_reference/course_journey_crosswalk_row.csv,generated,Pilot metadata integrated as journey-level historical reference.
JA00169,J014,UNI07,C014,,,,pilot_reference,raw_html,artifacts/runs/CR023_2026-04-22_pilot-raw-html-backfill/SD0098.html,artifacts/journeys/J014_C014_digital-humanities-interactive-systems-and-digital-media/pilot_reference/SD0098.html,reconstructed,"Current HTML fallback captured on 2026-04-22 for local inspection; SHA-256 differs from the historical pilot record, so the original bytes remain unavailable."
JA00366,J014,UNI07,C014,,,,pilot_reference,audit_row,data/collection/pilot_audit_matrix.csv,artifacts/journeys/J014_C014_digital-humanities-interactive-systems-and-digital-media/pilot_reference/pilot_audit_row.csv,generated,Historical LM-92 audit row normalized to current IDs.
JA00367,J014,UNI07,C014,CR000,,SD0098,pilot_reference,source_document_row,data/collection/source_document.csv,artifacts/journeys/J014_C014_digital-humanities-interactive-systems-and-digital-media/pilot_reference/pilot_source_document_row.csv,generated,Historical LM-92 source-document row normalized to canonical collection IDs.
JA00368,J014,UNI07,C014,CR000,,SD0098,pilot_reference,source_fragment_rows,data/collection/source_fragment.csv,artifacts/journeys/J014_C014_digital-humanities-interactive-systems-and-digital-media/pilot_reference/pilot_source_fragment_rows.csv,generated,Historical LM-92 source fragments normalized to canonical collection IDs.
