journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00170,J015,UNI08,C015,CR004,,SD0030,source_document,university_homepage,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0030.html,artifacts/journeys/J015_C015_comunicazione-interculturale/source/SD0030.html,copied,Università degli Studi di Milano-Bicocca
JA00171,J015,UNI08,C015,CR004,,SD0030,source_header,university_homepage,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0030.headers.txt,artifacts/journeys/J015_C015_comunicazione-interculturale/source/SD0030.headers.txt,copied,Header sidecar for SD0030
JA00172,J015,UNI08,C015,CR004,,SD0031,source_document,programmes_hub,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0031.html,artifacts/journeys/J015_C015_comunicazione-interculturale/source/SD0031.html,copied,STUDIARE | Università degli Studi di Milano-Bicocca
JA00173,J015,UNI08,C015,CR004,,SD0031,source_header,programmes_hub,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0031.headers.txt,artifacts/journeys/J015_C015_comunicazione-interculturale/source/SD0031.headers.txt,copied,Header sidecar for SD0031
JA00174,J015,UNI08,C015,CR004,,SD0032,source_document,course_page,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0032.html,artifacts/journeys/J015_C015_comunicazione-interculturale/source/SD0032.html,copied,Comunicazione interculturale | Università degli Studi di Milano-Bicocca
JA00175,J015,UNI08,C015,CR004,,SD0032,source_header,course_page,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0032.headers.txt,artifacts/journeys/J015_C015_comunicazione-interculturale/source/SD0032.headers.txt,copied,Header sidecar for SD0032
JA00176,J015,UNI08,C015,,JR0015,,journey_run,log_reference,artifacts/journeys/J015_C015_comunicazione-interculturale/metadata/journey_log.csv,artifacts/journeys/J015_C015_comunicazione-interculturale/metadata/journey_log.csv,generated,Primary observed journey log for JR0015
JA00177,J015,UNI08,C015,CR021,JR0015,,journey_support,homepage,artifacts/runs/CR021_2026-04-22_journey05_j013_j014_j015/batch_support/unimib_home.html,artifacts/journeys/J015_C015_comunicazione-interculturale/journey_support/CR021_unimib_home.html,copied,Support capture migrated from completed batch CR021
JA00178,J015,UNI08,C015,CR021,JR0015,,journey_support,intermediate_navigation,artifacts/runs/CR021_2026-04-22_journey05_j013_j014_j015/batch_support/unimib_studiare.html,artifacts/journeys/J015_C015_comunicazione-interculturale/journey_support/CR021_unimib_studiare.html,copied,Support capture migrated from completed batch CR021
JA00179,J015,UNI08,C015,CR021,JR0015,,journey_support,programmes_hub,artifacts/runs/CR021_2026-04-22_journey05_j013_j014_j015/batch_support/unimib_offerta_formativa.html,artifacts/journeys/J015_C015_comunicazione-interculturale/journey_support/CR021_unimib_offerta_formativa.html,copied,Support capture migrated from completed batch CR021
JA00180,J015,UNI08,C015,CR021,JR0015,,journey_support,disciplinary_area,artifacts/runs/CR021_2026-04-22_journey05_j013_j014_j015/batch_support/unimib_area_formazione.html,artifacts/journeys/J015_C015_comunicazione-interculturale/journey_support/CR021_unimib_area_formazione.html,copied,Support capture migrated from completed batch CR021
JA00181,J015,UNI08,C015,CR021,JR0015,,journey_support,disciplinary_area_context,artifacts/runs/CR021_2026-04-22_journey05_j013_j014_j015/batch_support/unimib_area_sociologica.html,artifacts/journeys/J015_C015_comunicazione-interculturale/journey_support/CR021_unimib_area_sociologica.html,copied,Support capture migrated from completed batch CR021
JA00182,J015,UNI08,C015,CR021,JR0015,,journey_support,course_page,artifacts/runs/CR021_2026-04-22_journey05_j013_j014_j015/batch_support/unimib_course_j015.html,artifacts/journeys/J015_C015_comunicazione-interculturale/journey_support/CR021_unimib_course_j015.html,copied,Support capture migrated from completed batch CR021
