journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00183,J016,UNI08,C016,CR004,,SD0030,source_document,university_homepage,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0030.html,artifacts/journeys/J016_C016_teoria-e-tecnologia-della-comunicazione/source/SD0030.html,copied,Università degli Studi di Milano-Bicocca
JA00184,J016,UNI08,C016,CR004,,SD0030,source_header,university_homepage,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0030.headers.txt,artifacts/journeys/J016_C016_teoria-e-tecnologia-della-comunicazione/source/SD0030.headers.txt,copied,Header sidecar for SD0030
JA00185,J016,UNI08,C016,CR004,,SD0031,source_document,programmes_hub,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0031.html,artifacts/journeys/J016_C016_teoria-e-tecnologia-della-comunicazione/source/SD0031.html,copied,STUDIARE | Università degli Studi di Milano-Bicocca
JA00186,J016,UNI08,C016,CR004,,SD0031,source_header,programmes_hub,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0031.headers.txt,artifacts/journeys/J016_C016_teoria-e-tecnologia-della-comunicazione/source/SD0031.headers.txt,copied,Header sidecar for SD0031
JA00187,J016,UNI08,C016,CR004,,SD0033,source_document,course_page,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0033.html,artifacts/journeys/J016_C016_teoria-e-tecnologia-della-comunicazione/source/SD0033.html,copied,Teoria e tecnologia della comunicazione | Università degli Studi di Milano-Bicocca
JA00188,J016,UNI08,C016,CR004,,SD0033,source_header,course_page,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0033.headers.txt,artifacts/journeys/J016_C016_teoria-e-tecnologia-della-comunicazione/source/SD0033.headers.txt,copied,Header sidecar for SD0033
JA00189,J016,UNI08,C016,,,,pilot_reference,crosswalk,data/collection/pilot_course_journey_crosswalk.csv,artifacts/journeys/J016_C016_teoria-e-tecnologia-della-comunicazione/pilot_reference/course_journey_crosswalk_row.csv,generated,Pilot metadata integrated as journey-level historical reference.
JA00190,J016,UNI08,C016,,,,pilot_reference,raw_html,artifacts/runs/CR023_2026-04-22_pilot-raw-html-backfill/SD0099.html,artifacts/journeys/J016_C016_teoria-e-tecnologia-della-comunicazione/pilot_reference/SD0099.html,reconstructed,"Current HTML fallback captured on 2026-04-22 for local inspection; SHA-256 differs from the historical pilot record, so the original bytes remain unavailable."
JA00414,J016,UNI08,C016,,,,pilot_reference,audit_row,data/collection/pilot_audit_matrix.csv,artifacts/journeys/J016_C016_teoria-e-tecnologia-della-comunicazione/pilot_reference/pilot_audit_row.csv,generated,Historical LM-92 audit row normalized to current IDs.
JA00415,J016,UNI08,C016,CR000,,SD0099,pilot_reference,source_document_row,data/collection/source_document.csv,artifacts/journeys/J016_C016_teoria-e-tecnologia-della-comunicazione/pilot_reference/pilot_source_document_row.csv,generated,Historical LM-92 source-document row normalized to canonical collection IDs.
JA00416,J016,UNI08,C016,CR000,,SD0099,pilot_reference,source_fragment_rows,data/collection/source_fragment.csv,artifacts/journeys/J016_C016_teoria-e-tecnologia-della-comunicazione/pilot_reference/pilot_source_fragment_rows.csv,generated,Historical LM-92 source fragments normalized to canonical collection IDs.
