journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00197,J018,UNI09,C018,CR005,,SD0034,source_document,university_homepage,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0034.html,artifacts/journeys/J018_C018_editoria-culture-della-comunicazione-e-della-moda/source/SD0034.html,copied,home | Università degli Studi di Milano Statale
JA00198,J018,UNI09,C018,CR005,,SD0034,source_header,university_homepage,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0034.headers.txt,artifacts/journeys/J018_C018_editoria-culture-della-comunicazione-e-della-moda/source/SD0034.headers.txt,copied,Header sidecar for SD0034
JA00199,J018,UNI09,C018,CR005,,SD0035,source_document,programmes_hub,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0035.html,artifacts/journeys/J018_C018_editoria-culture-della-comunicazione-e-della-moda/source/SD0035.html,copied,Corsi | Università degli Studi di Milano Statale
JA00200,J018,UNI09,C018,CR005,,SD0035,source_header,programmes_hub,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0035.headers.txt,artifacts/journeys/J018_C018_editoria-culture-della-comunicazione-e-della-moda/source/SD0035.headers.txt,copied,Header sidecar for SD0035
JA00201,J018,UNI09,C018,CR005,,SD0037,source_document,course_page,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0037.html,artifacts/journeys/J018_C018_editoria-culture-della-comunicazione-e-della-moda/source/SD0037.html,copied,"Editoria, culture della comunicazione e della moda | Università degli Studi di Milano Statale"
JA00202,J018,UNI09,C018,CR005,,SD0037,source_header,course_page,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0037.headers.txt,artifacts/journeys/J018_C018_editoria-culture-della-comunicazione-e-della-moda/source/SD0037.headers.txt,copied,Header sidecar for SD0037
JA00203,J018,UNI09,C018,,,,pilot_reference,crosswalk,data/collection/pilot_course_journey_crosswalk.csv,artifacts/journeys/J018_C018_editoria-culture-della-comunicazione-e-della-moda/pilot_reference/course_journey_crosswalk_row.csv,generated,Pilot metadata integrated as journey-level historical reference.
JA00204,J018,UNI09,C018,,,,pilot_reference,raw_html,artifacts/runs/CR023_2026-04-22_pilot-raw-html-backfill/SD0100.html,artifacts/journeys/J018_C018_editoria-culture-della-comunicazione-e-della-moda/pilot_reference/SD0100.html,reconstructed,"Current HTML fallback captured on 2026-04-22 for local inspection; SHA-256 differs from the historical pilot record, so the original bytes remain unavailable."
JA00369,J018,UNI09,C018,,,,pilot_reference,audit_row,data/collection/pilot_audit_matrix.csv,artifacts/journeys/J018_C018_editoria-culture-della-comunicazione-e-della-moda/pilot_reference/pilot_audit_row.csv,generated,Historical LM-92 audit row normalized to current IDs.
JA00370,J018,UNI09,C018,CR000,,SD0100,pilot_reference,source_document_row,data/collection/source_document.csv,artifacts/journeys/J018_C018_editoria-culture-della-comunicazione-e-della-moda/pilot_reference/pilot_source_document_row.csv,generated,Historical LM-92 source-document row normalized to canonical collection IDs.
JA00371,J018,UNI09,C018,CR000,,SD0100,pilot_reference,source_fragment_rows,data/collection/source_fragment.csv,artifacts/journeys/J018_C018_editoria-culture-della-comunicazione-e-della-moda/pilot_reference/pilot_source_fragment_rows.csv,generated,Historical LM-92 source fragments normalized to canonical collection IDs.
