journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00211,J020,UNI10,C020,CR005,,SD0038,source_document,university_homepage,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0038.html,artifacts/journeys/J020_C020_scienze-e-tecniche-della-comunicazione/source/SD0038.html,copied,Home page | Università degli studi dell'Insubria
JA00212,J020,UNI10,C020,CR005,,SD0038,source_header,university_homepage,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0038.headers.txt,artifacts/journeys/J020_C020_scienze-e-tecniche-della-comunicazione/source/SD0038.headers.txt,copied,Header sidecar for SD0038
JA00213,J020,UNI10,C020,CR005,,SD0041,source_document,course_page,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0041.html,artifacts/journeys/J020_C020_scienze-e-tecniche-della-comunicazione/source/SD0041.html,copied,[SU03] SCIENZE E TECNICHE DELLA COMUNICAZIONE | Università degli studi dell'Insubria
JA00214,J020,UNI10,C020,CR005,,SD0041,source_header,course_page,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0041.headers.txt,artifacts/journeys/J020_C020_scienze-e-tecniche-della-comunicazione/source/SD0041.headers.txt,copied,Header sidecar for SD0041
JA00215,J020,UNI10,C020,CR006,,SD0046,source_document,programmes_hub,artifacts/runs/CR006_2026-04-03_insubria_hub_normalization/SD0046.html,artifacts/journeys/J020_C020_scienze-e-tecniche-della-comunicazione/source/SD0046.html,copied,La nostra didattica | Università degli studi dell'Insubria
JA00216,J020,UNI10,C020,CR006,,SD0046,source_header,programmes_hub,artifacts/runs/CR006_2026-04-03_insubria_hub_normalization/SD0046.headers.txt,artifacts/journeys/J020_C020_scienze-e-tecniche-della-comunicazione/source/SD0046.headers.txt,copied,Header sidecar for SD0046
JA00217,J020,UNI10,C020,,,,pilot_reference,crosswalk,data/collection/pilot_course_journey_crosswalk.csv,artifacts/journeys/J020_C020_scienze-e-tecniche-della-comunicazione/pilot_reference/course_journey_crosswalk_row.csv,generated,Pilot metadata integrated as journey-level historical reference.
JA00218,J020,UNI10,C020,,,,pilot_reference,raw_html,artifacts/runs/CR023_2026-04-22_pilot-raw-html-backfill/SD0101.html,artifacts/journeys/J020_C020_scienze-e-tecniche-della-comunicazione/pilot_reference/SD0101.html,reconstructed,"Current HTML fallback captured on 2026-04-22 for local inspection; SHA-256 differs from the historical pilot record, so the original bytes remain unavailable."
JA00396,J020,UNI10,C020,,,,pilot_reference,audit_row,data/collection/pilot_audit_matrix.csv,artifacts/journeys/J020_C020_scienze-e-tecniche-della-comunicazione/pilot_reference/pilot_audit_row.csv,generated,Historical LM-92 audit row normalized to current IDs.
JA00397,J020,UNI10,C020,CR000,,SD0101,pilot_reference,source_document_row,data/collection/source_document.csv,artifacts/journeys/J020_C020_scienze-e-tecniche-della-comunicazione/pilot_reference/pilot_source_document_row.csv,generated,Historical LM-92 source-document row normalized to canonical collection IDs.
JA00398,J020,UNI10,C020,CR000,,SD0101,pilot_reference,source_fragment_rows,data/collection/source_fragment.csv,artifacts/journeys/J020_C020_scienze-e-tecniche-della-comunicazione/pilot_reference/pilot_source_fragment_rows.csv,generated,Historical LM-92 source fragments normalized to canonical collection IDs.
JA00428,J020,UNI10,C020,,JR0020,,journey_run,log_reference,artifacts/journeys/J020_C020_scienze-e-tecniche-della-comunicazione/metadata/journey_log.csv,artifacts/journeys/J020_C020_scienze-e-tecniche-della-comunicazione/metadata/journey_log.csv,generated,Primary observed journey log for JR0020
JA00429,J020,UNI10,C020,CR025,JR0020,,journey_support,homepage,artifacts/runs/CR025_2026-04-22_journey07_j019_j020_j021/batch_support/insubria_home.html,artifacts/journeys/J020_C020_scienze-e-tecniche-della-comunicazione/journey_support/CR025_insubria_home.html,copied,Support capture migrated from completed batch CR025
JA00430,J020,UNI10,C020,CR025,JR0020,,journey_support,programmes_hub,artifacts/runs/CR025_2026-04-22_journey07_j019_j020_j021/batch_support/insubria_didattica.html,artifacts/journeys/J020_C020_scienze-e-tecniche-della-comunicazione/journey_support/CR025_insubria_didattica.html,copied,Support capture migrated from completed batch CR025
JA00431,J020,UNI10,C020,CR025,JR0020,,journey_support,degree_type_listing,artifacts/runs/CR025_2026-04-22_journey07_j019_j020_j021/batch_support/insubria_corsi_laurea.html,artifacts/journeys/J020_C020_scienze-e-tecniche-della-comunicazione/journey_support/CR025_insubria_corsi_laurea.html,copied,Support capture migrated from completed batch CR025
JA00432,J020,UNI10,C020,CR025,JR0020,,journey_support,course_page,artifacts/runs/CR025_2026-04-22_journey07_j019_j020_j021/batch_support/insubria_course_j020.html,artifacts/journeys/J020_C020_scienze-e-tecniche-della-comunicazione/journey_support/CR025_insubria_course_j020.html,copied,Support capture migrated from completed batch CR025
