journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00225,J022,UNI11,C022,CR005,,SD0042,source_document,university_homepage,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0042.html,artifacts/journeys/J022_C022_corporate-communication-e-media-interclasse-lm-59-lm-92/source/SD0042.html,copied,UNISA | Home
JA00226,J022,UNI11,C022,CR005,,SD0042,source_header,university_homepage,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0042.headers.txt,artifacts/journeys/J022_C022_corporate-communication-e-media-interclasse-lm-59-lm-92/source/SD0042.headers.txt,copied,Header sidecar for SD0042
JA00227,J022,UNI11,C022,CR005,,SD0043,source_document,programmes_hub,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0043.html,artifacts/journeys/J022_C022_corporate-communication-e-media-interclasse-lm-59-lm-92/source/SD0043.html,copied,Didattica | Corsi di Laurea e Laurea Magistrale
JA00228,J022,UNI11,C022,CR005,,SD0043,source_header,programmes_hub,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0043.headers.txt,artifacts/journeys/J022_C022_corporate-communication-e-media-interclasse-lm-59-lm-92/source/SD0043.headers.txt,copied,Header sidecar for SD0043
JA00229,J022,UNI11,C022,CR005,,SD0045,source_document,course_page,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0045.html,artifacts/journeys/J022_C022_corporate-communication-e-media-interclasse-lm-59-lm-92/source/SD0045.html,copied,Corporate Communication e Media | Home
JA00230,J022,UNI11,C022,CR005,,SD0045,source_header,course_page,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0045.headers.txt,artifacts/journeys/J022_C022_corporate-communication-e-media-interclasse-lm-59-lm-92/source/SD0045.headers.txt,copied,Header sidecar for SD0045
JA00231,J022,UNI11,C022,,,,pilot_reference,crosswalk,data/collection/pilot_course_journey_crosswalk.csv,artifacts/journeys/J022_C022_corporate-communication-e-media-interclasse-lm-59-lm-92/pilot_reference/course_journey_crosswalk_row.csv,generated,Pilot metadata integrated as journey-level historical reference.
JA00232,J022,UNI11,C022,,,,pilot_reference,raw_html,artifacts/runs/CR000_2026-04-02_lm92_pilot_seed_capture/SD0102.html,artifacts/journeys/J022_C022_corporate-communication-e-media-interclasse-lm-59-lm-92/pilot_reference/SD0102.html,available,Historical pilot raw HTML restored locally and hash-verified against the canonical pilot SHA-256.
JA00402,J022,UNI11,C022,,,,pilot_reference,audit_row,data/collection/pilot_audit_matrix.csv,artifacts/journeys/J022_C022_corporate-communication-e-media-interclasse-lm-59-lm-92/pilot_reference/pilot_audit_row.csv,generated,Historical LM-92 audit row normalized to current IDs.
JA00403,J022,UNI11,C022,CR000,,SD0102,pilot_reference,source_document_row,data/collection/source_document.csv,artifacts/journeys/J022_C022_corporate-communication-e-media-interclasse-lm-59-lm-92/pilot_reference/pilot_source_document_row.csv,generated,Historical LM-92 source-document row normalized to canonical collection IDs.
JA00404,J022,UNI11,C022,CR000,,SD0102,pilot_reference,source_fragment_rows,data/collection/source_fragment.csv,artifacts/journeys/J022_C022_corporate-communication-e-media-interclasse-lm-59-lm-92/pilot_reference/pilot_source_fragment_rows.csv,generated,Historical LM-92 source fragments normalized to canonical collection IDs.
JA00438,J022,UNI11,C022,,JR0022,,journey_run,log_reference,artifacts/journeys/J022_C022_corporate-communication-e-media-interclasse-lm-59-lm-92/metadata/journey_log.csv,artifacts/journeys/J022_C022_corporate-communication-e-media-interclasse-lm-59-lm-92/metadata/journey_log.csv,generated,Primary observed journey log for JR0022
JA00439,J022,UNI11,C022,CR026,JR0022,,journey_support,homepage,artifacts/runs/CR026_2026-04-22_journey08_j022_j023_j024/batch_support/unisa_home.html,artifacts/journeys/J022_C022_corporate-communication-e-media-interclasse-lm-59-lm-92/journey_support/CR026_unisa_home.html,copied,Support capture migrated from completed batch CR026
JA00440,J022,UNI11,C022,CR026,JR0022,,journey_support,programmes_hub,artifacts/runs/CR026_2026-04-22_journey08_j022_j023_j024/batch_support/unisa_didattica.html,artifacts/journeys/J022_C022_corporate-communication-e-media-interclasse-lm-59-lm-92/journey_support/CR026_unisa_didattica.html,copied,Support capture migrated from completed batch CR026
JA00441,J022,UNI11,C022,CR026,JR0022,,journey_support,degree_type_listing,artifacts/runs/CR026_2026-04-22_journey08_j022_j023_j024/batch_support/unisa_corsi_laurea.html,artifacts/journeys/J022_C022_corporate-communication-e-media-interclasse-lm-59-lm-92/journey_support/CR026_unisa_corsi_laurea.html,copied,Support capture migrated from completed batch CR026
JA00442,J022,UNI11,C022,CR026,JR0022,,journey_support,course_page,artifacts/runs/CR026_2026-04-22_journey08_j022_j023_j024/batch_support/unisa_course_j022.html,artifacts/journeys/J022_C022_corporate-communication-e-media-interclasse-lm-59-lm-92/journey_support/CR026_unisa_course_j022.html,copied,Support capture migrated from completed batch CR026
