journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00239,J024,UNI12,C024,CR007,,SD0047,source_document,university_homepage,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0047.html,artifacts/journeys/J024_C024_scienze-cognitive-della-comunicazione-e-dell-azione/source/SD0047.html,copied,Homepage - Università Roma Tre
JA00240,J024,UNI12,C024,CR007,,SD0047,source_header,university_homepage,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0047.headers.txt,artifacts/journeys/J024_C024_scienze-cognitive-della-comunicazione-e-dell-azione/source/SD0047.headers.txt,copied,Header sidecar for SD0047
JA00241,J024,UNI12,C024,CR007,,SD0050,source_document,course_page,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0050.html,artifacts/journeys/J024_C024_scienze-cognitive-della-comunicazione-e-dell-azione/source/SD0050.html,copied,Scienze Cognitive della Comunicazione e dell'Azione - Università Roma Tre
JA00242,J024,UNI12,C024,CR007,,SD0050,source_header,course_page,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0050.headers.txt,artifacts/journeys/J024_C024_scienze-cognitive-della-comunicazione-e-dell-azione/source/SD0050.headers.txt,copied,Header sidecar for SD0050
JA00243,J024,UNI12,C024,CR008,,SD0059,source_document,programmes_hub,artifacts/runs/CR008_2026-04-03_uniroma3_hub_normalization/SD0059.html,artifacts/journeys/J024_C024_scienze-cognitive-della-comunicazione-e-dell-azione/source/SD0059.html,copied,Offerta formativa - Università Roma Tre
JA00244,J024,UNI12,C024,CR008,,SD0059,source_header,programmes_hub,artifacts/runs/CR008_2026-04-03_uniroma3_hub_normalization/SD0059.headers.txt,artifacts/journeys/J024_C024_scienze-cognitive-della-comunicazione-e-dell-azione/source/SD0059.headers.txt,copied,Header sidecar for SD0059
JA00245,J024,UNI12,C024,,,,pilot_reference,crosswalk,data/collection/pilot_course_journey_crosswalk.csv,artifacts/journeys/J024_C024_scienze-cognitive-della-comunicazione-e-dell-azione/pilot_reference/course_journey_crosswalk_row.csv,generated,Pilot metadata integrated as journey-level historical reference.
JA00246,J024,UNI12,C024,,,,pilot_reference,raw_html,artifacts/runs/CR023_2026-04-22_pilot-raw-html-backfill/SD0103.html,artifacts/journeys/J024_C024_scienze-cognitive-della-comunicazione-e-dell-azione/pilot_reference/SD0103.html,reconstructed,"Current HTML fallback captured on 2026-04-22 for local inspection; SHA-256 differs from the historical pilot record, so the original bytes remain unavailable."
JA00381,J024,UNI12,C024,,,,pilot_reference,audit_row,data/collection/pilot_audit_matrix.csv,artifacts/journeys/J024_C024_scienze-cognitive-della-comunicazione-e-dell-azione/pilot_reference/pilot_audit_row.csv,generated,Historical LM-92 audit row normalized to current IDs.
JA00382,J024,UNI12,C024,CR000,,SD0103,pilot_reference,source_document_row,data/collection/source_document.csv,artifacts/journeys/J024_C024_scienze-cognitive-della-comunicazione-e-dell-azione/pilot_reference/pilot_source_document_row.csv,generated,Historical LM-92 source-document row normalized to canonical collection IDs.
JA00383,J024,UNI12,C024,CR000,,SD0103,pilot_reference,source_fragment_rows,data/collection/source_fragment.csv,artifacts/journeys/J024_C024_scienze-cognitive-della-comunicazione-e-dell-azione/pilot_reference/pilot_source_fragment_rows.csv,generated,Historical LM-92 source fragments normalized to canonical collection IDs.
JA00447,J024,UNI12,C024,,JR0024,,journey_run,log_reference,artifacts/journeys/J024_C024_scienze-cognitive-della-comunicazione-e-dell-azione/metadata/journey_log.csv,artifacts/journeys/J024_C024_scienze-cognitive-della-comunicazione-e-dell-azione/metadata/journey_log.csv,generated,Primary observed journey log for JR0024
JA00448,J024,UNI12,C024,CR026,JR0024,,journey_support,homepage,artifacts/runs/CR026_2026-04-22_journey08_j022_j023_j024/batch_support/roma3_home.html,artifacts/journeys/J024_C024_scienze-cognitive-della-comunicazione-e-dell-azione/journey_support/CR026_roma3_home.html,copied,Support capture migrated from completed batch CR026
JA00449,J024,UNI12,C024,CR026,JR0024,,journey_support,degree_type_listing,artifacts/runs/CR026_2026-04-22_journey08_j022_j023_j024/batch_support/roma3_lauree_lm.html,artifacts/journeys/J024_C024_scienze-cognitive-della-comunicazione-e-dell-azione/journey_support/CR026_roma3_lauree_lm.html,copied,Support capture migrated from completed batch CR026
JA00450,J024,UNI12,C024,CR026,JR0024,,journey_support,course_page,artifacts/runs/CR026_2026-04-22_journey08_j022_j023_j024/batch_support/roma3_course_j024.html,artifacts/journeys/J024_C024_scienze-cognitive-della-comunicazione-e-dell-azione/journey_support/CR026_roma3_course_j024.html,copied,Support capture migrated from completed batch CR026
