journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00253,J026,UNI13,C026,CR007,,SD0051,source_document,university_homepage,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0051.html,artifacts/journeys/J026_C026_comunicazione-del-patrimonio-culturale/source/SD0051.html,copied,Università degli Studi di Palermo
JA00254,J026,UNI13,C026,CR007,,SD0051,source_header,university_homepage,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0051.headers.txt,artifacts/journeys/J026_C026_comunicazione-del-patrimonio-culturale/source/SD0051.headers.txt,copied,Header sidecar for SD0051
JA00255,J026,UNI13,C026,CR007,,SD0054,source_document,course_page,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0054.html,artifacts/journeys/J026_C026_comunicazione-del-patrimonio-culturale/source/SD0054.html,copied,2215 - COMUNICAZIONE DEL PATRIMONIO CULTURALE | Università degli Studi di Palermo
JA00256,J026,UNI13,C026,CR007,,SD0054,source_header,course_page,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0054.headers.txt,artifacts/journeys/J026_C026_comunicazione-del-patrimonio-culturale/source/SD0054.headers.txt,copied,Header sidecar for SD0054
JA00257,J026,UNI13,C026,CR009,,SD0060,source_document,programmes_hub,artifacts/runs/CR009_2026-04-03_unipa_hub_normalization/SD0060.html,artifacts/journeys/J026_C026_comunicazione-del-patrimonio-culturale/source/SD0060.html,copied,Offerta Formativa | Didattica | Università degli Studi di Palermo
JA00258,J026,UNI13,C026,CR009,,SD0060,source_header,programmes_hub,artifacts/runs/CR009_2026-04-03_unipa_hub_normalization/SD0060.headers.txt,artifacts/journeys/J026_C026_comunicazione-del-patrimonio-culturale/source/SD0060.headers.txt,copied,Header sidecar for SD0060
JA00259,J026,UNI13,C026,,,,pilot_reference,crosswalk,data/collection/pilot_course_journey_crosswalk.csv,artifacts/journeys/J026_C026_comunicazione-del-patrimonio-culturale/pilot_reference/course_journey_crosswalk_row.csv,generated,Pilot metadata integrated as journey-level historical reference.
JA00260,J026,UNI13,C026,,,,pilot_reference,raw_html,artifacts/runs/CR023_2026-04-22_pilot-raw-html-backfill/SD0104.html,artifacts/journeys/J026_C026_comunicazione-del-patrimonio-culturale/pilot_reference/SD0104.html,reconstructed,"Current HTML fallback captured on 2026-04-22 for local inspection; SHA-256 differs from the historical pilot record, so the original bytes remain unavailable."
JA00399,J026,UNI13,C026,,,,pilot_reference,audit_row,data/collection/pilot_audit_matrix.csv,artifacts/journeys/J026_C026_comunicazione-del-patrimonio-culturale/pilot_reference/pilot_audit_row.csv,generated,Historical LM-92 audit row normalized to current IDs.
JA00400,J026,UNI13,C026,CR000,,SD0104,pilot_reference,source_document_row,data/collection/source_document.csv,artifacts/journeys/J026_C026_comunicazione-del-patrimonio-culturale/pilot_reference/pilot_source_document_row.csv,generated,Historical LM-92 source-document row normalized to canonical collection IDs.
JA00401,J026,UNI13,C026,CR000,,SD0104,pilot_reference,source_fragment_rows,data/collection/source_fragment.csv,artifacts/journeys/J026_C026_comunicazione-del-patrimonio-culturale/pilot_reference/pilot_source_fragment_rows.csv,generated,Historical LM-92 source fragments normalized to canonical collection IDs.
