journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00267,J028,UNI14,C028,CR007,,SD0055,source_document,university_homepage,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0055.html,artifacts/journeys/J028_C028_comunicazione-pubblicitaria-storytelling-e-cultura-d-immagine/source/SD0055.html,copied,Università per Stranieri di Perugia | Ambasciatrice dell'Italia nel mondo
JA00268,J028,UNI14,C028,CR007,,SD0055,source_header,university_homepage,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0055.headers.txt,artifacts/journeys/J028_C028_comunicazione-pubblicitaria-storytelling-e-cultura-d-immagine/source/SD0055.headers.txt,copied,Header sidecar for SD0055
JA00269,J028,UNI14,C028,CR007,,SD0056,source_document,programmes_hub,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0056.html,artifacts/journeys/J028_C028_comunicazione-pubblicitaria-storytelling-e-cultura-d-immagine/source/SD0056.html,copied,Offerta formativa
JA00270,J028,UNI14,C028,CR007,,SD0056,source_header,programmes_hub,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0056.headers.txt,artifacts/journeys/J028_C028_comunicazione-pubblicitaria-storytelling-e-cultura-d-immagine/source/SD0056.headers.txt,copied,Header sidecar for SD0056
JA00271,J028,UNI14,C028,CR007,,SD0058,source_document,course_page,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0058.html,artifacts/journeys/J028_C028_comunicazione-pubblicitaria-storytelling-e-cultura-d-immagine/source/SD0058.html,copied,"Corso di laurea magistrale in Comunicazione pubblicitaria, storytelling e cultura d'immagine (ComPSI)"
JA00272,J028,UNI14,C028,CR007,,SD0058,source_header,course_page,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0058.headers.txt,artifacts/journeys/J028_C028_comunicazione-pubblicitaria-storytelling-e-cultura-d-immagine/source/SD0058.headers.txt,copied,Header sidecar for SD0058
JA00273,J028,UNI14,C028,,,,pilot_reference,crosswalk,data/collection/pilot_course_journey_crosswalk.csv,artifacts/journeys/J028_C028_comunicazione-pubblicitaria-storytelling-e-cultura-d-immagine/pilot_reference/course_journey_crosswalk_row.csv,generated,Pilot metadata integrated as journey-level historical reference.
JA00274,J028,UNI14,C028,,,,pilot_reference,raw_html,artifacts/runs/CR023_2026-04-22_pilot-raw-html-backfill/SD0105.html,artifacts/journeys/J028_C028_comunicazione-pubblicitaria-storytelling-e-cultura-d-immagine/pilot_reference/SD0105.html,reconstructed,"Current HTML fallback captured on 2026-04-22 for local inspection; SHA-256 differs from the historical pilot record, so the original bytes remain unavailable."
JA00375,J028,UNI14,C028,,,,pilot_reference,audit_row,data/collection/pilot_audit_matrix.csv,artifacts/journeys/J028_C028_comunicazione-pubblicitaria-storytelling-e-cultura-d-immagine/pilot_reference/pilot_audit_row.csv,generated,Historical LM-92 audit row normalized to current IDs.
JA00376,J028,UNI14,C028,CR000,,SD0105,pilot_reference,source_document_row,data/collection/source_document.csv,artifacts/journeys/J028_C028_comunicazione-pubblicitaria-storytelling-e-cultura-d-immagine/pilot_reference/pilot_source_document_row.csv,generated,Historical LM-92 source-document row normalized to canonical collection IDs.
JA00377,J028,UNI14,C028,CR000,,SD0105,pilot_reference,source_fragment_rows,data/collection/source_fragment.csv,artifacts/journeys/J028_C028_comunicazione-pubblicitaria-storytelling-e-cultura-d-immagine/pilot_reference/pilot_source_fragment_rows.csv,generated,Historical LM-92 source fragments normalized to canonical collection IDs.
