journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00281,J030,UNI15,C030,CR010,,SD0061,source_document,university_homepage,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0061.html,artifacts/journeys/J030_C030_comunicazione-digitale-per-la-cultura/source/SD0061.html,copied,Università degli Studi di Urbino Carlo Bo
JA00282,J030,UNI15,C030,CR010,,SD0061,source_header,university_homepage,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0061.headers.txt,artifacts/journeys/J030_C030_comunicazione-digitale-per-la-cultura/source/SD0061.headers.txt,copied,Header sidecar for SD0061
JA00283,J030,UNI15,C030,CR010,,SD0064,source_document,course_page,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0064.html,artifacts/journeys/J030_C030_comunicazione-digitale-per-la-cultura/source/SD0064.html,copied,COMUNICAZIONE DIGITALE PER LA CULTURA - A.A. 2025/2026 - LAUREA MAGISTRALE
JA00284,J030,UNI15,C030,CR010,,SD0064,source_header,course_page,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0064.headers.txt,artifacts/journeys/J030_C030_comunicazione-digitale-per-la-cultura/source/SD0064.headers.txt,copied,Header sidecar for SD0064
JA00285,J030,UNI15,C030,CR011,,SD0073,source_document,programmes_hub,artifacts/runs/CR011_2026-04-03_uniurb_hub_normalization/SD0073.html,artifacts/journeys/J030_C030_comunicazione-digitale-per-la-cultura/source/SD0073.html,copied,Corsi di laurea - Università di Urbino
JA00286,J030,UNI15,C030,CR011,,SD0073,source_header,programmes_hub,artifacts/runs/CR011_2026-04-03_uniurb_hub_normalization/SD0073.headers.txt,artifacts/journeys/J030_C030_comunicazione-digitale-per-la-cultura/source/SD0073.headers.txt,copied,Header sidecar for SD0073
JA00287,J030,UNI15,C030,,,,pilot_reference,crosswalk,data/collection/pilot_course_journey_crosswalk.csv,artifacts/journeys/J030_C030_comunicazione-digitale-per-la-cultura/pilot_reference/course_journey_crosswalk_row.csv,generated,Pilot metadata integrated as journey-level historical reference.
JA00288,J030,UNI15,C030,,,,pilot_reference,raw_html,artifacts/runs/CR000_2026-04-02_lm92_pilot_seed_capture/SD0106.html,artifacts/journeys/J030_C030_comunicazione-digitale-per-la-cultura/pilot_reference/SD0106.html,available,Historical pilot raw HTML restored locally and hash-verified against the canonical pilot SHA-256.
JA00408,J030,UNI15,C030,,,,pilot_reference,audit_row,data/collection/pilot_audit_matrix.csv,artifacts/journeys/J030_C030_comunicazione-digitale-per-la-cultura/pilot_reference/pilot_audit_row.csv,generated,Historical LM-92 audit row normalized to current IDs.
JA00409,J030,UNI15,C030,CR000,,SD0106,pilot_reference,source_document_row,data/collection/source_document.csv,artifacts/journeys/J030_C030_comunicazione-digitale-per-la-cultura/pilot_reference/pilot_source_document_row.csv,generated,Historical LM-92 source-document row normalized to canonical collection IDs.
JA00410,J030,UNI15,C030,CR000,,SD0106,pilot_reference,source_fragment_rows,data/collection/source_fragment.csv,artifacts/journeys/J030_C030_comunicazione-digitale-per-la-cultura/pilot_reference/pilot_source_fragment_rows.csv,generated,Historical LM-92 source fragments normalized to canonical collection IDs.
