journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00289,J031,UNI16,C031,CR010,,SD0065,source_document,university_homepage,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0065.html,artifacts/journeys/J031_C031_comunicazione-digitale-d-impresa/source/SD0065.html,copied,International Telematic University UNINETTUNO: Online Degree
JA00290,J031,UNI16,C031,CR010,,SD0065,source_header,university_homepage,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0065.headers.txt,artifacts/journeys/J031_C031_comunicazione-digitale-d-impresa/source/SD0065.headers.txt,copied,Header sidecar for SD0065
JA00291,J031,UNI16,C031,CR010,,SD0066,source_document,programmes_hub,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0066.html,artifacts/journeys/J031_C031_comunicazione-digitale-d-impresa/source/SD0066.html,copied,Laurea in Scienze della Comunicazione On Line: la Facoltà Telematica
JA00292,J031,UNI16,C031,CR010,,SD0066,source_header,programmes_hub,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0066.headers.txt,artifacts/journeys/J031_C031_comunicazione-digitale-d-impresa/source/SD0066.headers.txt,copied,Header sidecar for SD0066
JA00293,J031,UNI16,C031,CR010,,SD0067,source_document,course_page,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0067.html,artifacts/journeys/J031_C031_comunicazione-digitale-d-impresa/source/SD0067.html,copied,Indirizzo: Comunicazione digitale d'impresa
JA00294,J031,UNI16,C031,CR010,,SD0067,source_header,course_page,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0067.headers.txt,artifacts/journeys/J031_C031_comunicazione-digitale-d-impresa/source/SD0067.headers.txt,copied,Header sidecar for SD0067
JA00475,J031,UNI16,C031,,JR0031,,journey_run,log_reference,artifacts/journeys/J031_C031_comunicazione-digitale-d-impresa/metadata/journey_log.csv,artifacts/journeys/J031_C031_comunicazione-digitale-d-impresa/metadata/journey_log.csv,generated,Primary observed journey log for JR0031
JA00476,J031,UNI16,C031,CR029,JR0031,,journey_support,homepage,artifacts/runs/CR029_2026-04-23_journey11_j031_j032_j033/batch_support/uninettuno_home.html,artifacts/journeys/J031_C031_comunicazione-digitale-d-impresa/journey_support/CR029_uninettuno_home.html,copied,Support capture migrated from completed batch CR029
JA00477,J031,UNI16,C031,CR029,JR0031,,journey_support,programmes_hub,artifacts/runs/CR029_2026-04-23_journey11_j031_j032_j033/batch_support/uninettuno_scienze_comunicazione.html,artifacts/journeys/J031_C031_comunicazione-digitale-d-impresa/journey_support/CR029_uninettuno_scienze_comunicazione.html,copied,Support capture migrated from completed batch CR029
JA00478,J031,UNI16,C031,CR029,JR0031,,journey_support,course_page,artifacts/runs/CR029_2026-04-23_journey11_j031_j032_j033/batch_support/uninettuno_course_j031.html,artifacts/journeys/J031_C031_comunicazione-digitale-d-impresa/journey_support/CR029_uninettuno_course_j031.html,copied,Support capture migrated from completed batch CR029
