journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00295,J032,UNI16,C032,CR010,,SD0065,source_document,university_homepage,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0065.html,artifacts/journeys/J032_C032_culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digi/source/SD0065.html,copied,International Telematic University UNINETTUNO: Online Degree
JA00296,J032,UNI16,C032,CR010,,SD0065,source_header,university_homepage,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0065.headers.txt,artifacts/journeys/J032_C032_culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digi/source/SD0065.headers.txt,copied,Header sidecar for SD0065
JA00297,J032,UNI16,C032,CR010,,SD0066,source_document,programmes_hub,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0066.html,artifacts/journeys/J032_C032_culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digi/source/SD0066.html,copied,Laurea in Scienze della Comunicazione On Line: la Facoltà Telematica
JA00298,J032,UNI16,C032,CR010,,SD0066,source_header,programmes_hub,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0066.headers.txt,artifacts/journeys/J032_C032_culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digi/source/SD0066.headers.txt,copied,Header sidecar for SD0066
JA00299,J032,UNI16,C032,CR010,,SD0068,source_document,course_page,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0068.html,artifacts/journeys/J032_C032_culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digi/source/SD0068.html,copied,"Culture, linguaggi e strategie per la comunicazione nell'era digitale"
JA00300,J032,UNI16,C032,CR010,,SD0068,source_header,course_page,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0068.headers.txt,artifacts/journeys/J032_C032_culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digi/source/SD0068.headers.txt,copied,Header sidecar for SD0068
JA00301,J032,UNI16,C032,,,,pilot_reference,crosswalk,data/collection/pilot_course_journey_crosswalk.csv,artifacts/journeys/J032_C032_culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digi/pilot_reference/course_journey_crosswalk_row.csv,generated,Pilot metadata integrated as journey-level historical reference.
JA00302,J032,UNI16,C032,,,,pilot_reference,raw_html,artifacts/runs/CR023_2026-04-22_pilot-raw-html-backfill/SD0107.aspx,artifacts/journeys/J032_C032_culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digi/pilot_reference/SD0107.aspx,reconstructed,"Current HTML fallback captured on 2026-04-22 for local inspection; SHA-256 differs from the historical pilot record, so the original bytes remain unavailable."
JA00363,J032,UNI16,C032,,,,pilot_reference,audit_row,data/collection/pilot_audit_matrix.csv,artifacts/journeys/J032_C032_culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digi/pilot_reference/pilot_audit_row.csv,generated,Historical LM-92 audit row normalized to current IDs.
JA00364,J032,UNI16,C032,CR000,,SD0107,pilot_reference,source_document_row,data/collection/source_document.csv,artifacts/journeys/J032_C032_culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digi/pilot_reference/pilot_source_document_row.csv,generated,Historical LM-92 source-document row normalized to canonical collection IDs.
JA00365,J032,UNI16,C032,CR000,,SD0107,pilot_reference,source_fragment_rows,data/collection/source_fragment.csv,artifacts/journeys/J032_C032_culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digi/pilot_reference/pilot_source_fragment_rows.csv,generated,Historical LM-92 source fragments normalized to canonical collection IDs.
JA00479,J032,UNI16,C032,,JR0032,,journey_run,log_reference,artifacts/journeys/J032_C032_culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digi/metadata/journey_log.csv,artifacts/journeys/J032_C032_culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digi/metadata/journey_log.csv,generated,Primary observed journey log for JR0032
JA00480,J032,UNI16,C032,CR029,JR0032,,journey_support,homepage,artifacts/runs/CR029_2026-04-23_journey11_j031_j032_j033/batch_support/uninettuno_home.html,artifacts/journeys/J032_C032_culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digi/journey_support/CR029_uninettuno_home.html,copied,Support capture migrated from completed batch CR029
JA00481,J032,UNI16,C032,CR029,JR0032,,journey_support,programmes_hub,artifacts/runs/CR029_2026-04-23_journey11_j031_j032_j033/batch_support/uninettuno_scienze_comunicazione.html,artifacts/journeys/J032_C032_culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digi/journey_support/CR029_uninettuno_scienze_comunicazione.html,copied,Support capture migrated from completed batch CR029
JA00482,J032,UNI16,C032,CR029,JR0032,,journey_support,course_page,artifacts/runs/CR029_2026-04-23_journey11_j031_j032_j033/batch_support/uninettuno_course_j032.html,artifacts/journeys/J032_C032_culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digi/journey_support/CR029_uninettuno_course_j032.html,copied,Support capture migrated from completed batch CR029
