journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00303,J033,UNI17,C033,CR010,,SD0069,source_document,university_homepage,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0069.html,artifacts/journeys/J033_C033_comunicazione-e-dams/source/SD0069.html,copied,Portale istituzionale - Università della Calabria
JA00304,J033,UNI17,C033,CR010,,SD0069,source_header,university_homepage,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0069.headers.txt,artifacts/journeys/J033_C033_comunicazione-e-dams/source/SD0069.headers.txt,copied,Header sidecar for SD0069
JA00305,J033,UNI17,C033,CR010,,SD0070,source_document,programmes_hub,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0070.html,artifacts/journeys/J033_C033_comunicazione-e-dams/source/SD0070.html,copied,Offerta Formativa - Università della Calabria
JA00306,J033,UNI17,C033,CR010,,SD0070,source_header,programmes_hub,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0070.headers.txt,artifacts/journeys/J033_C033_comunicazione-e-dams/source/SD0070.headers.txt,copied,Header sidecar for SD0070
JA00307,J033,UNI17,C033,CR010,,SD0071,source_document,course_page,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0071.html,artifacts/journeys/J033_C033_comunicazione-e-dams/source/SD0071.html,copied,Il Corso - COMUNICAZIONE E DAMS - Corsi di Laurea
JA00308,J033,UNI17,C033,CR010,,SD0071,source_header,course_page,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0071.headers.txt,artifacts/journeys/J033_C033_comunicazione-e-dams/source/SD0071.headers.txt,copied,Header sidecar for SD0071
JA00483,J033,UNI17,C033,,JR0033,,journey_run,log_reference,artifacts/journeys/J033_C033_comunicazione-e-dams/metadata/journey_log.csv,artifacts/journeys/J033_C033_comunicazione-e-dams/metadata/journey_log.csv,generated,Primary observed journey log for JR0033
JA00484,J033,UNI17,C033,CR029,JR0033,,journey_support,homepage,artifacts/runs/CR029_2026-04-23_journey11_j031_j032_j033/batch_support/unical_home.html,artifacts/journeys/J033_C033_comunicazione-e-dams/journey_support/CR029_unical_home.html,copied,Support capture migrated from completed batch CR029
JA00485,J033,UNI17,C033,CR029,JR0033,,journey_support,programmes_hub,artifacts/runs/CR029_2026-04-23_journey11_j031_j032_j033/batch_support/unical_offerta_formativa.html,artifacts/journeys/J033_C033_comunicazione-e-dams/journey_support/CR029_unical_offerta_formativa.html,copied,Support capture migrated from completed batch CR029
JA00486,J033,UNI17,C033,CR029,JR0033,,journey_support,course_page,artifacts/runs/CR029_2026-04-23_journey11_j031_j032_j033/batch_support/unical_course_j033.html,artifacts/journeys/J033_C033_comunicazione-e-dams/journey_support/CR029_unical_course_j033.html,copied,Support capture migrated from completed batch CR029
JA00487,J033,UNI17,C033,CR029,JR0033,,journey_support,broken_brochure_shortcut,artifacts/runs/CR029_2026-04-23_journey11_j031_j032_j033/batch_support/unical_brochure_c033_404.html,artifacts/journeys/J033_C033_comunicazione-e-dams/journey_support/CR029_unical_brochure_c033_404.html,copied,Support capture for the 2026/2027 brochure shortcut that currently returns 404; retained as QA evidence for CR029
