journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00309,J034,UNI17,C034,CR010,,SD0069,source_document,university_homepage,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0069.html,artifacts/journeys/J034_C034_linguaggi-della-comunicazione-e-dello-spettacolo/source/SD0069.html,copied,Portale istituzionale - Università della Calabria
JA00310,J034,UNI17,C034,CR010,,SD0069,source_header,university_homepage,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0069.headers.txt,artifacts/journeys/J034_C034_linguaggi-della-comunicazione-e-dello-spettacolo/source/SD0069.headers.txt,copied,Header sidecar for SD0069
JA00311,J034,UNI17,C034,CR010,,SD0070,source_document,programmes_hub,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0070.html,artifacts/journeys/J034_C034_linguaggi-della-comunicazione-e-dello-spettacolo/source/SD0070.html,copied,Offerta Formativa - Università della Calabria
JA00312,J034,UNI17,C034,CR010,,SD0070,source_header,programmes_hub,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0070.headers.txt,artifacts/journeys/J034_C034_linguaggi-della-comunicazione-e-dello-spettacolo/source/SD0070.headers.txt,copied,Header sidecar for SD0070
JA00313,J034,UNI17,C034,CR010,,SD0072,source_document,course_page,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0072.html,artifacts/journeys/J034_C034_linguaggi-della-comunicazione-e-dello-spettacolo/source/SD0072.html,copied,LINGUAGGI DELLA COMUNICAZIONE E DELLO SPETTACOLO - Corsi di Laurea
JA00314,J034,UNI17,C034,CR010,,SD0072,source_header,course_page,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0072.headers.txt,artifacts/journeys/J034_C034_linguaggi-della-comunicazione-e-dello-spettacolo/source/SD0072.headers.txt,copied,Header sidecar for SD0072
JA00315,J034,UNI17,C034,,,,pilot_reference,crosswalk,data/collection/pilot_course_journey_crosswalk.csv,artifacts/journeys/J034_C034_linguaggi-della-comunicazione-e-dello-spettacolo/pilot_reference/course_journey_crosswalk_row.csv,generated,Pilot metadata integrated as journey-level historical reference.
JA00316,J034,UNI17,C034,,,,pilot_reference,raw_html,artifacts/runs/CR023_2026-04-22_pilot-raw-html-backfill/SD0108.html,artifacts/journeys/J034_C034_linguaggi-della-comunicazione-e-dello-spettacolo/pilot_reference/SD0108.html,reconstructed,"Current HTML fallback captured on 2026-04-22 for local inspection; SHA-256 differs from the historical pilot record, so the original bytes remain unavailable."
JA00417,J034,UNI17,C034,,,,pilot_reference,audit_row,data/collection/pilot_audit_matrix.csv,artifacts/journeys/J034_C034_linguaggi-della-comunicazione-e-dello-spettacolo/pilot_reference/pilot_audit_row.csv,generated,Historical LM-92 audit row normalized to current IDs.
JA00418,J034,UNI17,C034,CR000,,SD0108,pilot_reference,source_document_row,data/collection/source_document.csv,artifacts/journeys/J034_C034_linguaggi-della-comunicazione-e-dello-spettacolo/pilot_reference/pilot_source_document_row.csv,generated,Historical LM-92 source-document row normalized to canonical collection IDs.
JA00419,J034,UNI17,C034,CR000,,SD0108,pilot_reference,source_fragment_rows,data/collection/source_fragment.csv,artifacts/journeys/J034_C034_linguaggi-della-comunicazione-e-dello-spettacolo/pilot_reference/pilot_source_fragment_rows.csv,generated,Historical LM-92 source fragments normalized to canonical collection IDs.
JA00488,J034,UNI17,C034,,JR0034,,journey_run,log_reference,artifacts/journeys/J034_C034_linguaggi-della-comunicazione-e-dello-spettacolo/metadata/journey_log.csv,artifacts/journeys/J034_C034_linguaggi-della-comunicazione-e-dello-spettacolo/metadata/journey_log.csv,generated,Primary observed journey log for JR0034
JA00489,J034,UNI17,C034,CR030,JR0034,,journey_support,homepage,artifacts/runs/CR030_2026-04-23_journey12_j034_j035_j036/batch_support/unical_home.html,artifacts/journeys/J034_C034_linguaggi-della-comunicazione-e-dello-spettacolo/journey_support/CR030_unical_home.html,copied,Support capture migrated from completed batch CR030
JA00490,J034,UNI17,C034,CR030,JR0034,,journey_support,programmes_hub,artifacts/runs/CR030_2026-04-23_journey12_j034_j035_j036/batch_support/unical_offerta_formativa.html,artifacts/journeys/J034_C034_linguaggi-della-comunicazione-e-dello-spettacolo/journey_support/CR030_unical_offerta_formativa.html,copied,Support capture migrated from completed batch CR030
JA00491,J034,UNI17,C034,CR030,JR0034,,journey_support,course_page,artifacts/runs/CR030_2026-04-23_journey12_j034_j035_j036/batch_support/unical_course_j034.html,artifacts/journeys/J034_C034_linguaggi-della-comunicazione-e-dello-spettacolo/journey_support/CR030_unical_course_j034.html,copied,Support capture migrated from completed batch CR030
