journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00317,J035,UNI18,C035,CR012,,SD0074,source_document,university_homepage,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0074.html,artifacts/journeys/J035_C035_culture-digitali-e-della-comunicazione/source/SD0074.html,copied,Home - Unina
JA00318,J035,UNI18,C035,CR012,,SD0074,source_header,university_homepage,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0074.headers.txt,artifacts/journeys/J035_C035_culture-digitali-e-della-comunicazione/source/SD0074.headers.txt,copied,Header sidecar for SD0074
JA00319,J035,UNI18,C035,CR012,,SD0076,source_document,course_page,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0076.html,artifacts/journeys/J035_C035_culture-digitali-e-della-comunicazione/source/SD0076.html,copied,Corsi di Studio | Unina.it
JA00320,J035,UNI18,C035,CR012,,SD0076,source_header,course_page,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0076.headers.txt,artifacts/journeys/J035_C035_culture-digitali-e-della-comunicazione/source/SD0076.headers.txt,copied,Header sidecar for SD0076
JA00321,J035,UNI18,C035,CR013,,SD0087,source_document,programmes_hub,artifacts/runs/CR013_2026-04-07_unina_hub_normalization/SD0087.html,artifacts/journeys/J035_C035_culture-digitali-e-della-comunicazione/source/SD0087.html,copied,Offerta formativa - Unina
JA00322,J035,UNI18,C035,CR013,,SD0087,source_header,programmes_hub,artifacts/runs/CR013_2026-04-07_unina_hub_normalization/SD0087.headers.txt,artifacts/journeys/J035_C035_culture-digitali-e-della-comunicazione/source/SD0087.headers.txt,copied,Header sidecar for SD0087
JA00492,J035,UNI18,C035,,JR0035,,journey_run,log_reference,artifacts/journeys/J035_C035_culture-digitali-e-della-comunicazione/metadata/journey_log.csv,artifacts/journeys/J035_C035_culture-digitali-e-della-comunicazione/metadata/journey_log.csv,generated,Primary observed journey log for JR0035
JA00493,J035,UNI18,C035,CR030,JR0035,,journey_support,homepage_headers_403,artifacts/runs/CR030_2026-04-23_journey12_j034_j035_j036/batch_support/unina_home_headers.txt,artifacts/journeys/J035_C035_culture-digitali-e-della-comunicazione/journey_support/CR030_unina_home_headers.txt,copied,Support capture migrated from completed batch CR030; homepage headers show the live 403 blocker observed on 2026-04-23
JA00494,J035,UNI18,C035,CR030,JR0035,,journey_support,programmes_hub_headers_403,artifacts/runs/CR030_2026-04-23_journey12_j034_j035_j036/batch_support/unina_offerta_formativa_headers.txt,artifacts/journeys/J035_C035_culture-digitali-e-della-comunicazione/journey_support/CR030_unina_offerta_formativa_headers.txt,copied,Support capture migrated from completed batch CR030; normalized offerta-formativa headers show the live 403 blocker observed on 2026-04-23
JA00495,J035,UNI18,C035,CR030,JR0035,,journey_support,course_page,artifacts/runs/CR030_2026-04-23_journey12_j034_j035_j036/batch_support/unina_course_j035.html,artifacts/journeys/J035_C035_culture-digitali-e-della-comunicazione/journey_support/CR030_unina_course_j035.html,copied,Support capture migrated from completed batch CR030; target page remains the JS shell observed for J035
