journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00323,J036,UNI18,C036,CR012,,SD0074,source_document,university_homepage,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0074.html,artifacts/journeys/J036_C036_digital-society-social-innovation-and-global-citizenship/source/SD0074.html,copied,Home - Unina
JA00324,J036,UNI18,C036,CR012,,SD0074,source_header,university_homepage,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0074.headers.txt,artifacts/journeys/J036_C036_digital-society-social-innovation-and-global-citizenship/source/SD0074.headers.txt,copied,Header sidecar for SD0074
JA00325,J036,UNI18,C036,CR012,,SD0077,source_document,course_page,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0077.html,artifacts/journeys/J036_C036_digital-society-social-innovation-and-global-citizenship/source/SD0077.html,copied,Corsi di Studio | Unina.it
JA00326,J036,UNI18,C036,CR012,,SD0077,source_header,course_page,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0077.headers.txt,artifacts/journeys/J036_C036_digital-society-social-innovation-and-global-citizenship/source/SD0077.headers.txt,copied,Header sidecar for SD0077
JA00327,J036,UNI18,C036,CR013,,SD0087,source_document,programmes_hub,artifacts/runs/CR013_2026-04-07_unina_hub_normalization/SD0087.html,artifacts/journeys/J036_C036_digital-society-social-innovation-and-global-citizenship/source/SD0087.html,copied,Offerta formativa - Unina
JA00328,J036,UNI18,C036,CR013,,SD0087,source_header,programmes_hub,artifacts/runs/CR013_2026-04-07_unina_hub_normalization/SD0087.headers.txt,artifacts/journeys/J036_C036_digital-society-social-innovation-and-global-citizenship/source/SD0087.headers.txt,copied,Header sidecar for SD0087
JA00329,J036,UNI18,C036,,,,pilot_reference,crosswalk,data/collection/pilot_course_journey_crosswalk.csv,artifacts/journeys/J036_C036_digital-society-social-innovation-and-global-citizenship/pilot_reference/course_journey_crosswalk_row.csv,generated,Pilot metadata integrated as journey-level historical reference.
JA00330,J036,UNI18,C036,,,,pilot_reference,raw_html,artifacts/runs/CR000_2026-04-02_lm92_pilot_seed_capture/SD0109.html,artifacts/journeys/J036_C036_digital-society-social-innovation-and-global-citizenship/pilot_reference/SD0109.html,available,Historical pilot raw HTML restored locally and hash-verified against the canonical pilot SHA-256.
JA00411,J036,UNI18,C036,,,,pilot_reference,audit_row,data/collection/pilot_audit_matrix.csv,artifacts/journeys/J036_C036_digital-society-social-innovation-and-global-citizenship/pilot_reference/pilot_audit_row.csv,generated,Historical LM-92 audit row normalized to current IDs.
JA00412,J036,UNI18,C036,CR000,,SD0109,pilot_reference,source_document_row,data/collection/source_document.csv,artifacts/journeys/J036_C036_digital-society-social-innovation-and-global-citizenship/pilot_reference/pilot_source_document_row.csv,generated,Historical LM-92 source-document row normalized to canonical collection IDs.
JA00413,J036,UNI18,C036,CR000,,SD0109,pilot_reference,source_fragment_rows,data/collection/source_fragment.csv,artifacts/journeys/J036_C036_digital-society-social-innovation-and-global-citizenship/pilot_reference/pilot_source_fragment_rows.csv,generated,Historical LM-92 source fragments normalized to canonical collection IDs.
JA00496,J036,UNI18,C036,,JR0036,,journey_run,log_reference,artifacts/journeys/J036_C036_digital-society-social-innovation-and-global-citizenship/metadata/journey_log.csv,artifacts/journeys/J036_C036_digital-society-social-innovation-and-global-citizenship/metadata/journey_log.csv,generated,Primary observed journey log for JR0036
JA00497,J036,UNI18,C036,CR030,JR0036,,journey_support,homepage_headers_403,artifacts/runs/CR030_2026-04-23_journey12_j034_j035_j036/batch_support/unina_home_headers.txt,artifacts/journeys/J036_C036_digital-society-social-innovation-and-global-citizenship/journey_support/CR030_unina_home_headers.txt,copied,Support capture migrated from completed batch CR030; homepage headers show the live 403 blocker observed on 2026-04-23
JA00498,J036,UNI18,C036,CR030,JR0036,,journey_support,programmes_hub_headers_403,artifacts/runs/CR030_2026-04-23_journey12_j034_j035_j036/batch_support/unina_offerta_formativa_headers.txt,artifacts/journeys/J036_C036_digital-society-social-innovation-and-global-citizenship/journey_support/CR030_unina_offerta_formativa_headers.txt,copied,Support capture migrated from completed batch CR030; normalized offerta-formativa headers show the live 403 blocker observed on 2026-04-23
JA00499,J036,UNI18,C036,CR030,JR0036,,journey_support,course_page,artifacts/runs/CR030_2026-04-23_journey12_j034_j035_j036/batch_support/unina_course_j036.html,artifacts/journeys/J036_C036_digital-society-social-innovation-and-global-citizenship/journey_support/CR030_unina_course_j036.html,copied,Support capture migrated from completed batch CR030; target page remains the JS shell observed for J036
