journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00331,J037,UNI19,C037,CR012,,SD0078,source_document,university_homepage,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0078.html,artifacts/journeys/J037_C037_scienze-della-comunicazione/source/SD0078.html,copied,Università degli studi di Bergamo | UniBg
JA00332,J037,UNI19,C037,CR012,,SD0078,source_header,university_homepage,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0078.headers.txt,artifacts/journeys/J037_C037_scienze-della-comunicazione/source/SD0078.headers.txt,copied,Header sidecar for SD0078
JA00333,J037,UNI19,C037,CR012,,SD0079,source_document,programmes_hub,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0079.html,artifacts/journeys/J037_C037_scienze-della-comunicazione/source/SD0079.html,copied,I corsi | Università degli studi di Bergamo
JA00334,J037,UNI19,C037,CR012,,SD0079,source_header,programmes_hub,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0079.headers.txt,artifacts/journeys/J037_C037_scienze-della-comunicazione/source/SD0079.headers.txt,copied,Header sidecar for SD0079
JA00335,J037,UNI19,C037,CR012,,SD0080,source_document,course_page,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0080.html,artifacts/journeys/J037_C037_scienze-della-comunicazione/source/SD0080.html,copied,[92-R] SCIENZE DELLA COMUNICAZIONE | Università degli studi di Bergamo
JA00336,J037,UNI19,C037,CR012,,SD0080,source_header,course_page,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0080.headers.txt,artifacts/journeys/J037_C037_scienze-della-comunicazione/source/SD0080.headers.txt,copied,Header sidecar for SD0080
JA00500,J037,UNI19,C037,,JR0037,,journey_run,log_reference,artifacts/journeys/J037_C037_scienze-della-comunicazione/metadata/journey_log.csv,artifacts/journeys/J037_C037_scienze-della-comunicazione/metadata/journey_log.csv,generated,Primary observed journey log for JR0037
JA00501,J037,UNI19,C037,CR031,JR0037,,journey_support,homepage,artifacts/runs/CR031_2026-04-23_journey13_j037_j038_j039/batch_support/unibg_home.html,artifacts/journeys/J037_C037_scienze-della-comunicazione/journey_support/CR031_unibg_home.html,copied,Support capture migrated from completed batch CR031
JA00502,J037,UNI19,C037,CR031,JR0037,,journey_support,search_results,artifacts/runs/CR031_2026-04-23_journey13_j037_j038_j039/batch_support/unibg_j037_search_results.html,artifacts/journeys/J037_C037_scienze-della-comunicazione/journey_support/CR031_unibg_j037_search_results.html,copied,Support capture migrated from completed batch CR031; homepage course-search results page for J037
JA00503,J037,UNI19,C037,CR031,JR0037,,journey_support,course_page,artifacts/runs/CR031_2026-04-23_journey13_j037_j038_j039/batch_support/unibg_j037_course_page.html,artifacts/journeys/J037_C037_scienze-della-comunicazione/journey_support/CR031_unibg_j037_course_page.html,copied,Support capture migrated from completed batch CR031
