journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00337,J038,UNI19,C038,CR012,,SD0078,source_document,university_homepage,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0078.html,artifacts/journeys/J038_C038_valorizzazione-del-patrimonio-culturale-materiale-e-immateriale/source/SD0078.html,copied,Università degli studi di Bergamo | UniBg
JA00338,J038,UNI19,C038,CR012,,SD0078,source_header,university_homepage,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0078.headers.txt,artifacts/journeys/J038_C038_valorizzazione-del-patrimonio-culturale-materiale-e-immateriale/source/SD0078.headers.txt,copied,Header sidecar for SD0078
JA00339,J038,UNI19,C038,CR012,,SD0079,source_document,programmes_hub,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0079.html,artifacts/journeys/J038_C038_valorizzazione-del-patrimonio-culturale-materiale-e-immateriale/source/SD0079.html,copied,I corsi | Università degli studi di Bergamo
JA00340,J038,UNI19,C038,CR012,,SD0079,source_header,programmes_hub,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0079.headers.txt,artifacts/journeys/J038_C038_valorizzazione-del-patrimonio-culturale-materiale-e-immateriale/source/SD0079.headers.txt,copied,Header sidecar for SD0079
JA00341,J038,UNI19,C038,CR012,,SD0081,source_document,course_page,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0081.html,artifacts/journeys/J038_C038_valorizzazione-del-patrimonio-culturale-materiale-e-immateriale/source/SD0081.html,copied,Valorizzazione del Patrimonio Culturale Materiale e Immateriale | UniBG
JA00342,J038,UNI19,C038,CR012,,SD0081,source_header,course_page,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0081.headers.txt,artifacts/journeys/J038_C038_valorizzazione-del-patrimonio-culturale-materiale-e-immateriale/source/SD0081.headers.txt,copied,Header sidecar for SD0081
JA00343,J038,UNI19,C038,,,,pilot_reference,crosswalk,data/collection/pilot_course_journey_crosswalk.csv,artifacts/journeys/J038_C038_valorizzazione-del-patrimonio-culturale-materiale-e-immateriale/pilot_reference/course_journey_crosswalk_row.csv,generated,Pilot metadata integrated as journey-level historical reference.
JA00344,J038,UNI19,C038,,,,pilot_reference,raw_html,artifacts/runs/CR023_2026-04-22_pilot-raw-html-backfill/SD0110.html,artifacts/journeys/J038_C038_valorizzazione-del-patrimonio-culturale-materiale-e-immateriale/pilot_reference/SD0110.html,reconstructed,"Current HTML fallback captured on 2026-04-22 for local inspection; SHA-256 differs from the historical pilot record, so the original bytes remain unavailable."
JA00405,J038,UNI19,C038,,,,pilot_reference,audit_row,data/collection/pilot_audit_matrix.csv,artifacts/journeys/J038_C038_valorizzazione-del-patrimonio-culturale-materiale-e-immateriale/pilot_reference/pilot_audit_row.csv,generated,Historical LM-92 audit row normalized to current IDs.
JA00406,J038,UNI19,C038,CR000,,SD0110,pilot_reference,source_document_row,data/collection/source_document.csv,artifacts/journeys/J038_C038_valorizzazione-del-patrimonio-culturale-materiale-e-immateriale/pilot_reference/pilot_source_document_row.csv,generated,Historical LM-92 source-document row normalized to canonical collection IDs.
JA00407,J038,UNI19,C038,CR000,,SD0110,pilot_reference,source_fragment_rows,data/collection/source_fragment.csv,artifacts/journeys/J038_C038_valorizzazione-del-patrimonio-culturale-materiale-e-immateriale/pilot_reference/pilot_source_fragment_rows.csv,generated,Historical LM-92 source fragments normalized to canonical collection IDs.
JA00504,J038,UNI19,C038,,JR0038,,journey_run,log_reference,artifacts/journeys/J038_C038_valorizzazione-del-patrimonio-culturale-materiale-e-immateriale/metadata/journey_log.csv,artifacts/journeys/J038_C038_valorizzazione-del-patrimonio-culturale-materiale-e-immateriale/metadata/journey_log.csv,generated,Primary observed journey log for JR0038
JA00505,J038,UNI19,C038,CR031,JR0038,,journey_support,homepage,artifacts/runs/CR031_2026-04-23_journey13_j037_j038_j039/batch_support/unibg_home.html,artifacts/journeys/J038_C038_valorizzazione-del-patrimonio-culturale-materiale-e-immateriale/journey_support/CR031_unibg_home.html,copied,Support capture migrated from completed batch CR031
JA00506,J038,UNI19,C038,CR031,JR0038,,journey_support,search_results,artifacts/runs/CR031_2026-04-23_journey13_j037_j038_j039/batch_support/unibg_j038_search_results.html,artifacts/journeys/J038_C038_valorizzazione-del-patrimonio-culturale-materiale-e-immateriale/journey_support/CR031_unibg_j038_search_results.html,copied,Support capture migrated from completed batch CR031; homepage course-search results page for J038
JA00507,J038,UNI19,C038,CR031,JR0038,,journey_support,offertaformativa_page,artifacts/runs/CR031_2026-04-23_journey13_j037_j038_j039/batch_support/unibg_j038_offertaformativa_page.html,artifacts/journeys/J038_C038_valorizzazione-del-patrimonio-culturale-materiale-e-immateriale/journey_support/CR031_unibg_j038_offertaformativa_page.html,copied,Support capture migrated from completed batch CR031; UniBg detail page exposing the Sito del corso CTA
JA00508,J038,UNI19,C038,CR031,JR0038,,journey_support,course_page,artifacts/runs/CR031_2026-04-23_journey13_j037_j038_j039/batch_support/unibg_j038_course_site.html,artifacts/journeys/J038_C038_valorizzazione-del-patrimonio-culturale-materiale-e-immateriale/journey_support/CR031_unibg_j038_course_site.html,copied,Support capture migrated from completed batch CR031
