journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00345,J039,UNI20,C039,CR012,,SD0082,source_document,university_homepage,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0082.html,artifacts/journeys/J039_C039_beni-culturali/source/SD0082.html,copied,UniTrento
JA00346,J039,UNI20,C039,CR012,,SD0082,source_header,university_homepage,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0082.headers.txt,artifacts/journeys/J039_C039_beni-culturali/source/SD0082.headers.txt,copied,Header sidecar for SD0082
JA00347,J039,UNI20,C039,CR012,,SD0083,source_document,programmes_hub,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0083.html,artifacts/journeys/J039_C039_beni-culturali/source/SD0083.html,copied,Corsi | UniTrento
JA00348,J039,UNI20,C039,CR012,,SD0083,source_header,programmes_hub,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0083.headers.txt,artifacts/journeys/J039_C039_beni-culturali/source/SD0083.headers.txt,copied,Header sidecar for SD0083
JA00349,J039,UNI20,C039,CR012,,SD0084,source_document,course_page,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0084.html,artifacts/journeys/J039_C039_beni-culturali/source/SD0084.html,copied,Beni culturali | UniTrento
JA00350,J039,UNI20,C039,CR012,,SD0084,source_header,course_page,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0084.headers.txt,artifacts/journeys/J039_C039_beni-culturali/source/SD0084.headers.txt,copied,Header sidecar for SD0084
JA00509,J039,UNI20,C039,,JR0039,,journey_run,log_reference,artifacts/journeys/J039_C039_beni-culturali/metadata/journey_log.csv,artifacts/journeys/J039_C039_beni-culturali/metadata/journey_log.csv,generated,Primary observed journey log for JR0039
JA00510,J039,UNI20,C039,CR031,JR0039,,journey_support,homepage,artifacts/runs/CR031_2026-04-23_journey13_j037_j038_j039/batch_support/unitn_home.html,artifacts/journeys/J039_C039_beni-culturali/journey_support/CR031_unitn_home.html,copied,Support capture migrated from completed batch CR031
JA00511,J039,UNI20,C039,CR031,JR0039,,journey_support,programmes_hub,artifacts/runs/CR031_2026-04-23_journey13_j037_j038_j039/batch_support/unitn_corsi.html,artifacts/journeys/J039_C039_beni-culturali/journey_support/CR031_unitn_corsi.html,copied,Support capture migrated from completed batch CR031
JA00512,J039,UNI20,C039,CR031,JR0039,,journey_support,course_page,artifacts/runs/CR031_2026-04-23_journey13_j037_j038_j039/batch_support/unitn_j039_course_page.html,artifacts/journeys/J039_C039_beni-culturali/journey_support/CR031_unitn_j039_course_page.html,copied,Support capture migrated from completed batch CR031
