journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00351,J040,UNI20,C040,CR012,,SD0082,source_document,university_homepage,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0082.html,artifacts/journeys/J040_C040_organizzazione-societa-e-tecnologia/source/SD0082.html,copied,UniTrento
JA00352,J040,UNI20,C040,CR012,,SD0082,source_header,university_homepage,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0082.headers.txt,artifacts/journeys/J040_C040_organizzazione-societa-e-tecnologia/source/SD0082.headers.txt,copied,Header sidecar for SD0082
JA00353,J040,UNI20,C040,CR012,,SD0083,source_document,programmes_hub,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0083.html,artifacts/journeys/J040_C040_organizzazione-societa-e-tecnologia/source/SD0083.html,copied,Corsi | UniTrento
JA00354,J040,UNI20,C040,CR012,,SD0083,source_header,programmes_hub,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0083.headers.txt,artifacts/journeys/J040_C040_organizzazione-societa-e-tecnologia/source/SD0083.headers.txt,copied,Header sidecar for SD0083
JA00355,J040,UNI20,C040,CR012,,SD0085,source_document,course_page,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0085.html,artifacts/journeys/J040_C040_organizzazione-societa-e-tecnologia/source/SD0085.html,copied,"Organizzazione, società e tecnologia | UniTrento"
JA00356,J040,UNI20,C040,CR012,,SD0085,source_header,course_page,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0085.headers.txt,artifacts/journeys/J040_C040_organizzazione-societa-e-tecnologia/source/SD0085.headers.txt,copied,Header sidecar for SD0085
JA00513,J040,UNI20,C040,,JR0040,,journey_run,log_reference,artifacts/journeys/J040_C040_organizzazione-societa-e-tecnologia/metadata/journey_log.csv,artifacts/journeys/J040_C040_organizzazione-societa-e-tecnologia/metadata/journey_log.csv,generated,Primary observed journey log for JR0040
JA00514,J040,UNI20,C040,CR032,JR0040,,journey_support,homepage,artifacts/runs/CR032_2026-04-23_journey14_j040_j041/batch_support/unitn_home.html,artifacts/journeys/J040_C040_organizzazione-societa-e-tecnologia/journey_support/CR032_unitn_home.html,copied,Support capture migrated from completed batch CR032
JA00515,J040,UNI20,C040,CR032,JR0040,,journey_support,programmes_hub_page1,artifacts/runs/CR032_2026-04-23_journey14_j040_j041/batch_support/unitn_corsi_page1.html,artifacts/journeys/J040_C040_organizzazione-societa-e-tecnologia/journey_support/CR032_unitn_corsi_page1.html,copied,Support capture migrated from completed batch CR032
JA00516,J040,UNI20,C040,CR032,JR0040,,journey_support,programmes_hub_page2,artifacts/runs/CR032_2026-04-23_journey14_j040_j041/batch_support/unitn_corsi_page2.html,artifacts/journeys/J040_C040_organizzazione-societa-e-tecnologia/journey_support/CR032_unitn_corsi_page2.html,copied,Support capture migrated from completed batch CR032
JA00517,J040,UNI20,C040,CR032,JR0040,,journey_support,programmes_hub_page3,artifacts/runs/CR032_2026-04-23_journey14_j040_j041/batch_support/unitn_corsi_page3.html,artifacts/journeys/J040_C040_organizzazione-societa-e-tecnologia/journey_support/CR032_unitn_corsi_page3.html,copied,Support capture migrated from completed batch CR032
JA00518,J040,UNI20,C040,CR032,JR0040,,journey_support,programmes_hub_page4,artifacts/runs/CR032_2026-04-23_journey14_j040_j041/batch_support/unitn_corsi_page4.html,artifacts/journeys/J040_C040_organizzazione-societa-e-tecnologia/journey_support/CR032_unitn_corsi_page4.html,copied,Support capture migrated from completed batch CR032
JA00519,J040,UNI20,C040,CR032,JR0040,,journey_support,site_search_results,artifacts/runs/CR032_2026-04-23_journey14_j040_j041/batch_support/unitn_j040_search_results.html,artifacts/journeys/J040_C040_organizzazione-societa-e-tecnologia/journey_support/CR032_unitn_j040_search_results.html,copied,Support capture migrated from completed batch CR032; institutional search returns only node/PDF style results for J040
JA00520,J040,UNI20,C040,CR032,JR0040,,journey_support,internal_result_page,artifacts/runs/CR032_2026-04-23_journey14_j040_j041/batch_support/unitn_j040_internal_result_page.html,artifacts/journeys/J040_C040_organizzazione-societa-e-tecnologia/journey_support/CR032_unitn_j040_internal_result_page.html,copied,Support capture migrated from completed batch CR032; internal result page does not expose the canonical corsi.unitn.it target
JA00521,J040,UNI20,C040,CR032,JR0040,,journey_support,target_page,artifacts/runs/CR032_2026-04-23_journey14_j040_j041/batch_support/unitn_j040_target_page.html,artifacts/journeys/J040_C040_organizzazione-societa-e-tecnologia/journey_support/CR032_unitn_j040_target_page.html,copied,Support capture migrated from completed batch CR032; canonical target confirmed live
