journey_artifact_id,journey_id,university_id,sample_course_id,crawl_run_id,journey_run_id,source_document_id,artifact_category,artifact_role,origin_path,artifact_path,artifact_status,notes
JA00357,J041,UNI20,C041,CR012,,SD0082,source_document,university_homepage,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0082.html,artifacts/journeys/J041_C041_giurisprudenza/source/SD0082.html,copied,UniTrento
JA00358,J041,UNI20,C041,CR012,,SD0082,source_header,university_homepage,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0082.headers.txt,artifacts/journeys/J041_C041_giurisprudenza/source/SD0082.headers.txt,copied,Header sidecar for SD0082
JA00359,J041,UNI20,C041,CR012,,SD0083,source_document,programmes_hub,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0083.html,artifacts/journeys/J041_C041_giurisprudenza/source/SD0083.html,copied,Corsi | UniTrento
JA00360,J041,UNI20,C041,CR012,,SD0083,source_header,programmes_hub,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0083.headers.txt,artifacts/journeys/J041_C041_giurisprudenza/source/SD0083.headers.txt,copied,Header sidecar for SD0083
JA00361,J041,UNI20,C041,CR012,,SD0086,source_document,course_page,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0086.html,artifacts/journeys/J041_C041_giurisprudenza/source/SD0086.html,copied,Giurisprudenza | UniTrento
JA00362,J041,UNI20,C041,CR012,,SD0086,source_header,course_page,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0086.headers.txt,artifacts/journeys/J041_C041_giurisprudenza/source/SD0086.headers.txt,copied,Header sidecar for SD0086
JA00522,J041,UNI20,C041,,JR0041,,journey_run,log_reference,artifacts/journeys/J041_C041_giurisprudenza/metadata/journey_log.csv,artifacts/journeys/J041_C041_giurisprudenza/metadata/journey_log.csv,generated,Primary observed journey log for JR0041
JA00523,J041,UNI20,C041,CR032,JR0041,,journey_support,homepage,artifacts/runs/CR032_2026-04-23_journey14_j040_j041/batch_support/unitn_home.html,artifacts/journeys/J041_C041_giurisprudenza/journey_support/CR032_unitn_home.html,copied,Support capture migrated from completed batch CR032
JA00524,J041,UNI20,C041,CR032,JR0041,,journey_support,programmes_hub,artifacts/runs/CR032_2026-04-23_journey14_j040_j041/batch_support/unitn_corsi_page1.html,artifacts/journeys/J041_C041_giurisprudenza/journey_support/CR032_unitn_corsi_page1.html,copied,Support capture migrated from completed batch CR032
JA00525,J041,UNI20,C041,CR032,JR0041,,journey_support,course_page,artifacts/runs/CR032_2026-04-23_journey14_j040_j041/batch_support/unitn_j041_target_page.html,artifacts/journeys/J041_C041_giurisprudenza/journey_support/CR032_unitn_j041_target_page.html,copied,Support capture migrated from completed batch CR032
