university_id,university_name,macro_area,institution_type,university_city,university_homepage_url,programmes_hub_url,n_course_pages,n_journeys_attempted,n_journeys_blocked,n_journeys_success,n_serp_observations,n_structural_records,n_wave_browser_fallback,journey_success_rate,journey_click_depth_median,journey_time_seconds_median,menu_clarity_score_mean,onsite_search_present_rate,orientation_score_norm_mean,orientation_score_norm_median,serp_known_institution_found_top10_rate,serp_user_like_found_top10_rate,serp_info_seeking_found_top10_rate,serp_official_result_present_rate,serp_third_party_above_official_rate,serp_best_rank_organic_median,homepage_lighthouse_performance_median,homepage_lighthouse_accessibility_median,course_lighthouse_performance_median,course_lighthouse_accessibility_median,course_lighthouse_performance_min,course_lighthouse_performance_max,homepage_wave_error_count_median,course_wave_error_count_median,course_wave_error_count_median_excl_reduced,course_wave_contrast_error_count_median,structural_essential_completeness_rate_mean,structural_study_plan_pdf_only_rate,structural_external_portal_dependency_rate,structural_fragmented_information_rate,structural_contacts_present_rate,js_heavy_course_count,blocked_js_course_count,blocked_js_share,audit_round,audit_date,crawl_run_id,review_status,overall_notes,provenance_notes,journey_high_friction_rate,weak_external_findability_rate,accessibility_risk_rate,technical_risk_rate,information_fragmentation_rate,journey_blocked_count,critical_student_pathway_count,multi_phase_critical_case_count
UNI01,Università degli Studi di Bologna,Nord,statale,Bologna,https://www.unibo.it/,https://www.unibo.it/it/studiare,2,2,1,1,6,2,0,0.5,3.0,35.0,not_collected,not_collected,not_collected,not_collected,0.0,1.0,1.0,1.0,0.0,1.0,0.52,1.0,0.42,0.985,0.36,0.48,0.0,0.5,0.5,0.0,0.8571,0.0,0.0,0.0,1.0,0,1,0.5,sample_v1,2026-05-07,,validated,,,0.5,0.0,0.0,1.0,0.0,1,0,0
UNI02,Università degli Studi di Padova,Nord,statale,Padova,https://www.unipd.it/,https://www.unipd.it/corsi-di-laurea,2,2,2,0,6,2,0,0.0,not_applicable,not_applicable,not_collected,not_collected,not_collected,not_collected,1.0,1.0,1.0,1.0,0.0,1.0,0.34,0.98,0.34,0.96,0.32,0.36,3.0,1.0,1.0,1.0,0.5714,0.0,0.0,0.0,1.0,0,2,1.0,sample_v1,2026-05-07,,validated,,,0.0,0.0,0.0,1.0,0.0,2,0,0
UNI03,Università degli Studi di Pisa,Centro,statale,Pisa,https://www.unipi.it/,https://www.unipi.it/didattica,2,2,0,2,6,2,0,1.0,1.0,20.5,not_collected,not_collected,not_collected,not_collected,0.0,1.0,1.0,1.0,0.0,1.0,0.58,0.84,0.685,0.905,0.68,0.69,35.0,29.0,29.0,0.0,0.8572,0.0,0.0,0.0,1.0,0,0,0.0,sample_v1,2026-05-07,,validated,,,1.0,0.0,1.0,0.0,0.0,0,0,0
UNI04,Università degli Studi di Firenze,Centro,statale,Firenze,https://www.unifi.it/,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea,2,2,0,2,6,2,0,1.0,3.0,34.0,not_collected,not_collected,not_collected,not_collected,1.0,1.0,1.0,1.0,0.0,1.0,0.44,1.0,0.72,1.0,0.69,0.75,0.0,0.5,0.5,0.0,0.9285,0.0,0.0,0.0,1.0,0,0,0.0,sample_v1,2026-05-07,,validated,,,1.0,0.0,0.0,0.0,0.0,0,0,0
UNI05,Università degli Studi di Siena,Centro,statale,Siena,https://www.unisi.it/,https://www.unisi.it/didattica,2,2,0,2,6,2,0,1.0,3.5,33.0,not_collected,not_collected,not_collected,not_collected,1.0,1.0,1.0,1.0,0.0,1.0,0.6,0.83,0.555,0.92,0.54,0.57,2.0,0.5,0.5,0.0,0.7857,0.0,0.0,0.0,1.0,0,0,0.0,sample_v1,2026-05-07,,validated,,,0.5,0.0,0.0,0.0,0.0,0,0,0
UNI06,Università degli Studi di Torino,Nord,statale,Torino,https://www.unito.it/,https://www.unito.it/didattica,2,2,0,2,6,2,0,1.0,4.0,41.0,not_collected,not_collected,not_collected,not_collected,1.0,1.0,1.0,1.0,0.0,1.0,0.66,0.93,0.81,0.93,0.8,0.82,1.0,1.0,1.0,25.0,0.9285,0.0,0.0,0.0,1.0,0,0,0.0,sample_v1,2026-05-07,,validated,,,1.0,0.0,1.0,0.0,0.0,0,0,0
UNI07,Università degli Studi di Genova,Nord,statale,Genova-Savona,https://unige.it/,https://corsi.unige.it/,2,2,0,2,6,2,0,1.0,2.0,32.0,not_collected,not_collected,not_collected,not_collected,1.0,1.0,1.0,1.0,0.0,1.0,0.53,0.88,0.77,0.84,0.57,0.97,3.0,20.0,20.0,35.5,0.9285,0.0,0.0,0.0,1.0,0,0,0.0,sample_v1,2026-05-07,,validated,,,0.0,0.0,1.0,0.0,0.0,0,0,0
UNI08,Università degli Studi di Milano-Bicocca,Nord,statale,Milano,https://www.unimib.it/,https://www.unimib.it/studiare,2,2,0,2,6,2,0,1.0,3.0,40.0,not_collected,not_collected,not_collected,not_collected,1.0,1.0,1.0,1.0,0.0,1.0,0.53,0.96,0.635,0.96,0.59,0.68,4.0,4.0,4.0,9.0,0.7857,0.0,0.5,0.0,1.0,0,0,0.0,sample_v1,2026-05-07,,validated,,,1.0,0.0,0.0,0.0,0.5,0,0,0
UNI09,Università degli Studi di Milano,Nord,statale,Milano,https://www.unimi.it/,https://www.unimi.it/it/corsi,2,2,0,2,6,2,0,1.0,2.0,20.0,not_collected,not_collected,not_collected,not_collected,1.0,1.0,1.0,1.0,0.0,1.0,0.63,0.96,0.655,0.96,0.65,0.66,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0,0,0.0,sample_v1,2026-05-07,,validated,,,0.0,0.0,0.0,0.0,0.0,0,0,0
UNI10,Università degli Studi dell'Insubria,Nord,statale,Varese,https://www.uninsubria.it/,https://www.uninsubria.it/formazione/la-nostra-didattica,2,2,0,2,6,2,0,1.0,2.0,23.0,not_collected,not_collected,not_collected,not_collected,1.0,1.0,1.0,1.0,0.0,1.0,0.61,0.98,0.75,0.95,0.73,0.77,6.0,7.0,7.0,3.0,1.0,0.0,0.0,0.0,1.0,0,0,0.0,sample_v1,2026-05-07,,validated,,,0.0,0.0,0.0,0.0,0.0,0,0,0
UNI11,Università degli Studi di Salerno,Sud,statale,Fisciano (SA),https://www.unisa.it/,https://web.unisa.it/didattica/corsi-laurea,2,2,0,2,6,2,0,1.0,3.0,29.0,not_collected,not_collected,not_collected,not_collected,1.0,1.0,1.0,1.0,0.0,1.0,0.82,0.96,0.935,0.98,0.92,0.95,3.0,3.0,3.0,8.0,0.7143,0.0,0.0,0.0,1.0,0,0,0.0,sample_v1,2026-05-07,,validated,,,0.0,0.0,0.0,0.0,0.0,0,0,0
UNI12,Università degli Studi Roma Tre,Centro,statale,Roma,https://www.uniroma3.it/,https://www.uniroma3.it/didattica/offerta-formativa/,2,2,0,2,6,2,0,1.0,2.0,22.5,not_collected,not_collected,not_collected,not_collected,1.0,1.0,1.0,1.0,0.0,1.0,0.28,0.96,0.48,0.9,0.44,0.52,3.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0.0,sample_v1,2026-05-07,,validated,,,0.0,0.0,0.0,0.5,0.0,0,0,0
UNI13,Università degli Studi di Palermo,Isole,statale,Palermo,https://www.unipa.it/,https://www.unipa.it/didattica/offerta-formativa.html,2,2,0,2,6,2,0,1.0,2.0,27.0,not_collected,not_collected,not_collected,not_collected,1.0,1.0,1.0,1.0,0.0,1.0,0.6,0.89,0.595,0.875,0.56,0.63,11.0,12.0,12.0,0.0,0.8571,0.0,0.0,0.0,1.0,0,0,0.0,sample_v1,2026-05-07,,validated,,,0.0,0.0,1.0,0.0,0.0,0,0,0
UNI14,Università per Stranieri di Perugia,Centro,statale,Perugia,https://www.unistrapg.it/,https://www.unistrapg.it/offerta-formativa,2,2,0,2,6,2,0,1.0,2.0,19.0,not_collected,not_collected,not_collected,not_collected,1.0,1.0,1.0,1.0,0.0,1.0,0.52,0.98,0.55,1.0,0.55,0.55,0.0,3.5,3.5,0.0,0.8571,0.0,0.0,0.0,1.0,0,0,0.0,sample_v1,2026-05-07,,validated,,,0.0,0.0,0.0,0.0,0.0,0,0,0
