page_audit_id,university_id,sample_course_id,page_role,tested_url,final_url,source_document_id,lighthouse_performance,lighthouse_accessibility,lighthouse_best_practices,lighthouse_seo,first_contentful_paint_ms,largest_contentful_paint_ms,total_blocking_time_ms,cumulative_layout_shift,speed_index_ms,lighthouse_strategy,lhci_run_id,wave_error_count,wave_contrast_error_count,wave_alert_count,wave_feature_count,wave_structure_count,wave_aria_count,wave_allitemcount,wave_aimscore,wave_collection_mode,wave_metric_comparability,wave_crawl_run_id,title_text,title_quality_score,meta_description_present,canonical_present,lang_declared,skip_link_present,h1_present,heading_structure_score,accessibility_statement_present,audit_round,audit_date,crawl_run_id,review_status,notes
PA_HOME_UNI01,UNI01,,university_homepage,https://www.unibo.it/,https://www.unibo.it/it,SD0001,0.52,1,1,1,21385.70299070059,31241.237676215133,181,0,21385.70299070059,mobile,CR034,0,6,21,57,70,186,340,8.1,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_HOME_UNI02,UNI02,,university_homepage,https://www.unipd.it/,https://www.unipd.it/,SD0005,0.34,0.98,0.71,0.66,3008.389,6570.593999999996,2130.29,0.017693,11120.486248167543,mobile,CR034,3,17,57,114,107,507,805,6.6,api_primary,standard,WVRUN_pilot4,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_HOME_UNI03,UNI03,,university_homepage,https://www.unipi.it/,https://www.unipi.it/,SD0009,0.58,0.84,0.93,0.92,4244.0038,6628.109800000001,126,0.001416,13103.55712973053,mobile,CR034,35,5,46,19,117,295,517,5.2,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_HOME_UNI04,UNI04,,university_homepage,https://www.unifi.it/,https://www.unifi.it/it,SD0013,0.44,1,1,1,1986.53,11133.529999999999,1341,0.018663,5635.683364742375,mobile,CR034,0,3,164,30,78,189,464,8.5,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_HOME_UNI05,UNI05,,university_homepage,https://www.unisi.it/,https://www.unisi.it/,SD0017,0.6,0.83,1,0.83,1103.11,4494.416499999999,11,0.8101870000000003,2999.729263235281,mobile,CR034,2,61,38,13,31,11,156,3.1,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_HOME_UNI06,UNI06,,university_homepage,https://www.unito.it/,https://www.unito.it/,SD0022,0.66,0.93,0.96,1,2335.831,10167.105500000001,69,0,6536.356352613795,mobile,CR034,1,34,81,59,101,364,640,5,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_HOME_UNI07,UNI07,,university_homepage,https://unige.it/,https://unige.it/,SD0026,0.53,0.88,1,0.92,6244.9925,17794.9925,207.4999999999991,0.072426,7859.852676769173,mobile,CR034,3,75,104,45,129,382,738,2.6,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_HOME_UNI08,UNI08,,university_homepage,https://www.unimib.it/,https://www.unimib.it/,SD0030,0.53,0.96,0.96,0.92,3318.811,35257.811,338.5,0.020588,8545.561898218757,mobile,CR034,4,9,15,37,41,84,190,7.2,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_HOME_UNI09,UNI09,,university_homepage,https://www.unimi.it/,https://www.unimi.it/it,SD0034,0.63,0.96,0.93,1,3358.350000000001,10922.692500000001,129,0,5227.326068106999,mobile,CR034,1,21,22,35,56,23,158,6.3,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
PA_HOME_UNI10,UNI10,,university_homepage,https://www.uninsubria.it/,https://www.uninsubria.it/,SD0038,0.61,0.98,0.96,0.85,1535.2915,101079.29149999999,107.5,0.100955,22759.780007722853,mobile,CR034,6,1,134,49,60,102,352,7.7,api_primary,standard,WVRUN_001,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,not_collected,sample_v1,2026-05-07,,validated,
