journey_id,university_id,sample_course_id,university_name,course_name,degree_type,course_class,disciplinary_cluster,journey_scope,journey_start_url,journey_hub_url,journey_target_url,homepage_host,hub_host,target_host,target_platform_family,planned_primary_path,planned_secondary_path,manual_click_depth,manual_time_seconds,manual_success,scripted_click_depth,scripted_time_seconds,scripted_success,internal_search_used,filters_used,direct_cta_used,intermediate_steps_count,intermediate_step_1_url,intermediate_step_2_url,intermediate_step_3_url,js_dependency_level_preaudit,measurement_status,notes
J001,UNI01,C001,Università degli Studi di Bologna,Scienze della comunicazione,triennale,L-20,communication_media,homepage_to_course,https://www.unibo.it/,https://www.unibo.it/it/studiare,https://corsi.unibo.it/laurea/ScienzeComunicazione,www.unibo.it,www.unibo.it,corsi.unibo.it,unibo_course_portal,homepage > programmes_hub > course_page,homepage > site_search > course_page,3,35,1,,,,1,1,1,2,https://www.unibo.it/UniboWeb/UniboSearch/results.aspx?query=Scienze%20della%20comunicazione&filter=resourcetype%3aSchedaCorso&page=1,https://www.unibo.it/it/studiare/lauree-e-lauree-magistrali-a-ciclo-unico/corso/2025/6620,,low,manual_v1_complete,manual journey collected 2026-04-07 via homepage search > filtered results > ateneo card > CTA to course site
J002,UNI01,C002,Università degli Studi di Bologna,Semiotica,magistrale,LM-92,communication_media,homepage_to_course,https://www.unibo.it/,https://www.unibo.it/it/studiare,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,www.unibo.it,www.unibo.it,www.unibo.it,unibo_ateneo_course_card,homepage > programmes_hub > course_page,homepage > site_search > course_page,2,45,0,,,,0,0,0,2,https://www.unibo.it/it/studiare,https://www.unibo.it/it/studiare/lauree-e-lauree-magistrali-a-ciclo-unico,,medium,manual_v1_complete,manual journey collected 2026-04-20 via JR0004; hub browse reaches Cineca Angular listing but Semiotica magistrale not findable without JS; target URL confirmed live (SD0004) but not reachable via internal navigation; run_outcome=blocked_js
J003,UNI02,C003,Università degli Studi di Padova,Comunicazione,triennale,L-20,communication_media,homepage_to_course,https://www.unipd.it/,https://www.unipd.it/corsi-di-laurea,https://www.unipd.it/corsi-di-laurea/comunicazione,www.unipd.it,www.unipd.it,www.unipd.it,unipd_nextjs,homepage > programmes_hub > course_page,homepage > site_search > course_page,1,44,0,,,,0,0,0,1,https://www.unipd.it/corsi-di-laurea,,,medium,manual_v1_complete,manual journey collected 2026-04-20 via JR0005; Unipd platform migrated to Next.js/React (confirmed post CR001); hub /offerta-didattica dead (308->homepage); new hub /corsi-di-laurea JS-only shell; new target confirmed live (SD0089); run_outcome=blocked_js
J004,UNI02,C004,Università degli Studi di Padova,Strategie di comunicazione,magistrale,LM-92,communication_media,homepage_to_course,https://www.unipd.it/,https://www.unipd.it/corsi-di-laurea,https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione,www.unipd.it,www.unipd.it,www.unipd.it,unipd_nextjs,homepage > programmes_hub > course_page,homepage > site_search > course_page,1,44,0,,,,0,0,0,1,https://www.unipd.it/corsi-di-laurea,,,medium,manual_v1_complete,manual journey collected 2026-04-20 via JR0006; same Unipd Next.js platform as J003; hub updated from dead /offerta-didattica to /corsi-di-laurea; target URL resolved 2026-04-21 as /corsi-di-laurea/strategie-di-comunicazione (SD0090); run_outcome=blocked_js
J005,UNI03,C005,Università degli Studi di Pisa,Discipline dello spettacolo e della comunicazione,triennale,L-3/L-20,communication_media_culture,homepage_to_course,https://www.unipi.it/,https://www.unipi.it/didattica,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l,www.unipi.it,www.unipi.it,www.unipi.it,unipi_course_site,homepage > programmes_hub > course_page,homepage > site_search > course_page,1,20,1,,,,1,0,0,1,https://www.unipi.it/?s=Discipline+dello+spettacolo+e+della+comunicazione,,,low,manual_v1_complete,manual journey collected 2026-04-07 via homepage search result; target resolves to canonical trailing-slash URL
J006,UNI03,C006,Università degli Studi di Pisa,"Comunicazione, Media, Tecnologie",magistrale,LM-92,communication_media,homepage_to_course,https://www.unipi.it/,https://www.unipi.it/didattica,https://www.unipi.it/didattica/corsi/lauree-magistrali/comunicazione-media-tecnologie-wcm-lm/,www.unipi.it,www.unipi.it,www.unipi.it,unipi_course_site,homepage > programmes_hub > course_page,homepage > site_search > course_page,1,21,1,,,,1,0,0,1,"https://www.unipi.it/?s=Comunicazione,+Media,+Tecnologie",,,low,manual_v1_complete,manual journey collected 2026-04-07 via homepage search result; target canonico aggiornato da storico path /lauree-triennali-ciclo-unico/
J007,UNI04,C007,Università degli Studi di Firenze,Scienze Umanistiche per la Comunicazione,triennale,L-20,communication_humanities,homepage_to_course,https://www.unifi.it/,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea,https://www.unifi.it/it/node/6520,www.unifi.it,www.unifi.it,www.unifi.it,unifi_course_site,homepage > programmes_hub > course_page,homepage > site_search > course_page,3,34,1,,,,1,0,0,3,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-triennali-e-ciclo-unico,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-triennali-e-ciclo-unico?field_system_value=Scienze+Umanistiche+per+la+Comunicazione,low,manual_v1_complete,manual journey collected 2026-04-21 via homepage > Corsi di laurea > triennali listing search; filtered official result uses alias /it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-triennali-e-a-ciclo-unico/scienze-umanistiche-la while the historical seed /it/node/6520 remains live
J008,UNI04,C008,Università degli Studi di Firenze,"Pratiche, linguaggi e culture della comunicazione",magistrale,LM-92,communication_humanities,homepage_to_course,https://www.unifi.it/,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,www.unifi.it,www.unifi.it,www.unifi.it,unifi_course_site,homepage > programmes_hub > course_page,homepage > site_search > course_page,3,34,1,,,,1,0,0,3,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali?field_system_value=Pratiche%2C+linguaggi+e+culture+della+comunicazione,low,manual_v1_complete,manual journey collected 2026-04-21 via homepage > Corsi di laurea > magistrali listing search; filtered listing returned the official ateneo course card directly
J009,UNI05,C009,Università degli Studi di Siena,Scienze della comunicazione,triennale,L-20,communication_media,homepage_to_course,https://www.unisi.it/,https://www.unisi.it/didattica,https://scienze-comunicazione.unisi.it/it,www.unisi.it,www.unisi.it,scienze-comunicazione.unisi.it,unisi_course_site,homepage > programmes_hub > course_page,homepage > site_search > course_page,4,36,1,,,,0,0,1,3,https://www.unisi.it/didattica,https://www.unisi.it/didattica/corsi-di-studio-2025-2026,https://www.unisi.it/ugov/degree/89917,low,manual_v1_complete,manual journey collected 2026-04-21 via homepage > Didattica > Corsi di studio 2025-2026 > U-GOV course sheet > dedicated course site CTA
J010,UNI05,C010,Università degli Studi di Siena,Strategie e tecniche della comunicazione,magistrale,LM-92,communication_media,homepage_to_course,https://www.unisi.it/,https://www.unisi.it/didattica,https://www.unisi.it/ugov/degree/82714,www.unisi.it,www.unisi.it,www.unisi.it,unisi_ugov_course_sheet,homepage > programmes_hub > course_page,homepage > site_search > course_page,3,30,1,,,,0,0,0,2,https://www.unisi.it/didattica,https://www.unisi.it/didattica/corsi-di-studio-2025-2026,,low,manual_v1_complete,manual journey collected 2026-04-21 via homepage > Didattica > Corsi di studio 2025-2026 > current U-GOV course sheet; target normalized same day from historical D003 /ugov/degree/22463 to active D615 /ugov/degree/82714 surfaced by annual listing
