lighthouse_result_id,source_document_id,crawl_run_id,university_id,sample_course_id,page_role,tested_url,final_url,analysis_scope,strategy,device_category,lighthouse_version,performance_score,accessibility_score,best_practices_score,seo_score,first_contentful_paint_ms,largest_contentful_paint_ms,total_blocking_time_ms,cumulative_layout_shift,speed_index_ms,measured_at,raw_json_path,notes
LH_HOME_UNI01,SD0001,CR034,UNI01,,university_homepage,https://www.unibo.it/,https://www.unibo.it/it,canonical_default,mobile,mobile,12.6.1,0.52,1,1,1,21385.70299070059,31241.237676215133,181,0,21385.70299070059,2026-04-23T13:57:30.141Z,artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI01/lhci_filesystem/www_unibo_it-it-2026_04_23_13_57_30.report.json,tranche1; final URL redirects from root to /it
LH_HOME_UNI02,SD0005,CR034,UNI02,,university_homepage,https://www.unipd.it/,https://www.unipd.it/,canonical_default,mobile,mobile,12.6.1,0.34,0.98,0.71,0.66,3008.389,6570.593999999996,2130.29,0.017693,11120.486248167543,2026-04-23T13:58:37.354Z,artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI02/lhci_filesystem/www_unipd_it--2026_04_23_13_58_37.report.json,tranche1; homepage snapshot
LH_HOME_UNI03,SD0009,CR034,UNI03,,university_homepage,https://www.unipi.it/,https://www.unipi.it/,canonical_default,mobile,mobile,12.6.1,0.58,0.84,0.93,0.92,4244.0038,6628.109800000001,126,0.001416,13103.55712973053,2026-04-23T13:59:38.037Z,artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI03/lhci_filesystem/www_unipi_it--2026_04_23_13_59_38.report.json,tranche2; homepage snapshot
LH_HOME_UNI04,SD0013,CR034,UNI04,,university_homepage,https://www.unifi.it/,https://www.unifi.it/it,canonical_default,mobile,mobile,12.6.1,0.44,1,1,1,1986.53,11133.529999999999,1341,0.018663,5635.683364742375,2026-04-23T14:01:39.165Z,artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI04/lhci_filesystem/www_unifi_it-it-2026_04_23_14_01_39.report.json,tranche2; final URL adds /it locale path
LH_HOME_UNI05,SD0017,CR034,UNI05,,university_homepage,https://www.unisi.it/,https://www.unisi.it/,canonical_default,mobile,mobile,12.6.1,0.6,0.83,1,0.83,1103.11,4494.416499999999,11,0.8101870000000003,2999.729263235281,2026-04-23T14:03:11.220Z,artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI05/lhci_filesystem/www_unisi_it--2026_04_23_14_03_11.report.json,tranche2; homepage snapshot
LH_HOME_UNI06,SD0022,CR034,UNI06,,university_homepage,https://www.unito.it/,https://www.unito.it/,canonical_default,mobile,mobile,12.6.1,0.66,0.93,0.96,1,2335.831,10167.105500000001,69,0,6536.356352613795,2026-04-23T14:03:53.509Z,artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI06/lhci_filesystem/www_unito_it--2026_04_23_14_03_53.report.json,tranche3; homepage snapshot
LH_HOME_UNI07,SD0026,CR034,UNI07,,university_homepage,https://unige.it/,https://unige.it/,canonical_default,mobile,mobile,12.6.1,0.53,0.88,1,0.92,6244.9925,17794.9925,207.4999999999991,0.072426,7859.852676769173,2026-04-23T14:04:40.075Z,artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI07/lhci_filesystem/unige_it--2026_04_23_14_04_40.report.json,tranche3; homepage snapshot
LH_HOME_UNI08,SD0030,CR034,UNI08,,university_homepage,https://www.unimib.it/,https://www.unimib.it/,canonical_default,mobile,mobile,12.6.1,0.53,0.96,0.96,0.92,3318.811,35257.811,338.5,0.020588,8545.561898218757,2026-04-23T14:06:21.004Z,artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI08/lhci_filesystem/www_unimib_it--2026_04_23_14_06_21.report.json,tranche3; homepage snapshot
LH_HOME_UNI09,SD0034,CR034,UNI09,,university_homepage,https://www.unimi.it/,https://www.unimi.it/it,canonical_default,mobile,mobile,12.6.1,0.63,0.96,0.93,1,3358.350000000001,10922.692500000001,129,0,5227.326068106999,2026-04-23T14:07:18.234Z,artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI09/lhci_filesystem/www_unimi_it-it-2026_04_23_14_07_18.report.json,tranche4; final URL redirects from root to /it
LH_HOME_UNI10,SD0038,CR034,UNI10,,university_homepage,https://www.uninsubria.it/,https://www.uninsubria.it/,canonical_default,mobile,mobile,12.6.1,0.61,0.98,0.96,0.85,1535.2915,101079.29149999999,107.5,0.100955,22759.780007722853,2026-04-23T14:07:43.277Z,artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI10/lhci_filesystem/www_uninsubria_it--2026_04_23_14_07_43.report.json,tranche4; homepage snapshot
