sample_course_id,course_name,university_name,storage_path,title_quality_score_heuristic,meta_description_quality_score_heuristic,heading_structure_score_heuristic,orientation_description_keyword,orientation_description_FINAL,orientation_requirements_keyword,orientation_requirements_FINAL,orientation_deadlines_keyword,orientation_deadlines_FINAL,orientation_fees_keyword,orientation_fees_FINAL,orientation_contacts_keyword,orientation_contacts_FINAL,orientation_multilingual_keyword,orientation_multilingual_FINAL,orientation_study_plan_keyword,orientation_study_plan_FINAL,orientation_careers_keyword,orientation_careers_FINAL,onsite_search_present,menu_clarity_score,reviewer_notes
C001,Scienze della comunicazione,Università degli Studi di Bologna,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0003.html,4,2,3,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,0_no_hit,0,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
C002,Semiotica,Università degli Studi di Bologna,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0004.html,3,0,3,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
C003,Comunicazione,Università degli Studi di Padova,artifacts/runs/CR015_2026-04-20_unipd_platform_normalization/SD0089.html,3,1,1,1_keyword_hit,1,1_keyword_hit,1,0_no_hit,0,1_keyword_hit,1,1_keyword_hit,1,0_no_hit,0,1_keyword_hit,1,0_no_hit,0,,,
C004,Strategie di comunicazione,Università degli Studi di Padova,artifacts/runs/CR017_2026-04-21_unipd_c004_resolution/SD0090.html,3,1,1,1_keyword_hit,1,1_keyword_hit,1,0_no_hit,0,1_keyword_hit,1,1_keyword_hit,1,0_no_hit,0,1_keyword_hit,1,0_no_hit,0,,,
C005,Discipline dello spettacolo e della comunicazione,Università degli Studi di Pisa,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0011.html,2,0,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
C006,"Comunicazione, Media, Tecnologie",Università degli Studi di Pisa,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0012.html,2,0,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
C007,Scienze Umanistiche per la Comunicazione,Università degli Studi di Firenze,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0015.html,3,0,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
C008,"Pratiche, linguaggi e culture della comunicazione",Università degli Studi di Firenze,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0016.html,3,0,2,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
C009,Scienze della comunicazione,Università degli Studi di Siena,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0019.html,2,0,2,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
C010,Strategie e tecniche della comunicazione,Università degli Studi di Siena,artifacts/runs/CR019_2026-04-21_unisi_c010_normalization/SD0091.html,3,0,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
C011,Scienze della comunicazione,Università degli Studi di Torino,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0024.html,3,0,3,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,0_no_hit,0,1_keyword_hit,1,1_keyword_hit,1,,,
C012,Comunicazione e culture dei media,Università degli Studi di Torino,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0025.html,3,0,3,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
C013,"Media, comunicazione e società",Università degli Studi di Genova,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0028.html,4,0,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
C014,Digital Humanities - Interactive systems and digital media,Università degli Studi di Genova,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0029.html,4,0,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
C015,Comunicazione interculturale,Università degli Studi di Milano-Bicocca,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0032.html,3,0,2,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,1_keyword_hit,1,,,
