crawl_run_id,serp_observation_id,course_id,university_id,source_document_id,query_template_id,query_type,query_string,search_engine,search_interface,hl,gl,browser_mode,login_status,device_profile,viewport_width,observed_at,max_organic_depth,max_organic_depth_observed,target_found,target_found_top10,target_found_top20,target_rank_organic,target_rank_absolute,target_result_title,target_result_url,target_match_type,canonical_course_url,serp_features_observed,ads_observed,evidence_capture_path,notes
CR035,SOBS0001,C001,UNI01,[to_be_filled],SQ01,known_institution,"""Scienze della comunicazione"" ""Università degli Studi di Bologna""",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-05T14:44:00+02:00,10,20,false,false,false,,,,,not_found,https://corsi.unibo.it/laurea/ScienzeComunicazione,,false,artifacts/runs/SERP_pilot_001/serp/SERP_pilot_001_r001_top10.png,
CR035,SOBS0002,C001,UNI01,[to_be_filled],SQ02,user_like_institutional,Scienze della comunicazione Unibo,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-05T14:41:00+02:00,10,10,true,true,,1,1,Scienze della comunicazione - Laurea - Bologna,https://corsi.unibo.it/laurea/ScienzeComunicazione,canonical_exact,https://corsi.unibo.it/laurea/ScienzeComunicazione,knowledge_panel,false,artifacts/runs/SERP_pilot_001/serp/SERP_pilot_001_r002_top10.png,
CR035,SOBS0003,C001,UNI01,[to_be_filled],SQ03,information_seeking,Scienze della comunicazione triennale Bologna,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-05T14:48:00+02:00,10,10,true,true,,1,1,Scienze della comunicazione - Laurea - Bologna,https://corsi.unibo.it/laurea/ScienzeComunicazione,canonical_exact,https://corsi.unibo.it/laurea/ScienzeComunicazione,,true,artifacts/runs/SERP_pilot_001/serp/SERP_pilot_001_r003_top10.png,
CR035,SOBS0004,C012,UNI06,[to_be_filled],SQ01,known_institution,"""Comunicazione e culture dei media"" ""Università degli Studi di Torino""",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-05T14:52:00+02:00,10,10,true,true,,1,1,Corso di laurea magistrale in Comunicazione e ... - UniTo,https://media.campusnet.unito.it/,official_equivalent,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/comunicazione-e-culture-dei-media,ai_overview,false,artifacts/runs/SERP_pilot_001/serp/SERP_pilot_001_r004_top10.png,
CR035,SOBS0005,C012,UNI06,[to_be_filled],SQ02,user_like_institutional,Comunicazione e culture dei media UniTo,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-05T15:00:00+02:00,10,10,true,true,,1,1,Corso di laurea magistrale in Comunicazione e Culture dei ...,https://media.campusnet.unito.it/,official_equivalent,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/comunicazione-e-culture-dei-media,,false,artifacts/runs/SERP_pilot_001/serp/SERP_pilot_001_r005_top10.png,URL target compare come secondo risultato. In questo caso ignorato perché il primo risultato è equivalente
CR035,SOBS0006,C012,UNI06,[to_be_filled],SQ03,information_seeking,Comunicazione e culture dei media magistrale Torino,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-05T15:04:00+02:00,10,10,true,true,,1,1,Corso di laurea magistrale in Comunicazione e Culture dei …,https://media.campusnet.unito.it/,official_equivalent,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/comunicazione-e-culture-dei-media,,false,artifacts/runs/SERP_pilot_001/serp/SERP_pilot_001_r006_top10.png,URL target compare come secondo risultato. In questo caso ignorato perché il primo risultato è equivalente
CR035,SOBS0007,C035,UNI18,[to_be_filled],SQ01,known_institution,"""Culture digitali e della comunicazione"" ""Università degli Studi di Napoli Federico II""",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-05T15:07:00+02:00,10,10,true,true,,1,1,Culture digitali e della comunicazione,https://www.scienzesociali.unina.it/didattica/corsi-di-laurea/lauree-triennali/1484558-culture-digitali-e-della-comunicazione,official_equivalent,https://www.corsi.unina.it/D27/home,ai_overview,false,artifacts/runs/SERP_pilot_001/serp/SERP_pilot_001_r007_top10.png,
CR035,SOBS0008,C035,UNI18,[to_be_filled],SQ02,user_like_institutional,Culture digitali e della comunicazione Unina,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-05T15:11:00+02:00,10,10,true,true,,1,1,Culture digitali e della comunicazione,https://www.scienzesociali.unina.it/didattica/corsi-di-laurea/lauree-triennali/1484558-culture-digitali-e-della-comunicazione,official_equivalent,https://www.corsi.unina.it/D27/home,,false,artifacts/runs/SERP_pilot_001/serp/SERP_pilot_001_r008_top10.png,"No URL target ma ci sono tre URL di tre siti diversi, ma tutti equivalenti al target: Dipartimento di Scienze Scoiali, Unina e Orientamento Unina. Ciauscuna URL punta a tre pagine completamente diverse per layout ma equivalente per informazioni fornite."
CR035,SOBS0009,C035,UNI18,[to_be_filled],SQ03,information_seeking,Culture digitali e della comunicazione triennale Napoli,Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-05T15:16:00+02:00,10,10,true,true,,1,1,Culture digitali e della comunicazione,https://www.scienzesociali.unina.it/didattica/corsi-di-laurea/lauree-triennali/1484558-culture-digitali-e-della-comunicazione,official_equivalent,https://www.corsi.unina.it/D27/home,ai_overview,false,artifacts/runs/SERP_pilot_001/serp/SERP_pilot_001_r009_top10.png,"No URL target ma ci sono tre URL di tre siti diversi, ma tutti equivalenti al target: Dipartimento di Scienze Scoiali, Unina e Orientamento Unina. Ciauscuna URL punta a tre pagine completamente diverse per layout ma equivalente per informazioni fornite."
CR036,SOBS0010,C002,UNI01,[to_be_filled],SQ01,known_institution,"""Semiotica"" ""Università degli Studi di Bologna""",Google,google.it,it,IT,incognito,logged_out,desktop,1440,2026-05-06T11:27:00+02:00,10,20,false,false,false,,,,,not_found,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,ai_overview,false,artifacts/runs/SERP_B001/serp/SERP_B001_r001_top10.png,Con il nome esatto trova AlmaLaurea e non il sito ufficiale
