crawl_run_id,serp_observation_id,course_id,university_id,query_template_id,query_type,query_string,organic_rank,absolute_rank,result_title,result_url,result_domain,snippet,is_official_university_domain,matches_target_course,match_type,evidence_capture_path,notes
CR035,SOBS0002,C001,UNI01,SQ02,user_like_institutional,Scienze della comunicazione Unibo,1,1,Scienze della comunicazione - Laurea - Bologna,https://corsi.unibo.it/laurea/ScienzeComunicazione,corsi.unibo.it,"Il Corso forma nelle aree della pubblicità, pubbliche relazioni, vendita e distribuzione, organizzazione di fiere convegni e eventi culturali, nuovi media e ...",true,true,canonical_exact,artifacts/runs/SERP_pilot_001/serp/SERP_pilot_001_r002_top10.png,partial_long_layer_primary_match_only
CR035,SOBS0003,C001,UNI01,SQ03,information_seeking,Scienze della comunicazione triennale Bologna,1,1,Scienze della comunicazione - Laurea - Bologna,https://corsi.unibo.it/laurea/ScienzeComunicazione,corsi.unibo.it,"Il Corso forma nelle aree della pubblicità, pubbliche relazioni, vendita e distribuzione, organizzazione di fiere convegni e eventi culturali, nuovi media e ...",true,true,canonical_exact,artifacts/runs/SERP_pilot_001/serp/SERP_pilot_001_r003_top10.png,partial_long_layer_primary_match_only; sponsored block visible above organic result
CR035,SOBS0004,C012,UNI06,SQ01,known_institution,"""Comunicazione e culture dei media"" ""Università degli Studi di Torino""",1,1,Corso di laurea magistrale in Comunicazione e ... - UniTo,https://media.campusnet.unito.it/,media.campusnet.unito.it,Corso di Laurea in Comunicazione e Culture dei media. Tipo di laurea ... Social Media di Ateneo. Riferimenti e contatti. Università degli studi di Torino.,true,true,official_equivalent,artifacts/runs/SERP_pilot_001/serp/SERP_pilot_001_r004_top10.png,partial_long_layer_primary_match_only; AI overview visible below result
CR035,SOBS0005,C012,UNI06,SQ02,user_like_institutional,Comunicazione e culture dei media UniTo,1,1,Corso di laurea magistrale in Comunicazione e Culture dei ...,https://media.campusnet.unito.it/,media.campusnet.unito.it,Social Media di Ateneo. Riferimenti e contatti. Università degli studi di Torino. Via Verdi 8 - 10124 Torino.,true,true,official_equivalent,artifacts/runs/SERP_pilot_001/serp/SERP_pilot_001_r005_top10.png,partial_long_layer_primary_match_only; canonical URL visible as lower result but not transcribed as separate row
CR035,SOBS0006,C012,UNI06,SQ03,information_seeking,Comunicazione e culture dei media magistrale Torino,1,1,Corso di laurea magistrale in Comunicazione e Culture dei ...,https://media.campusnet.unito.it/,media.campusnet.unito.it,Denominazione: Corso di Laurea in Comunicazione e Culture dei media; Tipo di laurea: magistrale; Tipo di accesso: accesso non programmato...,true,true,official_equivalent,artifacts/runs/SERP_pilot_001/serp/SERP_pilot_001_r006_top10.png,partial_long_layer_primary_match_only; additional official and third-party results visible but not exhaustively transcribed
CR035,SOBS0007,C035,UNI18,SQ01,known_institution,"""Culture digitali e della comunicazione"" ""Università degli Studi di Napoli Federico II""",1,1,Culture digitali e della comunicazione,https://www.scienzesociali.unina.it/didattica/corsi-di-laurea/lauree-triennali/1484558-culture-digitali-e-della-comunicazione,www.scienzesociali.unina.it,Culture digitali e della comunicazione. Presentazione del Corso di Laurea ... Dipartimento di Scienze Sociali - Università degli Studi di Napoli Federico II ...,true,true,official_equivalent,artifacts/runs/SERP_pilot_001/serp/SERP_pilot_001_r007_top10.png,partial_long_layer_primary_match_only; AI overview visible below result
CR035,SOBS0008,C035,UNI18,SQ02,user_like_institutional,Culture digitali e della comunicazione Unina,1,1,Culture digitali e della comunicazione,https://www.scienzesociali.unina.it/didattica/corsi-di-laurea/lauree-triennali/1484558-culture-digitali-e-della-comunicazione,www.scienzesociali.unina.it,Culture digitali e della comunicazione. Classe di Laurea: L-40 Sociologia; Tipo di corso: Triennale; Area didattica: Sociologia; Scuola: Scuola delle Scienze ...,true,true,official_equivalent,artifacts/runs/SERP_pilot_001/serp/SERP_pilot_001_r008_top10.png,partial_long_layer_primary_match_only; additional Unina and Orientamento Unina equivalent results visible but not transcribed
CR035,SOBS0009,C035,UNI18,SQ03,information_seeking,Culture digitali e della comunicazione triennale Napoli,1,1,Culture digitali e della comunicazione,https://www.scienzesociali.unina.it/didattica/corsi-di-laurea/lauree-triennali/1484558-culture-digitali-e-della-comunicazione,www.scienzesociali.unina.it,Il percorso formativo dei laureati in Culture Digitali e della Comunicazione dura tre anni e prevede l'acquisizione di un totale di 180 CFU. Il Piano di Studi ...,true,true,official_equivalent,artifacts/runs/SERP_pilot_001/serp/SERP_pilot_001_r009_top10.png,partial_long_layer_primary_match_only; AI overview visible below result
CR036,SOBS0011,C002,UNI01,SQ02,user_like_institutional,Semiotica Unibo,1,1,Semiotica - Laurea Magistrale - Bologna,https://corsi.unibo.it/magistrale/semiotica,corsi.unibo.it,"Il Corso forma la figura di specialista in pubbliche relazioni e cura dell'immagine, redattore di testi per la pubblicità, redattore di testi per i media ...",true,true,official_equivalent,artifacts/runs/SERP_B001/serp/SERP_B001_r002_top10.png,partial_long_layer_primary_match_only; primi risultati Unibo ripetuti nella schermata
CR036,SOBS0012,C002,UNI01,SQ03,information_seeking,Semiotica magistrale Bologna,1,1,Semiotica - Laurea Magistrale - Bologna,https://corsi.unibo.it/magistrale/semiotica,corsi.unibo.it,"Il Corso forma la figura di specialista in pubbliche relazioni e cura dell'immagine, redattore di testi per la pubblicità, redattore di testi per i media ...",true,true,official_equivalent,artifacts/runs/SERP_B001/serp/SERP_B001_r003_top10.png,partial_long_layer_primary_match_only; risultati Unibo e AlmaLaurea ripetuti nella schermata
CR036,SOBS0013,C003,UNI02,SQ01,known_institution,"""Comunicazione"" ""Università degli Studi di Padova""",1,1,Corso: CORSO DI LAUREA TRIENNALE IN COMUNICAZIONE,https://ssu.elearning.unipd.it/course/view.php?id=17085,ssu.elearning.unipd.it,Corso di Laurea in Comunicazione. Minimizza tutto Espandi tutto. Seleziona ... Digital Learning e Multimedia - ASIT - Università degli Studi di Padova.,true,true,official_equivalent,artifacts/runs/SERP_B001/serp/SERP_B001_r004_top10.png,partial_long_layer_primary_match_only; AI overview visible above result; pagina Moodle del corso
CR036,SOBS0014,C003,UNI02,SQ02,user_like_institutional,Comunicazione Unipd,1,1,Corso: CORSO DI LAUREA TRIENNALE IN COMUNICAZIONE,https://ssu.elearning.unipd.it/course/view.php?id=17085,ssu.elearning.unipd.it,Benvenuti/e alla pagina informativa dedicata agli/ille STUDENTI/ESSE del Corso di laurea in Comunicazione. A seguire le informazioni utili su ORARI E LEZIONI ...,true,true,official_equivalent,artifacts/runs/SERP_B001/serp/SERP_B001_r005_top10.png,partial_long_layer_primary_match_only; pagina Instagram del corso visibile come secondo risultato
CR036,SOBS0015,C003,UNI02,SQ03,information_seeking,Comunicazione triennale Padova,1,1,Corso: CORSO DI LAUREA TRIENNALE IN COMUNICAZIONE,https://ssu.elearning.unipd.it/course/view.php?id=17085,ssu.elearning.unipd.it,Benvenuti/e alla pagina informativa dedicata agli/ille STUDENTI/ESSE del Corso di laurea in Comunicazione. A seguire le informazioni utili su ORARI E LEZIONI ...,true,true,official_equivalent,artifacts/runs/SERP_B001/serp/SERP_B001_r006_top10.png,partial_long_layer_primary_match_only
CR036,SOBS0016,C004,UNI02,SQ01,known_institution,"""Strategie di comunicazione"" ""Università degli Studi di Padova""",1,1,CORSO DI LAUREA MAGISTRALE IN STRATEGIE DI ...,https://ssu.elearning.unipd.it/course/view.php?id=14893,ssu.elearning.unipd.it,CORSO DI LAUREA MAGISTRALE IN STRATEGIE DI COMUNICAZIONE - HOME PAGE 2023/24 ... Digital Learning e Multimedia - ASIT - Università degli Studi di Padova.,true,true,official_equivalent,artifacts/runs/SERP_B001/serp/SERP_B001_r007_top10.png,partial_long_layer_primary_match_only; AI overview visible below result; pagina Moodle del corso
CR036,SOBS0017,C004,UNI02,SQ02,user_like_institutional,Strategie di comunicazione Unipd,1,1,CORSO DI LAUREA MAGISTRALE IN STRATEGIE DI ...,https://ssu.elearning.unipd.it/course/view.php?id=14893,ssu.elearning.unipd.it,CORSO DI LAUREA MAGISTRALE IN STRATEGIE DI COMUNICAZIONE - HOME PAGE 2025/26 ...,true,true,official_equivalent,artifacts/runs/SERP_B001/serp/SERP_B001_r008_top10.png,partial_long_layer_primary_match_only; risultati Moodle ripetuti nella schermata
CR036,SOBS0018,C004,UNI02,SQ03,information_seeking,Strategie di comunicazione magistrale Padova,2,2,CORSO DI LAUREA MAGISTRALE IN STRATEGIE DI ...,https://ssu.elearning.unipd.it/course/view.php?id=14893,ssu.elearning.unipd.it,Il corso di Strategie di Comunicazione prevede 3 differenti stage -STAGE 1: Stage da 6 CFU (150 ore): obbligatorio. -STAGE 2 e 3: stage da 3 CFU (75 ore) ...,true,true,official_equivalent,artifacts/runs/SERP_B001/serp/SERP_B001_r009_top10.png,partial_long_layer_primary_match_only; risultato Unipd visibile a organic rank 1 ma non trascritto come match primario
CR036,SOBS0020,C005,UNI03,SQ02,user_like_institutional,Discipline dello spettacolo e della comunicazione UniPi,1,1,Discipline dello Spettacolo e della Comunicazione,https://www.cfs.unipi.it/orientamento-e-didattica/corsi-di-laurea-triennale/discipline-dello-spettacolo-e-della-comunicazione/,www.cfs.unipi.it,Discipline dello Spettacolo e della Comunicazione · Visioni del Sapere: Il Corso di Laurea triennale in Discipline dello Spettacolo e della Comunicazione · News.,true,true,official_equivalent,artifacts/runs/SERP_B001/serp/SERP_B001_r011_top10.png,partial_long_layer_primary_match_only; Course Catalogue UNIPI visibile come secondo risultato equivalente
CR036,SOBS0021,C005,UNI03,SQ03,information_seeking,Discipline dello spettacolo e della comunicazione triennale Pisa,1,1,Discipline dello Spettacolo e della Comunicazione,https://www.cfs.unipi.it/orientamento-e-didattica/corsi-di-laurea-triennale/discipline-dello-spettacolo-e-della-comunicazione/,www.cfs.unipi.it,Discipline dello Spettacolo e della Comunicazione · Visioni del Sapere: Il Corso di Laurea triennale in Discipline dello Spettacolo e della Comunicazione · News.,true,true,official_equivalent,artifacts/runs/SERP_B001/serp/SERP_B001_r012_top10.png,partial_long_layer_primary_match_only; AI overview visible above result
CR036,SOBS0023,C006,UNI03,SQ02,user_like_institutional,"Comunicazione, Media, Tecnologie UniPi",1,1,"Comunicazione, Media, Tecnologie",https://www.cfs.unipi.it/orientamento-e-didattica/corsi-di-laurea-magistrale/comunicazione-media-tecnologie/,www.cfs.unipi.it,"Con la laurea magistrale in Comunicazione Media e Tecnologie, impari a conoscere e gestire le trasformazioni legate al digitale nei media.",true,true,official_equivalent,artifacts/runs/SERP_B001/serp/SERP_B001_r014_top10.png,partial_long_layer_primary_match_only; Course Catalogue UNIPI visibile come secondo risultato equivalente
CR036,SOBS0024,C006,UNI03,SQ03,information_seeking,"Comunicazione, Media, Tecnologie magistrale Pisa",1,1,"Comunicazione, Media, Tecnologie",https://www.cfs.unipi.it/orientamento-e-didattica/corsi-di-laurea-magistrale/comunicazione-media-tecnologie/,www.cfs.unipi.it,"Con la laurea magistrale in Comunicazione Media e Tecnologie, impari a conoscere e gestire le trasformazioni legate al digitale nei media.",true,true,official_equivalent,artifacts/runs/SERP_B001/serp/SERP_B001_r015_top10.png,partial_long_layer_primary_match_only; AI overview visible below result
CR037,SOBS0025,C007,UNI04,SQ01,known_institution,"""Scienze Umanistiche per la Comunicazione"" ""Università degli Studi di Firenze""",1,1,[B316] SCIENZE UMANISTICHE PER LA COMUNICAZIONE,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-triennali-e-a-ciclo-unico/scienze-umanistiche-la,www.unifi.it,"SCIENZE UMANISTICHE PER LA COMUNICAZIONE. Sito del corso · Home · Studia con noi ... Università degli Studi di Firenze. P.zza S.Marco, 4 - 50121 Firenze",true,true,official_equivalent,artifacts/runs/SERP_B002/serp/SERP_B002_r001_top10.png,partial_long_layer_primary_match_only; AI overview visible below result; primi tre risultati ufficiali equivalenti visibili
CR037,SOBS0026,C007,UNI04,SQ02,user_like_institutional,Scienze Umanistiche per la Comunicazione UniFi,1,1,[B316] SCIENZE UMANISTICHE PER LA COMUNICAZIONE,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-triennali-e-a-ciclo-unico/scienze-umanistiche-la,www.unifi.it,SCIENZE UMANISTICHE PER LA COMUNICAZIONE ; Tipologia di accesso. Libero ; Durata. 3 anni ; Crediti. 180 ; Sede. FIRENZE ; Struttura. Lettere e Filosofia.,true,true,official_equivalent,artifacts/runs/SERP_B002/serp/SERP_B002_r002_top10.png,partial_long_layer_primary_match_only; people also ask visible below second equivalent result
