source_document_id,crawl_run_id,university_id,sample_course_id,journey_id,parent_source_document_id,url,url_norm,host,domain_family,path,source_kind,page_role,doc_type_guess,discovery_depth,discovery_score,anchor_text,fetch_status,http_status,content_type,final_url,title,storage_path,content_sha256,file_ext,fetched_at,render_mode,error_message,notes
SD0001,CR001,UNI01,,,,https://www.unibo.it/,https://www.unibo.it/it,www.unibo.it,unibo.it,/it,master_reference,university_homepage,html,0,10,,fetched,200,text/html;charset=utf-8,https://www.unibo.it/it,Università di Bologna,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0001.html,60d8167ac384910c0bd42e43a7ece50330c1a98536b204c353148c71ea73bf94,.html,2026-04-03T16:51:46+02:00,raw_http,,tranche1; final URL redirects from root to /it
SD0002,CR001,UNI01,,,SD0001,https://www.unibo.it/it/studiare,https://www.unibo.it/it/studiare,www.unibo.it,unibo.it,/it/studiare,master_reference,programmes_hub,html,0,10,,fetched,200,text/html;charset=utf-8,https://www.unibo.it/it/studiare,Studiare — Università di Bologna,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0002.html,19c492d3d10ab3090c0ee4226dd07888bb05a737546edef60291a2d509d1a497,.html,2026-04-03T16:51:47+02:00,raw_http,,tranche1; master programmes hub snapshot
SD0003,CR001,UNI01,C001,J001,SD0002,https://corsi.unibo.it/laurea/ScienzeComunicazione,https://corsi.unibo.it/laurea/ScienzeComunicazione,corsi.unibo.it,unibo.it,/laurea/ScienzeComunicazione,course_seed,course_page,html,0,10,,fetched,200,text/html;charset=utf-8,https://corsi.unibo.it/laurea/ScienzeComunicazione,Scienze della comunicazione - Laurea - Bologna,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0003.html,4dc44b7961c878c65716cea635c99df58d0c592e9a2e9e0e5f9e5cfb171318ff,.html,2026-04-03T16:51:47+02:00,raw_http,,tranche1; official course portal
SD0004,CR001,UNI01,C002,J002,SD0002,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,www.unibo.it,unibo.it,/it/studiare/lauree-magistrali/corso/2025/6824,course_seed,course_page,html,0,10,,fetched,200,text/html;charset=utf-8,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,Semiotica — Università di Bologna,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0004.html,d07fd8715959dccc3d83fb716b5666043df05de968e40822e4e89084cf88df3f,.html,2026-04-03T16:51:48+02:00,raw_http,,tranche1; official ateneo course card
SD0005,CR001,UNI02,,,,https://www.unipd.it/,https://www.unipd.it/,www.unipd.it,unipd.it,/,master_reference,university_homepage,html,0,10,,fetched,200,text/html; charset=utf-8,https://www.unipd.it/,Università di Padova,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0005.html,7291323a40a3e08328065046cc4cc8bdf9e3c44b1252c92a91e726ae54681706,.html,2026-04-03T16:51:48+02:00,raw_http,,tranche1; homepage snapshot
SD0006,CR001,UNI02,,,SD0005,https://www.unipd.it/offerta-didattica,https://www.unipd.it/corsi,www.unipd.it,unipd.it,/corsi,master_reference,programmes_hub,html,0,10,,fetched,200,text/html; charset=utf-8,https://www.unipd.it/corsi,Didattica | Università di Padova,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0006.html,0067e4cd8e48af22927e956fb1089612091b7d0d24942cd65eb03bd8be6c3ad6,.html,2026-04-03T16:51:48+02:00,raw_http,,tranche1; source URL redirects from /offerta-didattica to /corsi
SD0007,CR001,UNI02,C003,J003,SD0006,https://www.unipd.it/offerta-didattica/corsi-di-laurea/scienze-umane-sociali-e-del-patrimonio-culturale?cg=studi-umanistici-e-linguistici&key=SU3024&ordinamento=2025&scuola=SU&tipo=L,https://www.unipd.it/offerta-didattica/corsi-di-laurea/scienze-umane-sociali-e-del-patrimonio-culturale?cg=studi-umanistici-e-linguistici&key=SU3024&ordinamento=2025&scuola=SU&tipo=L,www.unipd.it,unipd.it,/offerta-didattica/corsi-di-laurea/scienze-umane-sociali-e-del-patrimonio-culturale,course_seed,course_page,html,0,10,,fetched,200,text/html; charset=utf-8,https://www.unipd.it/offerta-didattica/corsi-di-laurea/scienze-umane-sociali-e-del-patrimonio-culturale?cg=studi-umanistici-e-linguistici&key=SU3024&ordinamento=2025&scuola=SU&tipo=L,Comunicazione | Università di Padova,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0007.html,d25b4b2da028e62f062763c9bf386733e53acac5d7d450e3441e5913e462c1a0,.html,2026-04-03T16:51:51+02:00,raw_http,,tranche1; raw HTML exposes title but no h1 or meta description
SD0008,CR001,UNI02,C004,J004,SD0006,https://www.unipd.it/offerta-didattica/corsi-di-laurea-magistrale/corsi-di-laurea-magistrale/scienze-umane-sociali-e-del-patrimonio-culturale?key=IF0315&ordinamento=2023&scuola=SU&tipo=LM,https://www.unipd.it/offerta-didattica/corsi-di-laurea-magistrale/corsi-di-laurea-magistrale/scienze-umane-sociali-e-del-patrimonio-culturale?key=IF0315&ordinamento=2023&scuola=SU&tipo=LM,www.unipd.it,unipd.it,/offerta-didattica/corsi-di-laurea-magistrale/corsi-di-laurea-magistrale/scienze-umane-sociali-e-del-patrimonio-culturale,course_seed,course_page,html,0,10,,fetched,200,text/html; charset=utf-8,https://www.unipd.it/offerta-didattica/corsi-di-laurea-magistrale/corsi-di-laurea-magistrale/scienze-umane-sociali-e-del-patrimonio-culturale?key=IF0315&ordinamento=2023&scuola=SU&tipo=LM,| Università di Padova,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0008.html,61c9030f3ab98f0946daf2732d55b61b596764d13bc8e078c69fb6d26894fb3f,.html,2026-04-03T16:51:51+02:00,raw_http,,tranche1; raw HTML is sparse and should be revisited with rendered DOM in a later tranche
SD0009,CR002,UNI03,,,,https://www.unipi.it/,https://www.unipi.it/,www.unipi.it,unipi.it,/,master_reference,university_homepage,html,0,10,,fetched,200,text/html; charset=UTF-8,https://www.unipi.it/,Home ~ UNIPI,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0009.html,e6e3c0b73402a8f7f386abf3633034591064d770d34392c645c69820f4232623,.html,2026-04-03T16:56:39+02:00,raw_http,,tranche2; homepage snapshot
SD0010,CR002,UNI03,,,SD0009,https://www.unipi.it/didattica,https://www.unipi.it/didattica/,www.unipi.it,unipi.it,/didattica/,master_reference,programmes_hub,html,0,10,,fetched,200,text/html; charset=UTF-8,https://www.unipi.it/didattica/,Didattica ~ UNIPI,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0010.html,3a155e21a3c4f8d09aba23d72a1fc4752c7a77e8b72716d19a32d3068b2a2395,.html,2026-04-03T16:56:41+02:00,raw_http,,tranche2; programmes hub snapshot
SD0011,CR002,UNI03,C005,J005,SD0010,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l/,www.unipi.it,unipi.it,/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l/,course_seed,course_page,html,0,10,,fetched,200,text/html; charset=UTF-8,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l/,Discipline dello spettacolo e della comunicazione ~ UNIPI,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0011.html,d3e7723c529f62b48af96afd6e03ea75935533a66a18101e8f1560bb3d3c35d7,.html,2026-04-03T16:56:44+02:00,raw_http,,tranche2; official ateneo course page
SD0012,CR002,UNI03,C006,J006,SD0010,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/comunicazione-media-tecnologie-wcm-lm,https://www.unipi.it/didattica/corsi/lauree-magistrali/comunicazione-media-tecnologie-wcm-lm/,www.unipi.it,unipi.it,/didattica/corsi/lauree-magistrali/comunicazione-media-tecnologie-wcm-lm/,course_seed,course_page,html,0,10,,fetched,200,text/html; charset=UTF-8,https://www.unipi.it/didattica/corsi/lauree-magistrali/comunicazione-media-tecnologie-wcm-lm/,"Comunicazione, media, tecnologie ~ UNIPI",artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0012.html,b0390c18afedc2b59f0a143251dbbb1801c08cf33e178ce12e24b6b7df6adcd3,.html,2026-04-03T16:56:46+02:00,raw_http,,tranche2; final URL normalized from master seed to the lauree-magistrali path
SD0013,CR002,UNI04,,,,https://www.unifi.it/,https://www.unifi.it/it,www.unifi.it,unifi.it,/it,master_reference,university_homepage,html,0,10,,fetched,200,text/html; charset=UTF-8,https://www.unifi.it:443/it,Università di Firenze,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0013.html,265757997fac670c67491adacbc90f8a0a764eccc0a65abd1147e9b532caae34,.html,2026-04-03T16:56:47+02:00,raw_http,,tranche2; final URL adds /it locale path
SD0014,CR002,UNI04,,,SD0013,https://www.unifi.it/it/studiare,https://www.unifi.it/it/studiare,www.unifi.it,unifi.it,/it/studiare,master_reference,programmes_hub,html,0,10,,http_error,404,text/html; charset=UTF-8,https://www.unifi.it/it/studiare,Pagina non trovata | Università di Firenze,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0014.html,e6e4c66ca8fcd34b114615083b7ac8801c3a0519ced61b0701822ba4ce636bc1,.html,2026-04-03T16:56:48+02:00,raw_http,master programmes_hub_url returned HTTP 404,"tranche2; observed 404 on master programmes_hub_url, follow-up needed before journey collection"
SD0015,CR002,UNI04,C007,J007,SD0021,https://www.unifi.it/it/node/6520,https://www.unifi.it/it/node/6520,www.unifi.it,unifi.it,/it/node/6520,course_seed,course_page,html,0,10,,fetched,200,text/html; charset=UTF-8,https://www.unifi.it/it/node/6520,Scienze Umanistiche per la Comunicazione | Università di Firenze,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0015.html,efee1bc9df64128ea5f7d094576524267e058fac6391ace0c5b5a0b3d38b1306,.html,2026-04-03T16:56:50+02:00,raw_http,,tranche2; collected before hub normalization; parent relinked to normalized programmes hub SD0021 in CR003
SD0016,CR002,UNI04,C008,J008,SD0021,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,www.unifi.it,unifi.it,/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,course_seed,course_page,html,0,10,,fetched,200,text/html; charset=UTF-8,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,"[B385] PRATICHE, LINGUAGGI E CULTURE DELLA COMUNICAZIONE | Università di Firenze",artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0016.html,47b53bedc7536d64c0ebc943cea84154229e6b8f03bb862f2c1d29158828587b,.html,2026-04-03T16:56:50+02:00,raw_http,,tranche2; collected before hub normalization; parent relinked to normalized programmes hub SD0021 in CR003
SD0017,CR002,UNI05,,,,https://www.unisi.it/,https://www.unisi.it/,www.unisi.it,unisi.it,/,master_reference,university_homepage,html,0,10,,fetched,200,text/html;charset=utf-8,https://www.unisi.it/,Università degli Studi di Siena,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0017.html,560e4c79a90b0dbc9be386a7a34c74f57e849a746be7b2889793d0da4106629b,.html,2026-04-03T16:56:51+02:00,raw_http,,tranche2; homepage snapshot
SD0018,CR002,UNI05,,,SD0017,https://www.unisi.it/didattica,https://www.unisi.it/didattica,www.unisi.it,unisi.it,/didattica,master_reference,programmes_hub,html,0,10,,fetched,200,text/html;charset=utf-8,https://www.unisi.it/didattica,Didattica | Università degli Studi di Siena,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0018.html,4e1edae6f51d8bf3c5761fca09172ce5cbb4639db5f9b83141b535c872e9f9f6,.html,2026-04-03T16:56:51+02:00,raw_http,,tranche2; programmes hub snapshot
SD0019,CR002,UNI05,C009,J009,SD0018,https://scienze-comunicazione.unisi.it/it,https://scienze-comunicazione.unisi.it/it,scienze-comunicazione.unisi.it,unisi.it,/it,course_seed,course_page,html,0,10,,fetched,200,text/html;charset=utf-8,https://scienze-comunicazione.unisi.it/it,SCIENZE DELLA COMUNICAZIONE |,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0019.html,1b896e0a194100722f81565744fae5bf2ef388aa15085ccef25d0a35c0ffd62c,.html,2026-04-03T16:56:51+02:00,raw_http,,tranche2; dedicated course site surfaced from definitive master
SD0020,CR002,UNI05,C010,J010,SD0018,https://www.unisi.it/ugov/degree/22463,https://www.unisi.it/ugov/degree/22463,www.unisi.it,unisi.it,/ugov/degree/22463,course_seed,course_page,html,0,10,,fetched,200,text/html;charset=utf-8,https://www.unisi.it/ugov/degree/22463,[D003] STRATEGIE E TECNICHE DELLA COMUNICAZIONE | Università degli Studi di Siena,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0020.html,e9f92f8228aeddd424830605011a0fcc2bf5328cacd44c2a4c141d224bbf76d1,.html,2026-04-03T16:56:53+02:00,raw_http,,tranche2; official ateneo course sheet
