extraction_run_id,course_id,university_id,source_document_id,indicator_id,indicator_label,priority,observed,location_type,local_findability,evidence_text,evidence_url,evidence_selector,evidence_document_type,extraction_method,confidence,notes
STRUN_001,C001,UNI01,SD0003,course_title,Course title,essential,present,heading_or_summary,direct,Scienze della comunicazione - Laurea - Bologna,https://corsi.unibo.it/laurea/ScienzeComunicazione,title|h1,html,manual_confirmed,high,
STRUN_001,C001,UNI01,SD0003,degree_level,Degree level,essential,present,heading_or_summary,direct,L-20 R - Scienze della comunicazione,https://corsi.unibo.it/laurea/ScienzeComunicazione,body,html,manual_review,high,"keyword found in page text without structural anchor | reviewer:auto ev=""l-"" = keyword FP. Real: structured detail card <strong>Classe di corso</strong> L-20 R in course summary."
STRUN_001,C001,UNI01,SD0003,academic_year,Academic year or edition,essential,present,heading_or_summary,direct,Bando Erasmus+ mobilità per tirocinio a.a. 2026/27,https://corsi.unibo.it/laurea/ScienzeComunicazione,h3,html,manual_confirmed,high,
STRUN_001,C001,UNI01,SD0003,language,Teaching language,essential,present,heading_or_summary,direct,Lingua Italiano,https://corsi.unibo.it/laurea/ScienzeComunicazione,strong@li,html,manual_confirmed,high,
STRUN_001,C001,UNI01,SD0003,location,Campus / city / location,essential,present,heading_or_summary,direct,Sede didattica: Bologna,https://corsi.unibo.it/laurea/ScienzeComunicazione,,,manual_review,high,reviewer:Auto missed. Real: <strong>Sede didattica</strong><span>Bologna</span> in structured detail list on course page.
STRUN_001,C001,UNI01,SD0003,study_plan,Study plan / piano di studi / curriculum / teachings,essential,present,heading_or_summary,direct,Insegnamenti Il piano didattico,https://corsi.unibo.it/laurea/ScienzeComunicazione,strong@li,html,manual_confirmed,high,
STRUN_001,C001,UNI01,SD0003,admission_requirements,Access requirements / admission requirements,essential,not_observed,not_observed,not_found,,,,,manual_confirmed,not_observed,
STRUN_001,C001,UNI01,SD0003,admission_procedure,Admission or enrolment procedure,essential,present,heading_or_summary,direct,Bando Erasmus+ mobilità per tirocinio a.a. 2026/27,https://corsi.unibo.it/laurea/ScienzeComunicazione,h3,html,manual_confirmed,high,
STRUN_001,C001,UNI01,SD0003,deadlines,Application / enrolment deadlines,essential,present,heading_or_summary,direct,"Borse di studio e agevolazioni Mi interessa se: Studio al primo anno, Studio dal secondo anno in poi Bando Erasmus+ mobilità per tirocinio a.a. 2026/27 Scadenza: 12 mag 2026, 13:00",https://corsi.unibo.it/laurea/ScienzeComunicazione,p@div,html,manual_confirmed,high,
STRUN_001,C001,UNI01,SD0003,contacts,Contact / tutor / orientation / course office,essential,present,linked_official_page,one_click,Contatti,https://corsi.unibo.it/laurea/ScienzeComunicazione/contatti,a,html,manual_confirmed,medium,
