course_id,university_id,source_document_id,target_url,page_role,extraction_run_id,extracted_at,render_mode,course_title_observed,degree_level_present,degree_level_location_type,degree_class_present,degree_class_location_type,cfu_present,cfu_location_type,duration_present,duration_location_type,academic_year_present,academic_year_location_type,location_present,location_location_type,language_present,language_location_type,study_plan_present,study_plan_location_type,admission_requirements_present,admission_requirements_location_type,admission_procedure_present,admission_procedure_location_type,deadlines_present,deadlines_location_type,fees_or_costs_present,fees_or_costs_location_type,career_outcomes_present,career_outcomes_location_type,contacts_present,contacts_location_type,official_regulation_present,official_regulation_location_type,quality_or_satisfaction_present,quality_or_satisfaction_location_type,accessibility_services_present,accessibility_services_location_type,overall_extraction_confidence,notes
C001,UNI01,SD0003,https://corsi.unibo.it/laurea/ScienzeComunicazione,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,raw_http,Scienze della comunicazione - Laurea - Bologna,present,heading_or_summary,present,ambiguous,not_observed,not_observed,not_observed,not_observed,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,not_observed,not_observed,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,linked_official_page,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,
C002,UNI01,SD0004,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,browser_rendered,Semiotica — Università di Bologna,present,heading_or_summary,present,heading_or_summary,not_observed,not_observed,not_observed,not_observed,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,not_observed,not_observed,present,heading_or_summary,present,heading_or_summary,present,linked_official_page,present,heading_or_summary,present,heading_or_summary,present,linked_official_page,present,linked_official_page,present,ambiguous,not_observed,
C003,UNI02,SD0089,https://www.unipd.it/corsi-di-laurea/comunicazione,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,browser_rendered,Università di Padova | Università di Padova,present,heading_or_summary,not_observed,not_observed,present,heading_or_summary,present,heading_or_summary,not_observed,not_observed,present,heading_or_summary,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,present,heading_or_summary,not_observed,not_observed,present,heading_or_summary,not_observed,not_observed,present,heading_or_summary,not_observed,not_observed,present,linked_official_page,present,ambiguous,not_observed,
C004,UNI02,SD0090,https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,browser_rendered,Università di Padova | Università di Padova,present,heading_or_summary,not_observed,not_observed,present,heading_or_summary,present,heading_or_summary,not_observed,not_observed,present,heading_or_summary,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,present,heading_or_summary,not_observed,not_observed,present,heading_or_summary,not_observed,not_observed,present,heading_or_summary,not_observed,not_observed,present,linked_official_page,present,ambiguous,not_observed,
C005,UNI03,SD0011,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,raw_http,Discipline dello spettacolo e della comunicazione ~ UNIPI,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,linked_official_page,present,heading_or_summary,present,heading_or_summary,present,linked_pdf,not_observed,not_observed,present,linked_official_page,not_observed,
C006,UNI03,SD0012,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/comunicazione-media-tecnologie-wcm-lm,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,raw_http,"Comunicazione, media, tecnologie ~ UNIPI",present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,not_observed,not_observed,not_observed,not_observed,present,linked_official_page,present,heading_or_summary,present,heading_or_summary,present,linked_pdf,not_observed,not_observed,present,linked_official_page,not_observed,
C007,UNI04,SD0015,https://www.unifi.it/it/node/6520,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,raw_http,Scienze Umanistiche per la Comunicazione | Università di Firenze,present,heading_or_summary,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,present,heading_or_summary,not_observed,not_observed,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,not_observed,not_observed,present,linked_official_page,not_observed,
C008,UNI04,SD0016,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,raw_http,"[B385] PRATICHE, LINGUAGGI E CULTURE DELLA COMUNICAZIONE | Università di Firenze",present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,linked_official_page,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,not_observed,not_observed,present,linked_official_page,not_observed,
C009,UNI05,SD0019,https://scienze-comunicazione.unisi.it/it,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,raw_http,SCIENZE DELLA COMUNICAZIONE |,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,not_observed,not_observed,present,linked_official_page,not_observed,not_observed,present,linked_official_page,present,linked_official_page,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,present,linked_official_page,present,linked_official_page,present,linked_official_page,not_observed,not_observed,not_observed,not_observed,not_observed,
C010,UNI05,SD0091,https://www.unisi.it/ugov/degree/82714,course_page,STRUN_001,2026-05-06T19:22:51.312391+00:00,raw_http,[D615] STRATEGIE E TECNICHE DELLA COMUNICAZIONE | Università degli Studi di Siena,present,heading_or_summary,present,ambiguous,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,heading_or_summary,present,linked_official_page,present,heading_or_summary,present,heading_or_summary,not_observed,not_observed,present,heading_or_summary,present,linked_official_page,present,heading_or_summary,present,ambiguous,not_observed,not_observed,present,linked_official_page,not_observed,
