crawl_run_id,target_id,category,item_id,item_description,item_count,selector_or_xpath_available,raw_json_path
WVRUN_pilot4,WV_COURSE_C002,alert,fieldset_missing,Missing fieldset,2,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,alert,legend_missing,Fieldset missing legend,3,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,alert,link_internal_broken,Broken same-page link,4,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,alert,accesskey,Accesskey,2,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,alert,title_redundant,Redundant title text,5,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,feature,alt_null,Null or empty alternative text,1,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,feature,alt_link,Linked image with alternative text,1,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,feature,label,Form label,10,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,feature,lang,Language,1,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,structure,h1,Heading level 1,2,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,structure,h2,Heading level 2,6,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,structure,h3,Heading level 3,13,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,structure,h4,Heading level 4,15,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,structure,ol,Ordered list,1,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,structure,ul,Unordered list,24,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,structure,header,Header,1,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,structure,nav,Navigation,5,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,structure,main,Main content,1,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,structure,footer,Footer,1,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,structure,aside,Aside,1,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,structure,region,Generic region,1,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,aria,aria,ARIA,38,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,aria,aria_label,ARIA label,23,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,aria,aria_tabindex,ARIA tabindex,9,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
WVRUN_pilot4,WV_COURSE_C002,aria,aria_live_region,ARIA alert or live region,1,True,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json
