crawl_run_id,target_id,source_document_id,page_role,requested_url,returned_pageurl,http_status,wave_success,tool_name,tool_mode,tool_version,reporttype,audit_date,viewport_policy,viewportwidth,useragent_profile,evaldelay_ms,pagetitle,aimscore,allitemcount,totalelements,error_count,contrast_count,alert_count,feature_count,structure_count,aria_count,raw_json_path,notes
WVRUN_pilot4,WV_HOME_UNI02,SD0005,university_homepage,https://www.unipd.it/,https://www.unipd.it/,200,True,WAVE WebAIM,api,,4,2026-04-24T09:41:19Z,desktop_1200,1200,wave_default,500,Università di Padova | Università di Padova,6.6,805,2267,3,17,57,114,107,507,wave/data/raw/WVRUN_pilot4/WV_HOME_UNI02.json,
WVRUN_pilot4,WV_COURSE_C002,SD0004,course_page,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,200,True,WAVE WebAIM,api,,4,2026-04-24T09:41:33Z,desktop_1200,1200,wave_default,500,Semiotica — Università di Bologna,9.6,234,732,0,0,16,13,71,134,wave/data/raw/WVRUN_pilot4/WV_COURSE_C002.json,
WVRUN_001,WV_HOME_UNI01,SD0001,university_homepage,https://www.unibo.it/it,https://www.unibo.it/it,200,True,WAVE WebAIM,api,,4,2026-04-24T09:43:06Z,desktop_1200,1200,wave_default,500,Università di Bologna,8.1,340,874,0,6,21,57,70,186,wave/data/raw/WVRUN_001/WV_HOME_UNI01.json,
WVRUN_001,WV_HOME_UNI03,SD0009,university_homepage,https://www.unipi.it/,https://www.unipi.it/,200,True,WAVE WebAIM,api,,4,2026-04-24T09:43:17Z,desktop_1200,1200,wave_default,500,Home ~ UNIPI,5.2,517,2865,35,5,46,19,117,295,wave/data/raw/WVRUN_001/WV_HOME_UNI03.json,
WVRUN_001,WV_HOME_UNI04,SD0013,university_homepage,https://www.unifi.it:443/it,https://www.unifi.it:443/it,200,True,WAVE WebAIM,api,,4,2026-04-24T09:43:32Z,desktop_1200,1200,wave_default,500,Università di Firenze,8.5,464,1648,0,3,164,30,78,189,wave/data/raw/WVRUN_001/WV_HOME_UNI04.json,
WVRUN_001,WV_HOME_UNI05,SD0017,university_homepage,https://www.unisi.it/,https://www.unisi.it/,200,True,WAVE WebAIM,api,,4,2026-04-24T09:43:41Z,desktop_1200,1200,wave_default,500,Università degli Studi di Siena,3.1,156,899,2,61,38,13,31,11,wave/data/raw/WVRUN_001/WV_HOME_UNI05.json,
WVRUN_001,WV_HOME_UNI06,SD0022,university_homepage,https://www.unito.it/,https://www.unito.it/,200,True,WAVE WebAIM,api,,4,2026-04-24T09:43:50Z,desktop_1200,1200,wave_default,500,L'Università di Torino,5,640,2272,1,34,81,59,101,364,wave/data/raw/WVRUN_001/WV_HOME_UNI06.json,
WVRUN_001,WV_HOME_UNI07,SD0026,university_homepage,https://unige.it/,https://unige.it/,200,True,WAVE WebAIM,api,,4,2026-04-24T09:43:59Z,desktop_1200,1200,wave_default,500,Università degli Studi di Genova | UniGe,2.6,738,1539,3,75,104,45,129,382,wave/data/raw/WVRUN_001/WV_HOME_UNI07.json,
WVRUN_001,WV_HOME_UNI08,SD0030,university_homepage,https://www.unimib.it/,https://www.unimib.it/,200,True,WAVE WebAIM,api,,4,2026-04-24T09:44:09Z,desktop_1200,1200,wave_default,500,Università degli Studi di Milano-Bicocca,7.2,190,1197,4,9,15,37,41,84,wave/data/raw/WVRUN_001/WV_HOME_UNI08.json,
WVRUN_001,WV_HOME_UNI09,SD0034,university_homepage,https://www.unimi.it/it,https://www.unimi.it/it,200,True,WAVE WebAIM,api,,4,2026-04-24T09:44:18Z,desktop_1200,1200,wave_default,500,home | Università degli Studi di Milano Statale,6.3,158,1160,1,21,22,35,56,23,wave/data/raw/WVRUN_001/WV_HOME_UNI09.json,
WVRUN_001,WV_HOME_UNI10,SD0038,university_homepage,https://www.uninsubria.it/,https://www.uninsubria.it/,200,True,WAVE WebAIM,api,,4,2026-04-24T09:44:27Z,desktop_1200,1200,wave_default,500,Home page | Università degli studi dell'Insubria,7.7,352,1276,6,1,134,49,60,102,wave/data/raw/WVRUN_001/WV_HOME_UNI10.json,
WVRUN_001,WV_HOME_UNI11,SD0042,university_homepage,https://www.unisa.it/,https://www.unisa.it/,200,True,WAVE WebAIM,api,,4,2026-04-24T09:44:35Z,desktop_1200,1200,wave_default,500,UNISA | Home,7.9,306,989,3,3,37,35,57,171,wave/data/raw/WVRUN_001/WV_HOME_UNI11.json,
WVRUN_001,WV_HOME_UNI12,SD0047,university_homepage,https://www.uniroma3.it/,https://www.uniroma3.it/,200,True,WAVE WebAIM,api,,4,2026-04-24T09:44:45Z,desktop_1200,1200,wave_default,500,Homepage - Università Roma Tre,5.4,712,1483,3,29,68,48,98,466,wave/data/raw/WVRUN_001/WV_HOME_UNI12.json,
WVRUN_001,WV_HOME_UNI13,SD0051,university_homepage,https://www.unipa.it/,https://www.unipa.it/,200,True,WAVE WebAIM,api,,4,2026-04-24T09:44:56Z,desktop_1200,1200,wave_default,500,Università degli Studi di Palermo,7,509,1430,11,3,230,149,87,29,wave/data/raw/WVRUN_001/WV_HOME_UNI13.json,
WVRUN_001,WV_HOME_UNI14,SD0055,university_homepage,https://www.unistrapg.it/,https://www.unistrapg.it/,200,True,WAVE WebAIM,api,,4,2026-04-24T09:45:06Z,desktop_1200,1200,wave_default,500,Università per Stranieri di Perugia | Ambasciatrice dell'Italia nel mondo,7.3,530,1876,0,9,35,55,111,320,wave/data/raw/WVRUN_001/WV_HOME_UNI14.json,
