sample_course_id,university_id,university_name,course_name,degree_type,course_class,disciplinary_cluster,selection_role,selection_priority,course_page_url,url_origin,normalization_status,selection_rationale,notes
C001,UNI01,Università degli Studi di Bologna,Scienze della comunicazione,triennale,L-20,communication_media,core_triennale,core,https://corsi.unibo.it/laurea/ScienzeComunicazione,official_search_apr2026,searched_seed,communication L-course paired with pilot magistrale,official course homepage
C002,UNI01,Università degli Studi di Bologna,Semiotica,magistrale,LM-92,communication_media,core_magistrale,core,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,official_search_apr2026,normalized_to_official_ateneo_card,pilot magistrale retained and normalized to ateneo card,official Unibo lauree magistrali card
C003,UNI02,Università degli Studi di Padova,Comunicazione,triennale,L-20,communication_media,core_triennale,core,https://www.unipd.it/corsi-di-laurea/comunicazione,official_search_apr2026,normalized_platform_migration,communication L-course paired with pilot magistrale,official course page; URL updated 2026-04-20 after Unipd platform migration to Next.js/React; old /offerta-didattica URL dead (308); new URL confirmed 200 as SD0089
C004,UNI02,Università degli Studi di Padova,Strategie di comunicazione,magistrale,LM-92,communication_media,core_magistrale,core,https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione,official_search_apr2026,normalized_platform_migration,pilot magistrale retained and normalized to ateneo course card,official course page; URL verified 2026-04-21 on current Next.js slug /corsi-di-laurea/strategie-di-comunicazione (SD0090); replaces dead pre-migration /offerta-didattica seed
C005,UNI03,Università degli Studi di Pisa,Discipline dello spettacolo e della comunicazione,triennale,L-3/L-20,communication_media_culture,core_triennale,core,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l,official_search_apr2026,searched_seed,communication adjacent triennale paired with pilot magistrale,interclass course
C006,UNI03,Università degli Studi di Pisa,"Comunicazione, Media, Tecnologie",magistrale,LM-92,communication_media,core_magistrale,core,https://www.unipi.it/didattica/corsi/lauree-magistrali/comunicazione-media-tecnologie-wcm-lm/,official_search_apr2026,normalized_to_official_ateneo_card,pilot magistrale retained and normalized to ateneo card,official UniPi didattica card; canonical lauree-magistrali path confirmed 2026-04-07
C007,UNI04,Università degli Studi di Firenze,Scienze Umanistiche per la Comunicazione,triennale,L-20,communication_humanities,core_triennale,core,https://www.unifi.it/it/node/6520,official_search_apr2026,searched_seed,communication L-course paired with pilot magistrale,ateneo course page
C008,UNI04,Università degli Studi di Firenze,"Pratiche, linguaggi e culture della comunicazione",magistrale,LM-92,communication_humanities,core_magistrale,core,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,official_search_apr2026,normalized_to_official_ateneo_card,pilot magistrale retained and normalized to ateneo card,official UniFi course card with link to dedicated site
C009,UNI05,Università degli Studi di Siena,Scienze della comunicazione,triennale,L-20,communication_media,core_triennale,core,https://scienze-comunicazione.unisi.it/it,official_search_apr2026,searched_seed,communication L-course paired with pilot magistrale,dedicated course site surfaced via official search
C010,UNI05,Università degli Studi di Siena,Strategie e tecniche della comunicazione,magistrale,LM-92,communication_media,core_magistrale,core,https://www.unisi.it/ugov/degree/82714,official_search_apr2026,normalized_to_current_active_course_sheet,pilot magistrale retained and normalized to current active UniSi course sheet,official UniSi course sheet; updated 2026-04-21 from historical D003 /ugov/degree/22463 to current D615 /ugov/degree/82714 surfaced by the 2025-2026 listing; historical sheet retained only in provenance
C011,UNI06,Università degli Studi di Torino,Scienze della comunicazione,triennale,L-20,communication_media,core_triennale,core,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/scienze-della-comunicazione,official_search_apr2026,searched_seed,communication L-course paired with pilot magistrale,official course card
C012,UNI06,Università degli Studi di Torino,Comunicazione e culture dei media,magistrale,LM-92,communication_media_culture,core_magistrale,core,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/comunicazione-e-culture-dei-media,official_search_apr2026,normalized_to_official_ateneo_card,pilot magistrale retained and normalized to ateneo card,official UniTo course card
C013,UNI07,Università degli Studi di Genova,"Media, comunicazione e società",triennale,L-20,communication_media,core_triennale,core,https://corsi.unige.it/corsi/11938,official_search_apr2026,normalized_to_current_active_course,current active communication L-course replacing archived seed,current active course; canonical /corsi/11938 confirmed live 2026-04-21; short /11938 retained only as redirect seed
C014,UNI07,Università degli Studi di Genova,Digital Humanities - Interactive systems and digital media,magistrale,LM-92,communication_digital_humanities,core_magistrale,core,https://corsi.unige.it/corsi/11945,official_search_apr2026,normalized_to_official_course_portal,pilot magistrale retained and normalized to canonical course portal root,official UniGe course portal; canonical /corsi/11945 confirmed live 2026-04-21; short /11945 retained only as redirect seed
C015,UNI08,Università degli Studi di Milano-Bicocca,Comunicazione interculturale,triennale,L-20,communication_intercultural,core_triennale,core,https://www.unimib.it/triennale/comunicazione-interculturale,official_search_apr2026,searched_seed,communication L-course paired with pilot magistrale,official course page
