university_id,university_name,short_name,macro_area,institution_type,city,university_homepage_url,programmes_hub_url,included_from_lm92_pilot,core_sampling_strategy,sample_status,notes
UNI01,Università degli Studi di Bologna,Unibo,Nord,statale,Bologna,https://www.unibo.it/,https://www.unibo.it/it/studiare,1,triennale_plus_magistrale_core_optional_cycle_unique,seeded,initial definitive sample
UNI02,Università degli Studi di Padova,Unipd,Nord,statale,Padova,https://www.unipd.it/,https://www.unipd.it/corsi-di-laurea,1,triennale_plus_magistrale_core_optional_cycle_unique,seeded,initial definitive sample
UNI03,Università degli Studi di Pisa,UniPi,Centro,statale,Pisa,https://www.unipi.it/,https://www.unipi.it/didattica,1,triennale_plus_magistrale_core_optional_cycle_unique,seeded,initial definitive sample
UNI04,Università degli Studi di Firenze,UniFi,Centro,statale,Firenze,https://www.unifi.it/,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea,1,triennale_plus_magistrale_core_optional_cycle_unique,seeded,initial definitive sample; programmes_hub_url normalized 2026-04-03 after live 404 on former /it/studiare URL
UNI05,Università degli Studi di Siena,UniSi,Centro,statale,Siena,https://www.unisi.it/,https://www.unisi.it/didattica,1,triennale_plus_magistrale_core_optional_cycle_unique,seeded,initial definitive sample
UNI06,Università degli Studi di Torino,UniTo,Nord,statale,Torino,https://www.unito.it/,https://www.unito.it/didattica,1,triennale_plus_magistrale_core_optional_cycle_unique,seeded,initial definitive sample
UNI07,Università degli Studi di Genova,UniGe,Nord,statale,Genova-Savona,https://unige.it/,https://corsi.unige.it/,1,triennale_plus_magistrale_core_optional_cycle_unique,seeded,initial definitive sample
UNI08,Università degli Studi di Milano-Bicocca,UniMiB,Nord,statale,Milano,https://www.unimib.it/,https://www.unimib.it/studiare,1,triennale_plus_magistrale_core_optional_cycle_unique,seeded,initial definitive sample
UNI09,Università degli Studi di Milano,UniMi,Nord,statale,Milano,https://www.unimi.it/,https://www.unimi.it/it/corsi,1,triennale_plus_magistrale_core_optional_cycle_unique,seeded,initial definitive sample
UNI10,Università degli Studi dell'Insubria,Insubria,Nord,statale,Varese,https://www.uninsubria.it/,https://www.uninsubria.it/formazione/la-nostra-didattica,1,triennale_plus_magistrale_core_optional_cycle_unique,seeded,initial definitive sample; programmes_hub_url normalized 2026-04-03 after live 404 on former /formazione/offerta-formativa URL
UNI11,Università degli Studi di Salerno,Unisa,Sud,statale,Fisciano (SA),https://www.unisa.it/,https://web.unisa.it/didattica/corsi-laurea,1,triennale_plus_magistrale_core_optional_cycle_unique,seeded,initial definitive sample
UNI12,Università degli Studi Roma Tre,Roma Tre,Centro,statale,Roma,https://www.uniroma3.it/,https://www.uniroma3.it/didattica/offerta-formativa/,1,triennale_plus_magistrale_core_optional_cycle_unique,seeded,initial definitive sample; programmes_hub_url normalized 2026-04-03 after CR008
UNI13,Università degli Studi di Palermo,UniPa,Isole,statale,Palermo,https://www.unipa.it/,https://www.unipa.it/didattica/offerta-formativa.html,1,triennale_plus_magistrale_core_optional_cycle_unique,seeded,initial definitive sample; programmes_hub_url normalized 2026-04-03 after CR009
UNI14,Università per Stranieri di Perugia,UniStraPG,Centro,statale,Perugia,https://www.unistrapg.it/,https://www.unistrapg.it/offerta-formativa,1,triennale_plus_magistrale_core_optional_cycle_unique,seeded,initial definitive sample
UNI15,Università degli Studi di Urbino Carlo Bo,UniUrb,Centro,statale,Urbino,https://www.uniurb.it/,https://www.uniurb.it/studiaconnoi/futuri-studenti/corsi-di-studio,1,triennale_plus_magistrale_core_optional_cycle_unique,seeded,initial definitive sample; programmes_hub_url normalized 2026-04-03 after CR011
UNI16,Università Telematica Internazionale Uninettuno,Uninettuno,Online,telematica,Online,https://www.uninettunouniversity.net/it/default.aspx,https://www.uninettunouniversity.net/it/laurea-scienze-della-comunicazione.aspx,1,triennale_plus_magistrale_core_optional_cycle_unique,seeded,online institution; homepage_url and programmes_hub_url normalized 2026-04-21 after live verification of the Italian pages
UNI17,Università della Calabria,UniCal,Sud,statale,Rende (CS),https://www.unical.it/,https://www.unical.it/didattica/offerta-formativa/,1,triennale_plus_magistrale_core_optional_cycle_unique,seeded,initial definitive sample
UNI18,"Università degli Studi di Napoli ""Federico II""",Unina,Sud,statale,Napoli,https://www.unina.it/,https://www.unina.it/it/didattica/offerta-formativa,1,triennale_plus_magistrale_core_optional_cycle_unique,seeded,initial definitive sample; programmes_hub_url normalized 2026-04-07 after CR013
UNI19,Università degli Studi di Bergamo,UniBg,Nord,statale,Bergamo,https://www.unibg.it/,https://www.unibg.it/studiare/corsi,1,triennale_plus_magistrale_core_optional_cycle_unique,seeded,initial definitive sample
UNI20,Università degli Studi di Trento,UniTrento,Nord,statale,Trento,https://www.unitn.it/,https://www.unitn.it/it/corsi,0,triennale_plus_magistrale_core_optional_cycle_unique,seeded,added after pilot
