serp_target_id,course_id,university_id,source_document_id,query_template_id,query_type,query_string,canonical_course_url,university_domain,collection_status,notes
ST001,C001,UNI01,[to_be_filled],SQ01,known_institution,"""Scienze della comunicazione"" ""Università degli Studi di Bologna""",https://corsi.unibo.it/laurea/ScienzeComunicazione,unibo.it,completed,
ST002,C001,UNI01,[to_be_filled],SQ02,user_like_institutional,Scienze della comunicazione Unibo,https://corsi.unibo.it/laurea/ScienzeComunicazione,unibo.it,completed,
ST003,C001,UNI01,[to_be_filled],SQ03,information_seeking,Scienze della comunicazione triennale Bologna,https://corsi.unibo.it/laurea/ScienzeComunicazione,unibo.it,completed,
ST004,C002,UNI01,[to_be_filled],SQ01,known_institution,"""Semiotica"" ""Università degli Studi di Bologna""",https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,unibo.it,completed,
ST005,C002,UNI01,[to_be_filled],SQ02,user_like_institutional,Semiotica Unibo,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,unibo.it,completed,
ST006,C002,UNI01,[to_be_filled],SQ03,information_seeking,Semiotica magistrale Bologna,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,unibo.it,completed,
ST007,C003,UNI02,[to_be_filled],SQ01,known_institution,"""Comunicazione"" ""Università degli Studi di Padova""",https://www.unipd.it/corsi-di-laurea/comunicazione,unipd.it,completed,
ST008,C003,UNI02,[to_be_filled],SQ02,user_like_institutional,Comunicazione Unipd,https://www.unipd.it/corsi-di-laurea/comunicazione,unipd.it,completed,
ST009,C003,UNI02,[to_be_filled],SQ03,information_seeking,Comunicazione triennale Padova,https://www.unipd.it/corsi-di-laurea/comunicazione,unipd.it,completed,
ST010,C004,UNI02,[to_be_filled],SQ01,known_institution,"""Strategie di comunicazione"" ""Università degli Studi di Padova""",https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione,unipd.it,completed,
ST011,C004,UNI02,[to_be_filled],SQ02,user_like_institutional,Strategie di comunicazione Unipd,https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione,unipd.it,completed,
ST012,C004,UNI02,[to_be_filled],SQ03,information_seeking,Strategie di comunicazione magistrale Padova,https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione,unipd.it,completed,
ST013,C005,UNI03,[to_be_filled],SQ01,known_institution,"""Discipline dello spettacolo e della comunicazione"" ""Università degli Studi di Pisa""",https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l,unipi.it,completed,
ST014,C005,UNI03,[to_be_filled],SQ02,user_like_institutional,Discipline dello spettacolo e della comunicazione UniPi,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l,unipi.it,completed,
ST015,C005,UNI03,[to_be_filled],SQ03,information_seeking,Discipline dello spettacolo e della comunicazione triennale Pisa,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l,unipi.it,completed,
