course_id,university_id,journey_id,source_document_id,target_url,static_html_path,render_mode,js_dependency_level_preaudit,expected_artifact_path,rendered_artifact_path,rendered_screenshot_path,rendered_log_path,rendered_capture_status,rendered_captured_at,rendered_dom_sha256,notes
C001,UNI01,J001,SD0003,https://corsi.unibo.it/laurea/ScienzeComunicazione,artifacts/journeys/J001_C001_scienze-della-comunicazione/source/SD0003.html,raw_http,low,artifacts/journeys/J001_C001_scienze-della-comunicazione/source/SD0003.html,,,,n_a,,,course_master_notes=official course homepage
C002,UNI01,J002,SD0004,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,artifacts/journeys/J002_C002_semiotica/source/SD0004.html,browser_rendered,medium,artifacts/runs/STRUN_001/source_rendered/C002.html,artifacts/runs/STRUN_001/source_rendered/C002.html,artifacts/runs/STRUN_001/screenshots/C002.png,artifacts/runs/STRUN_001/logs/C002.json,captured,2026-05-06T18:57:25.062603+00:00,4315c5de0b15384e87549469a791c74cca90acee145b7738157f029fb51f2db4,js_dependency=medium; course_master_notes=official Unibo lauree magistrali card
C003,UNI02,J003,SD0089,https://www.unipd.it/corsi-di-laurea/comunicazione,artifacts/journeys/J003_C003_comunicazione/source/SD0089.html,browser_rendered,medium,artifacts/runs/STRUN_001/source_rendered/C003.html,artifacts/runs/STRUN_001/source_rendered/C003.html,artifacts/runs/STRUN_001/screenshots/C003.png,artifacts/runs/STRUN_001/logs/C003.json,captured,2026-05-06T18:57:33.038539+00:00,092c8d8ac7b8d6cdd19c68f2a1e8f3d5e077ff09190ec7e07efc652a3fcd6edf,js_dependency=medium; course_master_notes=official course page; URL updated 2026-04-20 after Unipd platform migration to N
C004,UNI02,J004,SD0090,https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione,artifacts/journeys/J004_C004_strategie-di-comunicazione/source/SD0090.html,browser_rendered,medium,artifacts/runs/STRUN_001/source_rendered/C004.html,artifacts/runs/STRUN_001/source_rendered/C004.html,artifacts/runs/STRUN_001/screenshots/C004.png,artifacts/runs/STRUN_001/logs/C004.json,captured,2026-05-06T18:57:37.926884+00:00,c50017be6f7fd6b59c3007ae61b67a010ae8c4e4a993f8b6276b4a8e3ca6c0db,js_dependency=medium; course_master_notes=official course page; URL verified 2026-04-21 on current Next.js slug /corsi-di-
C005,UNI03,J005,SD0011,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l,artifacts/journeys/J005_C005_discipline-dello-spettacolo-e-della-comunicazione/source/SD0011.html,raw_http,low,artifacts/journeys/J005_C005_discipline-dello-spettacolo-e-della-comunicazione/source/SD0011.html,,,,n_a,,,course_master_notes=interclass course
C006,UNI03,J006,SD0012,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/comunicazione-media-tecnologie-wcm-lm,artifacts/journeys/J006_C006_comunicazione-media-tecnologie/source/SD0012.html,raw_http,low,artifacts/journeys/J006_C006_comunicazione-media-tecnologie/source/SD0012.html,,,,n_a,,,course_master_notes=official UniPi didattica card; canonical lauree-magistrali path confirmed 2026-0
C007,UNI04,J007,SD0015,https://www.unifi.it/it/node/6520,artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/source/SD0015.html,raw_http,low,artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/source/SD0015.html,,,,n_a,,,course_master_notes=ateneo course page
C008,UNI04,J008,SD0016,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,artifacts/journeys/J008_C008_pratiche-linguaggi-e-culture-della-comunicazione/source/SD0016.html,raw_http,low,artifacts/journeys/J008_C008_pratiche-linguaggi-e-culture-della-comunicazione/source/SD0016.html,,,,n_a,,,course_master_notes=official UniFi course card with link to dedicated site
C009,UNI05,J009,SD0019,https://scienze-comunicazione.unisi.it/it,artifacts/journeys/J009_C009_scienze-della-comunicazione/source/SD0019.html,raw_http,low,artifacts/journeys/J009_C009_scienze-della-comunicazione/source/SD0019.html,,,,n_a,,,course_master_notes=dedicated course site surfaced via official search
C010,UNI05,J010,SD0091,https://www.unisi.it/ugov/degree/82714,artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/source/SD0091.html,raw_http,low,artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/source/SD0091.html,,,,n_a,,,course_master_notes=official UniSi course sheet; updated 2026-04-21 from historical D003 /ugov/degre
C011,UNI06,J011,SD0024,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/scienze-della-comunicazione,artifacts/journeys/J011_C011_scienze-della-comunicazione/source/SD0024.html,raw_http,low,artifacts/journeys/J011_C011_scienze-della-comunicazione/source/SD0024.html,,,,n_a,,,course_master_notes=official course card
C012,UNI06,J012,SD0025,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/comunicazione-e-culture-dei-media,artifacts/journeys/J012_C012_comunicazione-e-culture-dei-media/source/SD0025.html,raw_http,low,artifacts/journeys/J012_C012_comunicazione-e-culture-dei-media/source/SD0025.html,,,,n_a,,,course_master_notes=official UniTo course card
C013,UNI07,J013,SD0028,https://corsi.unige.it/11938,artifacts/journeys/J013_C013_media-comunicazione-e-societa/source/SD0028.html,raw_http,low,artifacts/journeys/J013_C013_media-comunicazione-e-societa/source/SD0028.html,,,,n_a,,,course_master_notes=current active course; canonical /corsi/11938 confirmed live 2026-04-21; short /
C014,UNI07,J014,SD0029,https://corsi.unige.it/11945,artifacts/journeys/J014_C014_digital-humanities-interactive-systems-and-digital-media/source/SD0029.html,raw_http,low,artifacts/journeys/J014_C014_digital-humanities-interactive-systems-and-digital-media/source/SD0029.html,,,,n_a,,,course_master_notes=official UniGe course portal; canonical /corsi/11945 confirmed live 2026-04-21; 
C015,UNI08,J015,SD0032,https://www.unimib.it/triennale/comunicazione-interculturale,artifacts/journeys/J015_C015_comunicazione-interculturale/source/SD0032.html,raw_http,low,artifacts/journeys/J015_C015_comunicazione-interculturale/source/SD0032.html,,,,n_a,,,course_master_notes=official course page
