"course_id","university_id","source_document_id","indicator_id","indicator_label","priority","trigger_reason","auto_observed","auto_location_type","auto_local_findability","auto_confidence","auto_evidence_text","auto_evidence_url","auto_evidence_selector","auto_evidence_document_type","auto_notes","evidence_artifact_path","rendered_screenshot_path","target_url","reviewer_decision","reviewer_observed","reviewer_location_type","reviewer_local_findability","reviewer_confidence","reviewer_evidence_text","reviewer_evidence_url","reviewer_notes","reviewer_id","reviewed_at"
"C001","UNI01","SD0003","course_title","Course title","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","Scienze della comunicazione - Laurea - Bologna","https://corsi.unibo.it/laurea/ScienzeComunicazione","title|h1","html","","artifacts/journeys/J001_C001_scienze-della-comunicazione/source/SD0003.html","","https://corsi.unibo.it/laurea/ScienzeComunicazione","confirmed","","","","","","","","gaia","2026-05-07T13:30:25+02:00"
"C001","UNI01","SD0003","degree_level","Degree level","essential","confidence=low | location_type=ambiguous | course_outlier(missing>=3)","present","ambiguous","unclear","low","l-","https://corsi.unibo.it/laurea/ScienzeComunicazione","body","html","keyword found in page text without structural anchor","artifacts/journeys/J001_C001_scienze-della-comunicazione/source/SD0003.html","","https://corsi.unibo.it/laurea/ScienzeComunicazione","corrected","present","heading_or_summary","direct","high","L-20 R - Scienze della comunicazione","https://corsi.unibo.it/laurea/ScienzeComunicazione","auto ev=""l-"" = keyword FP. Real: structured detail card <strong>Classe di corso</strong> L-20 R in course summary.","gaia","2026-05-07T14:01:14+02:00"
"C001","UNI01","SD0003","academic_year","Academic year or edition","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","Bando Erasmus+ mobilità per tirocinio a.a. 2026/27","https://corsi.unibo.it/laurea/ScienzeComunicazione","h3","html","","artifacts/journeys/J001_C001_scienze-della-comunicazione/source/SD0003.html","","https://corsi.unibo.it/laurea/ScienzeComunicazione","confirmed","","","","","","","","gaia","2026-05-07T13:30:25+02:00"
"C001","UNI01","SD0003","language","Teaching language","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","Lingua Italiano","https://corsi.unibo.it/laurea/ScienzeComunicazione","strong@li","html","","artifacts/journeys/J001_C001_scienze-della-comunicazione/source/SD0003.html","","https://corsi.unibo.it/laurea/ScienzeComunicazione","confirmed","","","","","","","","gaia","2026-05-07T13:30:25+02:00"
"C001","UNI01","SD0003","location","Campus / city / location","essential","confidence=not_observed | course_outlier(missing>=3)","not_observed","not_observed","not_found","not_observed","","","","","","artifacts/journeys/J001_C001_scienze-della-comunicazione/source/SD0003.html","","https://corsi.unibo.it/laurea/ScienzeComunicazione","corrected","present","heading_or_summary","direct","high","Sede didattica: Bologna","https://corsi.unibo.it/laurea/ScienzeComunicazione","Auto missed. Real: <strong>Sede didattica</strong><span>Bologna</span> in structured detail list on course page.","gaia","2026-05-07T13:54:52+02:00"
"C001","UNI01","SD0003","study_plan","Study plan / piano di studi / curriculum / teachings","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","Insegnamenti Il piano didattico","https://corsi.unibo.it/laurea/ScienzeComunicazione","strong@li","html","","artifacts/journeys/J001_C001_scienze-della-comunicazione/source/SD0003.html","","https://corsi.unibo.it/laurea/ScienzeComunicazione","confirmed","","","","","","","","gaia","2026-05-07T13:30:25+02:00"
"C001","UNI01","SD0003","admission_requirements","Access requirements / admission requirements","essential","confidence=not_observed | course_outlier(missing>=3)","not_observed","not_observed","not_found","not_observed","","","","","","artifacts/journeys/J001_C001_scienze-della-comunicazione/source/SD0003.html","","https://corsi.unibo.it/laurea/ScienzeComunicazione","confirmed","","","","","","","","gaia","2026-05-07T13:54:52+02:00"
"C001","UNI01","SD0003","admission_procedure","Admission or enrolment procedure","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","Bando Erasmus+ mobilità per tirocinio a.a. 2026/27","https://corsi.unibo.it/laurea/ScienzeComunicazione","h3","html","","artifacts/journeys/J001_C001_scienze-della-comunicazione/source/SD0003.html","","https://corsi.unibo.it/laurea/ScienzeComunicazione","confirmed","","","","","","","","gaia","2026-05-07T13:30:25+02:00"
"C001","UNI01","SD0003","deadlines","Application / enrolment deadlines","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","Borse di studio e agevolazioni Mi interessa se: Studio al primo anno, Studio dal secondo anno in poi Bando Erasmus+ mobilità per tirocinio a.a. 2026/27 Scadenza: 12 mag 2026, 13:00","https://corsi.unibo.it/laurea/ScienzeComunicazione","p@div","html","","artifacts/journeys/J001_C001_scienze-della-comunicazione/source/SD0003.html","","https://corsi.unibo.it/laurea/ScienzeComunicazione","confirmed","","","","","","","","gaia","2026-05-07T13:30:25+02:00"
"C001","UNI01","SD0003","contacts","Contact / tutor / orientation / course office","essential","course_outlier(missing>=3)","present","linked_official_page","one_click","medium","Contatti","https://corsi.unibo.it/laurea/ScienzeComunicazione/contatti","a","html","","artifacts/journeys/J001_C001_scienze-della-comunicazione/source/SD0003.html","","https://corsi.unibo.it/laurea/ScienzeComunicazione","confirmed","","","","","","","","gaia","2026-05-07T13:57:16+02:00"
